# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.0000e+01 1.4000e+13 5.0000e+01 0.03000
2.5000e-05 9.0572e+00 1.1916e+13 5.1125e+01 0.03000
5.0000e-05 8.1094e+00 1.0142e+13 5.2250e+01 0.03000
7.6000e-05 7.2109e+00 8.8334e+12 5.3420e+01 0.03000
1.0100e-04 6.5311e+00 7.6936e+12 5.4545e+01 0.03000
1.2600e-04 5.9291e+00 6.8569e+12 5.5670e+01 0.03000
1.5100e-04 5.4700e+00 5.9722e+12 5.6795e+01 0.03000
1.7700e-04 5.0815e+00 5.3227e+12 5.7965e+01 0.03000
2.0200e-04 4.7314e+00 4.7438e+12 5.9090e+01 0.03000
2.2700e-04 4.4565e+00 4.1317e+12 6.0215e+01 0.03000
2.5200e-04 4.1782e+00 3.6824e+12 6.1340e+01 0.03000
2.7700e-04 3.9354e+00 3.2819e+12 6.2465e+01 0.03000
3.0300e-04 3.6897e+00 2.8585e+12 6.3635e+01 0.03000
3.2800e-04 3.5074e+00 2.5476e+12 6.4760e+01 0.03000
3.5300e-04 3.3036e+00 2.2705e+12 6.5885e+01 0.03000
3.7800e-04 3.1404e+00 2.0707e+12 6.7010e+01 0.03000
4.0300e-04 2.9648e+00 1.8456e+12 6.8135e+01 0.03000
4.2900e-04 2.8314e+00 1.6831e+12 6.9305e+01 0.03000
4.5400e-04 2.6977e+00 1.5351e+12 7.0430e+01 0.03000
4.7900e-04 2.5704e+00 1.4000e+12 7.1555e+01 0.03000
5.0400e-04 2.4660e+00 1.2768e+12 7.2680e+01 0.03000
5.2900e-04 2.3442e+00 1.1645e+12 7.3805e+01 0.03000
5.5500e-04 2.2490e+00 1.0620e+12 7.4975e+01 0.03000
5.8000e-04 2.1627e+00 9.6857e+11 7.6100e+01 0.03000
6.0500e-04 2.0701e+00 9.0392e+11 7.7225e+01 0.03000
6.3000e-04 1.9906e+00 8.2438e+11 7.8350e+01 0.03000
6.5600e-04 1.9010e+00 7.6936e+11 7.9520e+01 0.03000
6.8100e-04 1.8155e+00 7.0167e+11 8.0645e+01 0.03000
7.0600e-04 1.7498e+00 6.5483e+11 8.1770e+01 0.03000
7.3100e-04 1.6749e+00 5.9722e+11 8.2895e+01 0.03000
7.5600e-04 1.6069e+00 5.5736e+11 8.4020e+01 0.03000
7.8200e-04 1.5452e+00 5.2015e+11 8.5190e+01 0.03000
8.0700e-04 1.4723e+00 4.7438e+11 8.6315e+01 0.03000
8.3200e-04 1.4093e+00 4.4272e+11 8.7440e+01 0.03000
8.5700e-04 1.3551e+00 4.1317e+11 8.8565e+01 0.03000
8.8200e-04 1.2942e+00 3.8559e+11 8.9690e+01 0.03000
9.0800e-04 1.2359e+00 3.5985e+11 9.0860e+01 0.03000
9.3300e-04 1.1858e+00 3.3584e+11 9.1985e+01 0.03000
9.5800e-04 1.1350e+00 3.1342e+11 9.3110e+01 0.03000
9.8300e-04 1.0814e+00 2.9250e+11 9.4235e+01 0.03000
1.0090e-03 1.0209e+00 2.7297e+11 9.5405e+01 0.03000
1.0340e-03 9.5495e-01 2.6069e+11 9.6530e+01 0.03000
1.0590e-03 8.8103e-01 2.4330e+11 9.7655e+01 0.03000
1.0840e-03 8.1656e-01 2.2705e+11 9.8780e+01 0.03000
1.1090e-03 7.6206e-01 2.1684e+11 9.9905e+01 0.03000
1.1350e-03 7.1943e-01 2.0236e+11 1.0107e+02 0.03000
1.1600e-03 6.6526e-01 1.9326e+11 1.0220e+02 0.03000
1.1850e-03 6.2086e-01 1.8035e+11 1.0333e+02 0.03000
1.2100e-03 5.8343e-01 1.7224e+11 1.0445e+02 0.03000
1.2350e-03 5.5334e-01 1.6449e+11 1.0558e+02 0.03000
1.2610e-03 5.1759e-01 1.5351e+11 1.0675e+02 0.03000
1.2860e-03 4.8528e-01 1.4660e+11 1.0787e+02 0.03000
1.3110e-03 4.5708e-01 1.4000e+11 1.0900e+02 0.03000
1.3360e-03 4.3550e-01 1.3370e+11 1.1012e+02 0.03000
1.3620e-03 4.1495e-01 1.2768e+11 1.1129e+02 0.03000
1.3870e-03 3.8993e-01 1.2194e+11 1.1241e+02 0.03000
1.4120e-03 3.6897e-01 1.1645e+11 1.1354e+02 0.03000
1.4370e-03 3.5155e-01 1.1121e+11 1.1466e+02 0.03000
1.4620e-03 3.3573e-01 1.0620e+11 1.1579e+02 0.03000
1.4880e-03 3.2358e-01 1.0142e+11 1.1696e+02 0.03000
1.5130e-03 3.0549e-01 9.6857e+10 1.1809e+02 0.03000
1.5380e-03 2.8973e-01 9.2497e+10 1.1921e+02 0.03000
1.5630e-03 2.7733e-01 9.0392e+10 1.2033e+02 0.03000
1.5880e-03 2.6668e-01 8.6323e+10 1.2146e+02 0.03000
1.6140e-03 2.5763e-01 8.2438e+10 1.2263e+02 0.03000
1.6390e-03 2.4773e-01 7.8728e+10 1.2375e+02 0.03000
1.6640e-03 2.3604e-01 7.6936e+10 1.2488e+02 0.03000
1.6890e-03 2.2594e-01 7.3474e+10 1.2600e+02 0.03000
1.7150e-03 2.1726e-01 7.1800e+10 1.2717e+02 0.03000
1.7400e-03 2.0940e-01 6.8569e+10 1.2830e+02 0.03000
1.7650e-03 2.0323e-01 6.5483e+10 1.2943e+02 0.03000
1.7900e-03 1.9769e-01 6.3993e+10 1.3055e+02 0.03000
1.8150e-03 1.8879e-01 6.1113e+10 1.3168e+02 0.03000
