# time[s], T9[GK], density[g/cm^3], R[km], Ye

1.0000e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.0667e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.1379e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.2139e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.2949e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.3813e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.4735e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.5718e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.6767e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.7886e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.9079e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.0352e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.1711e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.3160e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.4705e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.6354e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.8112e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.9988e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.1990e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.4124e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.6402e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.8831e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.1422e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.4187e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.7135e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.0281e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.3636e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.7216e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
6.1034e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
6.5107e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
6.9452e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
7.4087e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
7.9031e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
8.4305e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
8.9931e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
9.5932e-06 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.0233e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.0916e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.1645e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.2422e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.3251e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.4135e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.5078e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.6085e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.7158e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.8303e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
1.9525e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.0828e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.2217e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.3700e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.5282e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.6969e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
2.8769e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.0688e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.2736e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.4921e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.7251e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
3.9737e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.2389e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.5218e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
4.8235e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.1454e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.4888e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
5.8551e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
6.2458e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
6.6627e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
7.1073e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
7.5816e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
8.0875e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
8.6272e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
9.2030e-05 3.5000e+00 3.0000e+11 1.2000e+02 0.45000
9.8171e-05 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.0472e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.1171e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.1917e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.2712e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.3560e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.4465e-04 3.5000e+00 2.9999e+11 1.2000e+02 0.45000
1.5430e-04 3.4999e+00 2.9999e+11 1.2000e+02 0.45000
1.6460e-04 3.4999e+00 2.9998e+11 1.2000e+02 0.45000
1.7559e-04 3.4999e+00 2.9998e+11 1.2000e+02 0.45000
1.8730e-04 3.4999e+00 2.9998e+11 1.2000e+02 0.45000
1.9980e-04 3.4999e+00 2.9998e+11 1.2000e+02 0.45000
2.1314e-04 3.4999e+00 2.9997e+11 1.2000e+02 0.45000
2.2736e-04 3.4999e+00 2.9997e+11 1.2000e+02 0.45000
2.4253e-04 3.4999e+00 2.9997e+11 1.2000e+02 0.45000
2.5872e-04 3.4999e+00 2.9996e+11 1.2001e+02 0.45000
2.7598e-04 3.4998e+00 2.9996e+11 1.2001e+02 0.45000
2.9440e-04 3.4998e+00 2.9995e+11 1.2001e+02 0.45000
3.1405e-04 3.4998e+00 2.9994e+11 1.2001e+02 0.45000
3.3500e-04 3.4998e+00 2.9994e+11 1.2001e+02 0.45000
3.5736e-04 3.4997e+00 2.9993e+11 1.2001e+02 0.45000
3.8121e-04 3.4997e+00 2.9992e+11 1.2001e+02 0.45000
4.0665e-04 3.4996e+00 2.9991e+11 1.2001e+02 0.45000
4.3379e-04 3.4996e+00 2.9989e+11 1.2001e+02 0.45000
4.6273e-04 3.4995e+00 2.9988e+11 1.2002e+02 0.45000
4.9361e-04 3.4995e+00 2.9986e+11 1.2002e+02 0.45000
5.2655e-04 3.4994e+00 2.9984e+11 1.2002e+02 0.45000
5.6169e-04 3.4993e+00 2.9982e+11 1.2002e+02 0.45000
5.9918e-04 3.4992e+00 2.9980e+11 1.2003e+02 0.45000
6.3916e-04 3.4991e+00 2.9977e+11 1.2003e+02 0.45000
6.8182e-04 3.4990e+00 2.9974e+11 1.2003e+02 0.45000
7.2732e-04 3.4988e+00 2.9970e+11 1.2004e+02 0.45000
7.7585e-04 3.4987e+00 2.9966e+11 1.2005e+02 0.45000
8.2763e-04 3.4985e+00 2.9962e+11 1.2005e+02 0.45000
8.8286e-04 3.4983e+00 2.9956e+11 1.2006e+02 0.45000
9.4178e-04 3.4981e+00 2.9950e+11 1.2007e+02 0.45000
1.0046e-03 3.4978e+00 2.9943e+11 1.2008e+02 0.45000
1.0717e-03 3.4975e+00 2.9936e+11 1.2009e+02 0.45000
1.1432e-03 3.4971e+00 2.9927e+11 1.2010e+02 0.45000
1.2195e-03 3.4968e+00 2.9917e+11 1.2011e+02 0.45000
1.3009e-03 3.4963e+00 2.9905e+11 1.2013e+02 0.45000
1.3877e-03 3.4958e+00 2.9892e+11 1.2014e+02 0.45000
1.4803e-03 3.4952e+00 2.9877e+11 1.2016e+02 0.45000
1.5791e-03 3.4946e+00 2.9860e+11 1.2019e+02 0.45000
1.6844e-03 3.4938e+00 2.9841e+11 1.2021e+02 0.45000
1.7968e-03 3.4930e+00 2.9819e+11 1.2024e+02 0.45000
1.9167e-03 3.4920e+00 2.9795e+11 1.2028e+02 0.45000
2.0447e-03 3.4909e+00 2.9766e+11 1.2031e+02 0.45000
2.1811e-03 3.4896e+00 2.9734e+11 1.2036e+02 0.45000
2.3267e-03 3.4882e+00 2.9698e+11 1.2041e+02 0.45000
2.4819e-03 3.4866e+00 2.9657e+11 1.2046e+02 0.45000
2.6476e-03 3.4848e+00 2.9610e+11 1.2052e+02 0.45000
2.8242e-03 3.4827e+00 2.9556e+11 1.2060e+02 0.45000
3.0127e-03 3.4803e+00 2.9496e+11 1.2068e+02 0.45000
3.2138e-03 3.4776e+00 2.9427e+11 1.2077e+02 0.45000
3.4282e-03 3.4745e+00 2.9350e+11 1.2088e+02 0.45000
3.6570e-03 3.4710e+00 2.9262e+11 1.2100e+02 0.45000
3.9011e-03 3.4671e+00 2.9162e+11 1.2114e+02 0.45000
4.1614e-03 3.4626e+00 2.9049e+11 1.2130e+02 0.45000
4.4391e-03 3.4575e+00 2.8921e+11 1.2147e+02 0.45000
4.7353e-03 3.4518e+00 2.8777e+11 1.2168e+02 0.45000
5.0513e-03 3.4452e+00 2.8614e+11 1.2191e+02 0.45000
5.3884e-03 3.4378e+00 2.8430e+11 1.2217e+02 0.45000
5.7480e-03 3.4295e+00 2.8223e+11 1.2247e+02 0.45000
6.1316e-03 3.4200e+00 2.7990e+11 1.2281e+02 0.45000
