,0
0,1.814571878314758e-89
1,1.8145718781309126e-89
2,1.814571877946744e-89
3,1.814571877762251e-89
4,1.8145718775774337e-89
5,1.8145718773922905e-89
6,1.814571877206822e-89
7,1.814571877021027e-89
8,1.814571876834905e-89
9,1.8145718766484554e-89
10,1.8145718764616777e-89
11,1.8145718762745714e-89
12,1.8145718760871355e-89
13,1.8145718758993703e-89
14,1.8145718757112744e-89
15,1.8145718755228476e-89
16,1.8145718753340893e-89
17,1.8145718751449983e-89
18,1.8145718749555752e-89
19,1.8145718747658183e-89
20,1.8145718745757276e-89
21,1.8145718743853023e-89
22,1.814571874194542e-89
23,1.8145718740034463e-89
24,1.814571873812014e-89
25,1.8145718736202448e-89
26,1.814571873428138e-89
27,1.814571873235693e-89
28,1.81457187304291e-89
29,1.8145718728497873e-89
30,1.8145718726563246e-89
31,1.814571872462522e-89
32,1.8145718722683776e-89
33,1.8145718720738922e-89
34,1.8145718718790642e-89
35,1.8145718716838934e-89
36,1.8145718714883794e-89
37,1.814571871292521e-89
38,1.8145718710963177e-89
39,1.8145718708997698e-89
40,1.814571870702876e-89
41,1.8145718705056352e-89
42,1.8145718703080475e-89
43,1.814571870110112e-89
44,1.8145718699118283e-89
45,1.8145718697131956e-89
46,1.8145718695142133e-89
47,1.8145718693148808e-89
48,1.8145718691151974e-89
49,1.814571868915163e-89
50,1.8145718687147765e-89
51,1.8145718685140376e-89
52,1.814571868312945e-89
53,1.8145718681114983e-89
54,1.8145718679096973e-89
55,1.8145718677075415e-89
56,1.8145718675050296e-89
57,1.8145718673021615e-89
58,1.8145718670989363e-89
59,1.8145718668953535e-89
60,1.8145718666914125e-89
61,1.8145718664871126e-89
62,1.814571866282453e-89
63,1.8145718660774335e-89
64,1.814571865872053e-89
65,1.8145718656663114e-89
66,1.8145718654602074e-89
67,1.814571865253741e-89
68,1.814571865046911e-89
69,1.814571864839717e-89
70,1.8145718646321586e-89
71,1.8145718644242345e-89
72,1.814571864215945e-89
73,1.814571864007289e-89
74,1.8145718637982655e-89
75,1.814571863588874e-89
76,1.8145718633791144e-89
77,1.814571863168985e-89
78,1.8145718629584868e-89
79,1.8145718627476177e-89
80,1.8145718625363778e-89
81,1.8145718623247657e-89
82,1.814571862112781e-89
83,1.814571861900424e-89
84,1.814571861687693e-89
85,1.8145718614745876e-89
86,1.814571861261107e-89
87,1.814571861047251e-89
88,1.8145718608330186e-89
89,1.8145718606184092e-89
90,1.814571860403422e-89
91,1.8145718601880567e-89
92,1.814571859972312e-89
93,1.814571859756188e-89
94,1.8145718595396838e-89
95,1.814571859322798e-89
96,1.814571859105531e-89
97,1.8145718588878813e-89
98,1.8145718586698487e-89
99,1.8145718584514327e-89
100,1.814571858232632e-89
101,1.8145718580134465e-89
102,1.8145718577938752e-89
103,1.8145718575739174e-89
104,1.8145718573535725e-89
105,1.8145718571328404e-89
106,1.814571856911719e-89
107,1.814571856690209e-89
108,1.814571856468309e-89
109,1.8145718562460185e-89
110,1.814571856023337e-89
111,1.814571855800263e-89
112,1.8145718555767974e-89
113,1.814571855352938e-89
114,1.814571855128685e-89
115,1.814571854904037e-89
116,1.814571854678994e-89
117,1.8145718544535545e-89
118,1.8145718542277186e-89
119,1.8145718540014854e-89
120,1.8145718537748538e-89
121,1.8145718535478235e-89
122,1.8145718533203935e-89
123,1.8145718530925634e-89
124,1.8145718528643322e-89
125,1.8145718526356995e-89
126,1.8145718524066646e-89
127,1.8145718521772265e-89
128,1.8145718519473848e-89
129,1.8145718517171385e-89
130,1.814571851486487e-89
131,1.8145718512554296e-89
132,1.8145718510239655e-89
133,1.8145718507920945e-89
134,1.8145718505598153e-89
135,1.814571850327127e-89
136,1.814571850094029e-89
137,1.814571849860521e-89
138,1.8145718496266028e-89
139,1.8145718493922722e-89
140,1.8145718491575294e-89
141,1.8145718489223735e-89
142,1.814571848686804e-89
143,1.8145718484508197e-89
144,1.8145718482144204e-89
145,1.814571847977605e-89
146,1.8145718477403722e-89
147,1.814571847502723e-89
148,1.8145718472646546e-89
