,0
0,4.449765469419129e-91
1,4.44976546900276e-91
2,4.4497654685856575e-91
3,4.4497654681678204e-91
4,4.4497654677492487e-91
5,4.44976546732994e-91
6,4.4497654669098935e-91
7,4.449765466489108e-91
8,4.4497654660675826e-91
9,4.449765465645315e-91
10,4.449765465222303e-91
11,4.449765464798548e-91
12,4.449765464374047e-91
13,4.4497654639487995e-91
14,4.4497654635228034e-91
15,4.4497654630960575e-91
16,4.4497654626685605e-91
17,4.449765462240311e-91
18,4.4497654618113085e-91
19,4.449765461381551e-91
20,4.449765460951037e-91
21,4.449765460519765e-91
22,4.4497654600877343e-91
23,4.449765459654944e-91
24,4.4497654592213914e-91
25,4.449765458787076e-91
26,4.4497654583519964e-91
27,4.4497654579161514e-91
28,4.4497654574795395e-91
29,4.4497654570421586e-91
30,4.4497654566040087e-91
31,4.449765456165088e-91
32,4.4497654557253947e-91
33,4.4497654552849273e-91
34,4.4497654548436844e-91
35,4.4497654544016654e-91
36,4.449765453958869e-91
37,4.4497654535152936e-91
38,4.449765453070937e-91
39,4.4497654526257983e-91
40,4.449765452179877e-91
41,4.4497654517331697e-91
42,4.4497654512856776e-91
43,4.449765450837398e-91
44,4.4497654503883286e-91
45,4.4497654499384694e-91
46,4.4497654494878184e-91
47,4.4497654490363755e-91
48,4.4497654485841374e-91
49,4.449765448131103e-91
50,4.449765447677272e-91
51,4.449765447222642e-91
52,4.449765446767212e-91
53,4.4497654463109814e-91
54,4.4497654458539466e-91
55,4.4497654453961084e-91
56,4.4497654449374647e-91
57,4.449765444478013e-91
58,4.449765444017753e-91
59,4.449765443556684e-91
60,4.449765443094803e-91
61,4.449765442632109e-91
62,4.449765442168601e-91
63,4.449765441704277e-91
64,4.449765441239137e-91
65,4.449765440773178e-91
66,4.449765440306398e-91
67,4.449765439838798e-91
68,4.4497654393703744e-91
69,4.449765438901127e-91
70,4.449765438431053e-91
71,4.4497654379601523e-91
72,4.4497654374884227e-91
73,4.449765437015864e-91
74,4.449765436542473e-91
75,4.4497654360682485e-91
76,4.44976543559319e-91
77,4.449765435117295e-91
78,4.4497654346405634e-91
79,4.449765434162993e-91
80,4.449765433684581e-91
81,4.4497654332053277e-91
82,4.4497654327252315e-91
83,4.44976543224429e-91
84,4.449765431762502e-91
85,4.449765431279867e-91
86,4.4497654307963825e-91
87,4.449765430312046e-91
88,4.449765429826858e-91
89,4.4497654293408164e-91
90,4.4497654288539194e-91
91,4.449765428366165e-91
92,4.449765427877553e-91
93,4.4497654273880814e-91
94,4.449765426897748e-91
95,4.4497654264065515e-91
96,4.449765425914491e-91
97,4.4497654254215645e-91
98,4.449765424927771e-91
99,4.449765424433108e-91
100,4.449765423937574e-91
101,4.4497654234411693e-91
