,0
0,1.0679739779102994e-87
1,1.0679739778103556e-87
2,1.067973977710236e-87
3,1.0679739776099402e-87
4,1.0679739775094678e-87
5,1.0679739774088184e-87
6,1.0679739773079924e-87
7,1.0679739772069887e-87
8,1.067973977105807e-87
9,1.0679739770044477e-87
10,1.0679739769029098e-87
11,1.0679739768011933e-87
12,1.0679739766992978e-87
13,1.067973976597223e-87
14,1.0679739764949687e-87
15,1.0679739763925343e-87
16,1.0679739762899194e-87
17,1.0679739761871242e-87
18,1.0679739760841482e-87
19,1.067973975980991e-87
20,1.067973975877652e-87
21,1.0679739757741314e-87
22,1.0679739756704285e-87
23,1.0679739755665433e-87
24,1.0679739754624751e-87
25,1.0679739753582238e-87
26,1.067973975253789e-87
27,1.0679739751491702e-87
28,1.0679739750443677e-87
29,1.0679739749393807e-87
30,1.067973974834209e-87
31,1.0679739747288523e-87
32,1.0679739746233099e-87
33,1.0679739745175818e-87
34,1.067973974411668e-87
35,1.0679739743055672e-87
36,1.0679739741992803e-87
37,1.0679739740928061e-87
38,1.0679739739861449e-87
39,1.0679739738792954e-87
40,1.067973973772258e-87
41,1.0679739736650326e-87
42,1.0679739735576183e-87
43,1.067973973450015e-87
44,1.0679739733422224e-87
45,1.06797397323424e-87
46,1.0679739731260676e-87
47,1.0679739730177048e-87
48,1.0679739729091516e-87
49,1.0679739728004073e-87
50,1.0679739726914714e-87
51,1.067973972582344e-87
52,1.0679739724730244e-87
53,1.0679739723635124e-87
54,1.067973972253808e-87
55,1.0679739721439104e-87
56,2.1524468879759706e-12
57,2.3890038246347286e-11
58,3.852266906376671e-11
59,4.9343906350278885e-11
60,5.773796862283305e-11
61,6.473520295854854e-11
62,7.093467548106353e-11
63,7.699991505652756e-11
64,8.305736396621015e-11
65,8.92267901927254e-11
66,9.572003944880117e-11
67,1.0254981878402477e-10
68,1.0973579829550998e-10
69,1.1731094078206358e-10
70,1.2541850324009123e-10
71,1.3414905836027113e-10
72,1.4332040613826088e-10
73,1.5301566437329517e-10
74,1.6353665097497406e-10
75,1.7459942174089995e-10
76,1.862183184767811e-10
77,1.988709074051673e-10
78,2.122099132529938e-10
79,2.2622589712279629e-10
80,2.4129999431645807e-10
81,2.573592192022631e-10
82,2.7423908036900647e-10
83,2.9214947875503577e-10
84,3.115192426100284e-10
85,3.3180719996454466e-10
86,3.532014451085829e-10
87,3.763644382468282e-10
88,4.0062780515823834e-10
89,4.261184534247048e-10
90,4.5378218455092625e-10
91,4.827622148351788e-10
92,5.130817598825097e-10
93,5.460473142110853e-10
94,5.806096352991049e-10
95,6.167748949271726e-10
96,6.558034386221854e-10
97,6.970481334343605e-10
98,7.400618853953389e-10
99,7.864508123124455e-10
100,8.353276796901927e-10
101,8.863084229595524e-10
102,9.412900153288191e-10
103,9.991549083704889e-10
104,1.0595220773177747e-09
105,1.124507834279871e-09
106,1.1929365656126452e-09
107,1.2643378350129877e-09
108,1.3409364885257975e-09
109,1.4219713969703272e-09
110,1.5061827880786731e-09
111,1.596919697132058e-09
112,1.692112906962636e-09
113,1.7910327256647354e-09
114,1.8982227038697355e-09
115,2.009954962649665e-09
116,2.126444940297622e-09
117,2.2523553571837613e-09
118,2.383377780116732e-09
119,2.5204409424795807e-09
120,2.6679390913982256e-09
121,2.8214266796337847e-09
122,2.9822700452060614e-09
123,3.154869732374752e-09
124,3.3344849519961446e-09
125,3.5227467684744543e-09
126,3.724827787033723e-09
127,3.934738269413354e-09
128,4.1553283181720036e-09
129,4.390840834848523e-09
130,4.6354625352156785e-09
131,4.893304683629117e-09
132,5.167504607798545e-09
133,5.452300982758176e-09
134,5.752980730507145e-09
135,6.071887120162983e-09
136,6.403115307512625e-09
137,6.752937587782343e-09
138,7.124571051718305e-09
139,7.50913428994398e-09
140,7.91963443903566e-09
141,8.350835683901595e-09
142,8.796958124593146e-09
143,9.277165082178111e-09
144,9.775805536954666e-09
145,1.0294711265274789e-08
146,1.0850632620338511e-08
147,1.1426000129655478e-08
148,1.2029369964891294e-08
149,1.2670134375262687e-08
150,1.3333201294780726e-08
151,1.4032942077903306e-08
152,1.4770757956441403e-08
153,1.5534193576397448e-08
154,1.6343833173916385e-08
155,1.719267080943257e-08
156,1.8071891105164027e-08
157,1.9014554554057438e-08
158,1.9988980737159736e-08
159,2.1010523130588557e-08
160,2.2089507626101495e-08
161,2.3195889504034482e-08
162,2.4389489148646637e-08
163,2.5612965052405536e-08
164,2.6906074821746092e-08
165,2.825976321859255e-08
166,2.965764405060168e-08
167,3.115372096463613e-08
168,3.268789717653115e-08
169,3.4315499820771674e-08
170,3.601111017851983e-08
171,3.7767248872040506e-08
172,3.963905469027334e-08
173,4.155952618445299e-08
174,4.3596610614563204e-08
175,4.5716509008474794e-08
176,4.791042006412059e-08
177,5.02475981374305e-08
178,5.26469545862041e-08
179,5.5182662788834276e-08
180,5.782755154006137e-08
181,6.055364236531292e-08
182,6.346558202641571e-08
183,6.645688071337837e-08
184,6.959677533326101e-08
185,7.289640967914467e-08
186,7.62768146701688e-08
187,7.990060894332646e-08
188,8.360931471418526e-08
189,8.751404413524313e-08
190,9.158743891351173e-08
191,9.578425618345019e-08
192,1.0025371642036019e-07
193,1.0482954005073566e-07
194,1.0966114248343927e-07
195,1.1468180847854069e-07
196,1.1986623629896613e-07
197,1.253692432876805e-07
198,1.310056422712722e-07
199,1.3695478343400081e-07
200,1.431577343693354e-07
201,1.4957848165002464e-07
202,1.563434923662214e-07
203,1.632692811749692e-07
204,1.7064420922728588e-07
205,1.7811683911900763e-07
206,1.861464742804559e-07
207,1.9429697034770417e-07
208,2.0294257390597612e-07
209,2.1182772474963225e-07
210,2.2113088445320183e-07
211,2.3081160139764356e-07
212,2.4081626805186623e-07
213,2.5135786466865176e-07
214,2.6211047598448055e-07
215,2.735829564166006e-07
216,2.852343057950862e-07
217,2.9761092109139537e-07
218,3.1029536249865134e-07
219,3.2357384619893215e-07
220,3.373743897540166e-07
221,3.516123184909023e-07
222,3.6661780305950947e-07
223,3.818759002269113e-07
224,3.981813438157698e-07
225,4.147673988027501e-07
226,4.322305900101182e-07
227,4.5029820498705374e-07
228,4.690698748444002e-07
229,4.886463215478162e-07
230,5.088357327566505e-07
231,5.300065462348613e-07
232,5.517073365032869e-07
233,5.745969836524921e-07
234,5.979078197772558e-07
235,6.226493767255175e-07
236,6.476742243534754e-07
237,6.744099401119092e-07
238,7.014034687925096e-07
239,7.30140209973775e-07
240,7.59324390500421e-07
241,7.901179171926958e-07
242,8.216599164470035e-07
243,8.546378883312616e-07
244,8.887162274079624e-07
245,9.240129777925377e-07
246,9.60818202441009e-07
247,9.985750340624913e-07
248,1.0383104132836316e-06
249,1.0786759025202675e-06
250,1.1215581569299304e-06
251,1.164970233649879e-06
252,1.210948528460054e-06
253,1.2579272485662998e-06
254,1.3073990064839637e-06
255,1.3577212034131533e-06
256,1.4109210537013367e-06
257,1.464833496806993e-06
258,1.5220635959955203e-06
259,1.5797453967316374e-06
260,1.6412738197817532e-06
261,1.7029891621627933e-06
262,1.7690986527390802e-06
263,1.8353244775006096e-06
264,1.9063161259836342e-06
265,1.977636663696249e-06
266,2.0533126690846995e-06
267,2.13007661865037e-06
268,2.210738753220874e-06
269,2.293315061374398e-06
270,2.379284124302746e-06
271,2.468063118375334e-06
272,2.5596801327785043e-06
273,2.655074675963244e-06
274,2.752702150247484e-06
275,2.8551488306442375e-06
276,2.9591720868661447e-06
277,3.0691324454130105e-06
278,3.179961017656635e-06
279,3.2979228190020592e-06
280,3.4160922000740564e-06
281,3.5424704748082945e-06
282,3.669171591427188e-06
283,3.8037820760166316e-06
284,3.939560099325776e-06
285,4.082923473329599e-06
286,4.228353954831746e-06
287,4.381022891670173e-06
288,4.536713240007368e-06
289,4.699274262221978e-06
290,4.865865277609901e-06
291,5.039132359210566e-06
292,5.217640016558461e-06
293,5.401658626306954e-06
294,5.59282352930741e-06
295,5.788266446302395e-06
296,5.992867684147103e-06
297,6.200450309814803e-06
298,6.4193071552510245e-06
299,6.639790098556951e-06
300,6.873763744841689e-06
301,7.108149119199842e-06
302,7.357950876987499e-06
303,7.608386142325896e-06
304,7.873678271804831e-06
305,8.141115531614263e-06
306,8.422856807209544e-06
307,8.708295665625592e-06
308,9.007503575176616e-06
309,9.311993076477057e-06
310,9.630317003211388e-06
311,9.955811770281309e-06
312,1.0292788545600087e-05
313,1.0640545079285236e-05
314,1.0997280814394065e-05
315,1.136861814895723e-05
316,1.1746286307217867e-05
317,1.2142588619620776e-05
318,1.2542433966264145e-05
319,1.2965153246312653e-05
320,1.3388616393871345e-05
321,1.3839154776554707e-05
322,1.4290606598265532e-05
323,1.4767589096459276e-05
324,1.5248628302359745e-05
325,1.575476259613882e-05
326,1.6268536287124447e-05
