,0
0,5.587544537735429e-10
1,6.262564155552518e-10
2,6.910133883506873e-10
3,7.547058488009076e-10
4,8.185398219894507e-10
5,8.834061162427072e-10
6,9.499844770746602e-10
7,1.0190391709841053e-09
8,1.0910122968268622e-09
9,1.1661450813529814e-09
10,1.2447611634047357e-09
11,1.32722953544081e-09
12,1.4144834203234551e-09
13,1.5062773011326758e-09
14,1.6029094817743704e-09
15,1.7046827409484337e-09
16,1.8119079236953562e-09
17,1.9249071710952832e-09
18,2.0443319896418776e-09
19,2.1705639539111217e-09
20,2.303654182376807e-09
21,2.443947579104221e-09
22,2.5918076991235675e-09
23,2.7476124631451702e-09
24,2.911753862164078e-09
25,3.08463871225866e-09
26,3.2666893899847236e-09
27,3.458495110090635e-09
28,3.6611865325478936e-09
29,3.875484554684912e-09
30,4.1007766237061135e-09
31,4.3404891636770905e-09
32,4.59191560051112e-09
33,4.8555422010861695e-09
34,5.131903194334186e-09
35,5.4233268629607125e-09
36,5.731812665379055e-09
37,6.055029710960587e-09
38,6.39358032170282e-09
39,6.748088990909165e-09
40,7.122836570556745e-09
41,7.517610362907734e-09
42,7.9309550795603e-09
43,8.363615889089975e-09
44,8.816378983686967e-09
45,9.294265896125134e-09
46,9.796782978801659e-09
47,1.0322695001571818e-08
48,1.0873151179613189e-08
49,1.1449351296175875e-08
50,1.2052547265420085e-08
51,1.2687013204389517e-08
52,1.3353515654462486e-08
53,1.4051038717714073e-08
54,1.478103045453446e-08
55,1.554499624963072e-08
56,1.6344499876650266e-08
57,1.7181164549735635e-08
58,1.805667398059621e-08
59,1.8972773455739673e-08
60,1.9931270946382787e-08
61,2.093428261657572e-08
62,2.1985598275508034e-08
63,2.3084802166737404e-08
64,2.423393835619368e-08
65,2.5435120083327764e-08
66,2.6690531366080215e-08
67,2.8002428733758916e-08
68,2.9373143107507324e-08
69,3.0805081850813486e-08
70,3.230073101504087e-08
71,3.38626578084717e-08
72,3.549351332120944e-08
73,3.719603554261081e-08
74,3.8975035687521454e-08
75,4.08333567105375e-08
76,4.277276869088044e-08
77,4.47964170245373e-08
78,4.691530053659427e-08
79,4.9119874167620606e-08
80,5.143955621410149e-08
81,5.3855037823154384e-08
82,5.636871785154696e-08
83,5.8991193067926074e-08
84,6.17111605059417e-08
85,6.458630821857416e-08
86,6.756812937177208e-08
87,7.065954889855647e-08
88,7.387773195156716e-08
89,7.726265396664046e-08
90,8.077198637899557e-08
91,8.440917912132827e-08
92,8.820357414486924e-08
93,9.218093933168912e-08
94,9.630320743010877e-08
95,1.0057443462177381e-07
96,1.0503324427478889e-07
97,1.0971825568711807e-07
98,1.1455575495669922e-07
99,1.1957209314539286e-07
100,1.248543871142018e-07
101,1.3029869094658431e-07
102,1.3593882584186616e-07
103,1.4187798274095047e-07
104,1.479996461322691e-07
105,1.5432871209434967e-07
106,1.610002328990598e-07
107,1.678771654076999e-07
108,1.7496585389229034e-07
109,1.8245296541773148e-07
110,1.9018954551140414e-07
111,1.9814965994538696e-07
112,2.0656408591939604e-07
113,2.1519917226931435e-07
114,2.241599047379028e-07
115,2.3354591422844703e-07
116,2.431770475021995e-07
117,2.532443817489672e-07
118,2.6370654913279915e-07
119,2.744411328710803e-07
120,2.857301836991583e-07
121,2.9738348441983275e-07
122,3.093400712009778e-07
123,3.219751786534333e-07
124,3.349458597063267e-07
125,3.4831641144748845e-07
126,3.6237035750007576e-07
127,3.767968686880709e-07
128,3.91721930536375e-07
129,4.0734233240077013e-07
130,4.233763181068569e-07
131,4.400076383583597e-07
132,4.5735598267240424e-07
133,4.75163334413565e-07
134,4.936645153121065e-07
135,5.1291724696748e-07
136,5.326792173381682e-07
137,5.532263894833631e-07
138,5.745760620146197e-07
139,5.964904408209006e-07
140,6.192729604558342e-07
141,6.429294489113583e-07
142,6.672118023689587e-07
143,6.924329710591287e-07
144,7.186509995419961e-07
145,7.45527261424584e-07
146,7.734777544861867e-07
147,8.024463008733466e-07
148,8.321422722779898e-07
149,8.630671985249865e-07
150,8.950783237178952e-07
151,9.27852183420442e-07
152,9.62095189365883e-07
153,9.973709056513846e-07
154,1.0334867892885667e-06
155,1.0713425789653907e-06
156,1.1101908241090573e-06
157,1.1500049016410084e-06
158,1.191849051579775e-06
159,1.2345879813613056e-06
160,1.278704719928245e-06
161,1.3245904551398703e-06
162,1.3714752696885894e-06
163,1.4202493660653894e-06
164,1.4705659903159048e-06
165,1.5219889025207768e-06
166,1.5758044845972582e-06
167,1.6309909034443303e-06
168,1.6875813845326626e-06
169,1.7467154565537424e-06
170,1.8071262131248412e-06
171,1.8695024514293472e-06
172,1.93420635925228e-06
173,2.000317262398602e-06
174,2.068945296847813e-06
175,2.1397202096967367e-06
176,2.2120768310383785e-06
177,2.2878007853289644e-06
178,2.3651449357453404e-06
179,2.444878300688556e-06
180,2.527498428067115e-06
181,2.61150347901111e-06
182,2.699604766348306e-06
183,2.789332093895807e-06
184,2.881950020723589e-06
185,2.9777221675994464e-06
186,3.075167033862795e-06
187,3.1771928407890943e-06
188,3.281183766240127e-06
189,3.3882835373388997e-06
190,3.49918006439529e-06
191,3.6120816731450485e-06
192,3.7297314265966398e-06
193,3.850099394729742e-06
194,3.9734355510942365e-06
195,4.101669719809935e-06
196,4.232288936101558e-06
197,4.367429860541806e-06
198,4.506540711602302e-06
