,0
0,26868.55881921783
1,27546.52706751915
2,28237.886178356923
3,28942.8494547628
4,29661.631724334893
5,30394.44944486993
6,31141.520742326244
7,31903.065397690676
8,32679.30479466525
9,33470.46183688395
10,34276.760841219504
11,35098.4274122452
12,35935.73727876813
13,36789.66298995421
14,37659.555171323496
15,38545.63968347256
16,39448.1430422514
17,40367.292260947965
18,41303.31468974153
19,42256.43785435365
20,43226.88929555792
21,44214.89641104817
22,45220.686301005764
23,46244.48561848582
24,47286.520425619885
25,48347.01605645771
26,49433.23494377528
27,50534.328958526195
28,51655.83286759586
29,52800.16010360461
30,53960.04611058365
31,55140.51004265642
32,56345.22355112053
33,57566.1980575828
34,58807.53776689167
35,60074.9601928883
36,61360.06289220259
37,62666.04570986337
38,63999.1896099305
39,65348.176657075215
40,66722.81445364481
41,68121.52974353063
42,69536.64949905167
43,70982.14635499708
44,72448.73313840244
45,73932.50286830476
46,75450.93048395403
47,76988.82064080589
48,78547.72300170477
49,80139.73269500797
50,81748.17253022846
51,83387.08482226057
52,85052.89612618426
53,86736.46532403426
54,88458.77591261084
55,90195.80135004585
56,91967.81639772156
57,93763.18688503902
58,95582.0375026238
59,97437.02515478081
60,99307.9081272899
61,101219.36132391043
62,103151.74716168073
63,105112.2558640578
64,107107.44170249754
65,109119.73608745189
66,111177.07711418183
67,113254.09447738502
68,115362.75404797275
69,117505.75976853858
70,119667.22226682174
71,121876.76071790811
72,124106.24915876382
73,126369.13203604324
74,128667.9835842229
75,130986.95579872266
76,133354.46960700132
77,135744.88573140887
78,138167.7557727665
79,140630.96585362597
80,143116.0158569138
81,145647.25241349562
82,148207.59291790795
83,150796.96979142478
84,153433.76673520583
85,156092.61231599702
86,158796.62470546068
87,161533.57351152675
88,164298.3283345041
89,167114.77902510038
90,169954.9284993536
91,172838.4000403829
92,175760.20147061814
93,178706.64413374016
94,181711.47694622917
95,184741.73959488774
96,187810.93907055628
97,190926.43995689478
98,194068.31502450793
99,197262.9364015211
100,200492.2410892073
101,203753.42354561298
102,207071.58531109805
103,210417.8985558678
104,213808.54779997357
105,217245.9297073107
106,220712.49174999364
107,224235.21665822333
108,227795.07172773028
109,231387.96612594006
110,235042.5533353346
111,238728.1666755387
112,242457.14639057234
113,246239.73131305407
114,250054.4179310272
115,253922.06210520508
116,257835.96928603665
117,261783.07186501654
118,265791.9457101246
119,269840.52611950657
120,273924.5609626264
121,278076.06703743705
122,282262.69584062335
123,286491.908463493
124,290783.7283572502
125,295111.8026827232
126,299488.723474392
127,303924.2594827515
128,308397.1961986386
129,312924.33997948153
130,317518.3647584105
131,322140.9175241822
132,326839.99763837195
133,331558.95311501384
134,336364.7319334355
135,341189.1087963335
136,346095.20377949567
137,351028.76405375864
138,356034.04793298896
139,361078.44630510226
140,366183.897351769
141,371340.7897972628
142,376547.3827769355
143,381818.4261774403
144,387127.1323189923
145,392513.984084321
146,397925.77105083497
147,403430.0887469264
148,408958.99527950224
149,414574.0456827851
150,420219.9308334738
151,425944.831154629
152,431709.44767858076
153,437545.13519376284
154,443430.233357545
155,449377.64072474866
156,455384.9679163107
157,461445.0232076261
158,467576.3235577005
159,473749.95029140037
160,480006.96430623805
161,486295.08147907
162,492679.54568470694
163,499088.3304304242
164,505596.7144027498
165,512135.70937247196
166,518761.10805732664
167,525432.0417883446
168,532175.3548450867
