    time    temp    dens
   1.18434088770565E+00   5.73042912057595E-01   2.73073347645741E+02
     nin     zin       y       x
  1    0     9.65377947260341E-06   9.65377947260341E-06
  0    1     2.46604999300511E-11   2.46604999300511E-11
  1    1     4.34363013709437E-10   8.68726027418874E-10
  2    1     3.29946259174896E-10   9.89838777524689E-10
  1    2     1.27532264835985E-16   3.82596794507955E-16
  2    2     2.85969810960303E-04   1.14387924384121E-03
  4    2     3.87827774628828E-12   2.32696664777297E-11
  3    3     2.54248568542572E-15   1.52549141125543E-14
  4    3     2.35214211318489E-10   1.64649947922942E-09
  5    3     2.24947669414862E-12   1.79958135531890E-11
  6    3     1.62197967618676E-06   1.45978170856809E-05
  3    4     5.55354891633720E-22   3.88748424143604E-21
  5    4     4.67826091001817E-08   4.21043481901635E-07
  6    4     7.95442525663917E-07   7.95442525663917E-06
  7    4     1.54229961187294E-14   1.69652957306023E-13
  8    4     2.54540404640338E-09   3.05448485568405E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     4.35583021831059E-20   4.35583021831059E-19
  6    5     2.00203384537422E-10   2.20223722991164E-09
  7    5     1.57386334187434E-09   1.88863601024920E-08
  8    5     4.82071876043249E-09   6.26693438856224E-08
  9    5     7.47765607860452E-13   1.04687185100463E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     7.47285547885398E-09   8.96742657462478E-08
  7    6     4.41989208270238E-09   5.74585970751309E-08
  8    6     5.80242747815735E-09   8.12339846942029E-08
  9    6     3.97399384995232E-10   5.96099077492848E-09
 10    6     5.43867496708842E-06   8.70187994734147E-05
 11    6     2.15491404854181E-11   3.66335388252107E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.97986483253968E-21   1.03738242823016E-19
  7    7     3.27805221378489E-14   4.58927309929885E-13
  8    7     9.22103453157057E-08   1.38315517973559E-06
  9    7     2.60258552540256E-08   4.16413684064410E-07
 10    7     2.75898428386483E-08   4.69027328257021E-07
 11    7     1.55337502825905E-08   2.79607505086628E-07
 12    7     2.93842477193297E-09   5.58300706667263E-08
 13    7     1.06801885666177E-06   2.13603771332354E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     7.48798558328913E-11   1.19807769332626E-09
  9    8     8.41526348870722E-13   1.43059479308023E-11
 10    8     2.68335569555922E-10   4.83004025200660E-09
 11    8     1.80070306256607E-08   3.42133581887554E-07
 12    8     1.01395491578776E-07   2.02790983157552E-06
 13    8     1.68819183363844E-07   3.54520285064073E-06
 14    8     5.94635866641608E-06   1.30819890661154E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.14258115424954E-25   1.94238796222422E-24
  9    9     6.87506506372863E-25   1.23751171147115E-23
 10    9     4.31360765954395E-13   8.19585455313351E-12
 11    9     6.36189417392390E-12   1.27237883478478E-10
 12    9     9.93054585258884E-10   2.08541462904366E-08
 13    9     5.13109672047082E-08   1.12884127850358E-06
 14    9     1.18048179710167E-09   2.71510813333385E-08
 15    9     2.10791164621704E-09   5.05898795092090E-08
 16    9     5.08314719329894E-08   1.27078679832474E-06
 17    9     1.46290490677039E-11   3.80355275760302E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.25704268330626E-15   2.51408536661252E-14
 11   10     2.30809862771422E-13   4.84700711819986E-12
 12   10     6.62181414620950E-11   1.45679911216609E-09
 13   10     5.32972379280203E-11   1.22583647234447E-09
 14   10     1.79287836596135E-09   4.30290807830723E-08
 15   10     9.01912157159496E-09   2.25478039289874E-07
 16   10     2.74958657906844E-09   7.14892510557794E-08
 17   10     2.13855917350978E-10   5.77410976847641E-09
 18   10     7.20395418051854E-10   2.01710717054519E-08
 19   10     3.98813560172663E-11   1.15655932450072E-09
 20   10     9.64492699430446E-11   2.89347809829134E-09
 21   10     6.16741317811081E-12   1.91189808521435E-10
 22   10     3.70904588963070E-11   1.18689468468182E-09
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     3.43099006499414E-25   7.54817814298711E-24
 12   11     1.06543567109984E-15   2.45050204352962E-14
 13   11     7.65387635621649E-15   1.83693032549196E-13
 14   11     2.64368900076941E-11   6.60922250192352E-10
 15   11     3.85305297132093E-11   1.00179377254344E-09
 16   11     2.60970097759078E-10   7.04619263949510E-09
 17   11     1.68048909575653E-10   4.70536946811830E-09
 18   11     5.07073948019990E-10   1.47051444925797E-08
 19   11     1.24582660957278E-10   3.73747982871833E-09
 20   11     7.64646832191089E-10   2.37040517979238E-08
 21   11     5.27877498818057E-09   1.68920799621778E-07
 22   11     2.53383194731344E-13   8.36164542613434E-12
 23   11     8.72926769091591E-15   2.96795101491141E-13
 24   11     3.43518291753995E-15   1.20231402113898E-13
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     9.41328745838010E-23   2.25918899001123E-21
 13   12     1.01447983138781E-16   2.53619957846953E-15
 14   12     1.07705276332835E-13   2.80033718465372E-12
 15   12     7.27302951893784E-13   1.96371797011322E-11
 16   12     2.92223742952872E-11   8.18226480268041E-10
 17   12     3.38301045349263E-11   9.81073031512863E-10
 18   12     6.74855130159492E-10   2.02456539047847E-08
