    time    temp    dens
   2.22320757996567E+01   2.54449443383161E-02   4.12828279690848E-02
     nin     zin       y       x
  1    0     1.96065876992918E-10   1.96065876992918E-10
  0    1     4.41741318409350E-12   4.41741318409350E-12
  1    1     5.62235083802985E-12   1.12447016760597E-11
  2    1     1.02290507604797E-12   3.06871522814389E-12
  1    2     3.96274907774421E-17   1.18882472332326E-16
  2    2     6.65067257608416E-05   2.66026903043366E-04
  4    2     5.43009989558171E-21   3.25805993734903E-20
  3    3     7.22939423483602E-14   4.33763654090161E-13
  4    3     1.28767277257584E-10   9.01370940803086E-10
  5    3     9.38599323068305E-18   7.50879458454644E-17
  6    3     1.31664191135004E-23   1.18497772021504E-22
  3    4     1.15672210929203E-22   8.09705476504419E-22
  5    4     4.36680290146155E-07   3.93012261131540E-06
  6    4     1.30097484575237E-07   1.30097484575237E-06
  7    4     3.02469188358305E-13   3.32716107194136E-12
  8    4     2.71882979139324E-23   3.26259574967189E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.54187540661830E-19   2.54187540661830E-18
  6    5     1.83643380171703E-10   2.02007718188874E-09
  7    5     3.56897921910937E-20   4.28277506293124E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.23796547540348E-07   2.68555857048417E-06
  7    6     1.94321329063970E-08   2.52617727783161E-07
  8    6     3.66777127415382E-08   5.13487978381535E-07
  9    6     1.35609709185280E-13   2.03414563777920E-12
 10    6     9.40779206726269E-15   1.50524673076203E-13
 11    6     2.88860466185813E-25   4.91062792515881E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.59671300254978E-20   2.07572690331472E-19
  7    7     4.05839988705033E-12   5.68175984187046E-11
  8    7     2.42945894838562E-06   3.64418842257843E-05
  9    7     7.53946446015452E-09   1.20631431362472E-07
 10    7     4.16701432215177E-10   7.08392434765801E-09
 11    7     4.63159322770856E-19   8.33686780987541E-18
 12    7     1.72824860030735E-25   3.28367234058396E-24
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.56756556912680E-25   2.35134835369020E-24
  8    8     6.57368977575021E-08   1.05179036412003E-06
  9    8     9.34381304811518E-10   1.58844821817958E-08
 10    8     7.39392075234852E-08   1.33090573542273E-06
 11    8     9.60210070792188E-08   1.82439913450516E-06
 12    8     5.92517361846547E-08   1.18503472369309E-06
 13    8     5.92745182460780E-10   1.24476488316764E-08
 14    8     8.66806751404025E-10   1.90697485308886E-08
  5    9     1.00000000000000E-99   1.00000000000000E-99
