    time    temp    dens
   2.94596972391509E+03   1.00000000000000E-02   1.54536157300048E-08
     nin     zin       y       x
  1    0     4.17322147535738E-11   4.17322147535738E-11
  0    1     4.41119052854188E-10   4.41119052854188E-10
  1    1     1.31668745906768E-10   2.63337491813536E-10
  2    1     2.61680636589720E-12   7.85041909769159E-12
  1    2     2.18294728735607E-14   6.54884186206822E-14
  2    2     2.78892262905420E-04   1.11556905162168E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     8.93524621219977E-13   5.36114772731986E-12
  4    3     2.53644306781305E-10   1.77551014746913E-09
  5    3     1.28594478650604E-24   1.02875582920483E-23
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.64728429372577E-20   4.65309900560804E-19
  5    4     1.12933297079541E-06   1.01639967371587E-05
  6    4     7.35551767582303E-07   7.35551767582303E-06
  7    4     4.08631464303452E-21   4.49494610733798E-20
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.54158484086393E-17   3.54158484086393E-16
  6    5     3.32900528711540E-10   3.66190581582694E-09
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.39862579095118E-07   5.27835094914142E-06
  7    6     1.50188895315894E-08   1.95245563910662E-07
  8    6     9.86390912744105E-09   1.38094727784175E-07
  9    6     4.25070741808714E-25   6.37606112713070E-24
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.82700275062523E-21   2.37510357581280E-20
  7    7     1.53693273813870E-12   2.15170583339418E-11
  8    7     5.05256247383722E-06   7.57884371075583E-05
  9    7     9.71901579181610E-22   1.55504252669058E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.10758911278878E-07   1.77214258046206E-06
  9    8     2.01983885551528E-09   3.43372605437598E-08
 10    8     1.28150695370628E-08   2.30671251667130E-07
 11    8     1.41638667113149E-23   2.69113467514984E-22
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.93714170847606E-25   3.48685507525692E-24
 10    9     3.79980230500002E-07   7.21962437950004E-06
 11    9     4.97434497979771E-23   9.94868995959543E-22
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     7.02306934014662E-07   1.40461386802932E-05
 11   10     1.62790277248304E-07   3.41859582221438E-06
 12   10     4.88751729997506E-06   1.07525380599451E-04
 13   10     1.26100181422010E-18   2.90030417270622E-17
 14   10     6.20878996711925E-13   1.49010959210862E-11
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.09722061040597E-21   4.61388534289314E-20
 12   11     1.94388455961988E-09   4.47093448712572E-08
 13   11     1.15626168810044E-08   2.77502805144106E-07
 14   11     3.48012988565572E-19   8.70032471413929E-18
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
