    time    temp    dens
   1.15250877525474E+00   5.62617749858903E-01   2.58096564737526E+02
     nin     zin       y       x
  1    0     1.51013911020384E-05   1.51013911020384E-05
  0    1     4.31669436699330E-11   4.31669436699330E-11
  1    1     6.65254321240722E-10   1.33050864248144E-09
  2    1     3.04814902728831E-10   9.14444708186493E-10
  1    2     1.86308079583133E-16   5.58924238749400E-16
  2    2     2.77964029499234E-04   1.11185611799694E-03
  4    2     1.38819721860235E-12   8.32918331161413E-12
  3    3     2.34336259427069E-15   1.40601755656241E-14
  4    3     2.11666136343048E-10   1.48166295440133E-09
  5    3     3.80320736386004E-12   3.04256589108803E-11
  6    3     1.54152019383708E-06   1.38736817445337E-05
  3    4     4.67960922496286E-22   3.27572645747400E-21
  5    4     4.06983148943420E-08   3.66284834049078E-07
  6    4     7.39508026138453E-07   7.39508026138453E-06
  7    4     2.63320021088108E-14   2.89652023196918E-13
  8    4     2.67507679931815E-09   3.21009215918178E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.92011382089010E-20   3.92011382089010E-19
  6    5     1.70548878680960E-10   1.87603766549056E-09
  7    5     1.39537334547706E-09   1.67444801457247E-08
  8    5     4.87013526540566E-09   6.33117584502736E-08
  9    5     1.73877974774044E-12   2.43429164683662E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.76205228739986E-09   5.71446274487984E-08
  7    6     3.47236094977776E-09   4.51406923471109E-08
  8    6     4.72466432276388E-09   6.61453005186943E-08
  9    6     8.71646593868686E-10   1.30746989080303E-08
 10    6     4.79582534107593E-06   7.67332054572149E-05
 11    6     3.80651297550084E-11   6.47107205835142E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.07748007035188E-21   6.60072409145744E-20
  7    7     1.78126792674216E-14   2.49377509743903E-13
  8    7     7.24873870110893E-08   1.08731080516634E-06
  9    7     2.34044609678415E-08   3.74471375485464E-07
 10    7     2.54175635663347E-08   4.32098580627689E-07
 11    7     1.43315473319520E-08   2.57967851975136E-07
 12    7     2.71292248841152E-09   5.15455272798188E-08
 13    7     9.55721331011019E-07   1.91144266202204E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     5.68449237982825E-11   9.09518780772519E-10
  9    8     6.21068509779028E-13   1.05581646662435E-11
 10    8     2.17070839455518E-10   3.90727511019932E-09
 11    8     1.26272623264396E-08   2.39917984202353E-07
 12    8     8.38817447351919E-08   1.67763489470384E-06
 13    8     1.55992244288360E-07   3.27583713005557E-06
 14    8     4.87249858100463E-06   1.07194968782102E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     2.05760923570169E-25   3.70369662426304E-24
 10    9     2.09303491243312E-13   3.97676633362292E-12
 11    9     3.66594581462516E-12   7.33189162925032E-11
 12    9     8.56973268713769E-10   1.79964386429891E-08
 13    9     3.96067192135985E-08   8.71347822699166E-07
 14    9     9.99699359184897E-10   2.29930852612526E-08
 15    9     1.81027376169949E-09   4.34465702807877E-08
 16    9     3.72049946678216E-08   9.30124866695540E-07
 17    9     2.42187760858475E-11   6.29688178232035E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     5.98976463645310E-16   1.19795292729062E-14
 11   10     1.41894651961737E-13   2.97978769119647E-12
 12   10     4.32564750724073E-11   9.51642451592960E-10
 13   10     4.21849660231434E-11   9.70254218532298E-10
 14   10     1.14401415842206E-09   2.74563398021295E-08
 15   10     6.06410427563060E-09   1.51602606890765E-07
 16   10     2.37178668426345E-09   6.16664537908496E-08
 17   10     1.89481555500832E-10   5.11600199852245E-09
 18   10     6.69035399389563E-10   1.87329911829078E-08
 19   10     3.82238221761046E-11   1.10849084310703E-09
 20   10     1.01189484512115E-10   3.03568453536344E-09
 21   10     7.94598291692716E-12   2.46325470424742E-10
 22   10     4.57514151260048E-11   1.46404528403215E-09
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.17421121088314E-25   4.78326466394290E-24
 12   11     5.95487685445799E-16   1.36962167652534E-14
 13   11     3.56120806423957E-15   8.54689935417497E-14
 14   11     1.30520862468666E-11   3.26302156171665E-10
 15   11     2.23258264459499E-11   5.80471487594696E-10
 16   11     1.87156681225415E-10   5.05323039308620E-09
 17   11     1.20346769492934E-10   3.36970954580216E-09
 18   11     4.26923315864516E-10   1.23807761600710E-08
 19   11     9.87622409920407E-11   2.96286722976122E-09
 20   11     6.83374531990397E-10   2.11846104917023E-08
 21   11     4.77970128106519E-09   1.52950440994086E-07
 22   11     4.83718321454326E-13   1.59627046079928E-11
 23   11     3.09122296245881E-14   1.05101580723599E-12
 24   11     1.00536658312511E-14   3.51878304093787E-13
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     3.05140331001111E-23   7.32336794402666E-22
 13   12     3.46942851123363E-17   8.67357127808409E-16
 14   12     5.23345185770500E-14   1.36069748300330E-12
 15   12     3.68341703548557E-13   9.94522599581105E-12
 16   12     1.73405314663281E-11   4.85534881057188E-10
 17   12     2.11798878380038E-11   6.14216747302109E-10
 18   12     4.90888470747911E-10   1.47266541224373E-08
 19   12     4.26469249966629E-10   1.32205467489655E-08
 20   12     4.39786743157500E-09   1.40731757810400E-07
 21   12     8.57918334360788E-10   2.83113050339060E-08
