    time    temp    dens
   3.06173551745516E-01   7.83706217824645E-01   1.37661320093081E+04
     nin     zin       y       x
  1    0     7.32182113851827E-01   7.32182113851827E-01
  0    1     2.95022401965312E-12   2.95022401965312E-12
  1    1     9.40961047884943E-11   1.88192209576989E-10
  2    1     8.25176004149440E-08   2.47552801244832E-07
  1    2     1.24083808049173E-22   3.72251424147519E-22
  2    2     1.01288709688731E-04   4.05154838754924E-04
  4    2     2.87620532773594E-12   1.72572319664156E-11
  3    3     1.98157461233150E-24   1.18894476739890E-23
  4    3     1.77525375476168E-13   1.24267762833318E-12
  5    3     2.34816446323465E-13   1.87853157058772E-12
  6    3     2.27785152947391E-06   2.05006637652652E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.21735796033206E-13   1.99562216429885E-12
  6    4     4.64008774159417E-10   4.64008774159417E-09
  7    4     1.38929170503859E-12   1.52822087554245E-11
  8    4     1.59646741674611E-07   1.91576090009533E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.89010845312000E-15   4.27911929843200E-14
  7    5     2.47511424575785E-13   2.97013709490943E-12
  8    5     6.83861200171203E-08   8.89019560222565E-07
  9    5     1.20469432543921E-07   1.68657205561489E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.14790848574057E-18   7.37749018288869E-17
  7    6     2.77020902118213E-14   3.60127172753676E-13
  8    6     3.72692889314070E-13   5.21770045039698E-12
  9    6     2.26731490066179E-12   3.40097235099268E-11
 10    6     5.16220737013548E-06   8.25953179221676E-05
 11    6     8.92451416655799E-07   1.51716740831486E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     5.82222049406449E-23   8.15110869169029E-22
  8    7     2.49436687853769E-13   3.74155031780654E-12
  9    7     6.98062106910661E-13   1.11689937105706E-11
 10    7     3.47869103283403E-12   5.91377475581785E-11
 11    7     3.13403486460368E-12   5.64126275628662E-11
 12    7     1.32537428231024E-12   2.51821113638945E-11
 13    7     9.63627772883698E-07   1.92725554576740E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
