#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.0734369013361534E-04    6.9839641175077798E+00    5.0246822029149728E+06    5.0004777618285874E+06    7.6106717039023636E-12    7.6361308554522962E-12    5.4278680426224712E+06    5.4051688095277268E+06    1.8837972031150635E+01    1.8765885697608223E+01    1.1835670412844996E+01    1.1944575527236605E+01    5.8281698236863538E+11    5.8126832680804468E+11    7.8196275475676271E-04    1.0391463310159808E+17    1.0391463310159808E+17    1.0391463310159808E+17    1.0391463310159808E+17
 1.0734369015802392E-04    6.9839641168297133E+00    5.0252163037267951E+06    5.0071483368575638E+06    7.6313300084751124E-12    7.6412553399118004E-12    5.4267497407425800E+06    5.4064712973092189E+06    1.8831000644862833E+01    1.8762121867305311E+01    1.1851405872211512E+01    1.1950564105261392E+01    5.8269304327282251E+11    5.8204511550140381E+11    7.8195880410193274E-04    1.0391463310159806E+17    1.0391463310159806E+17    1.0391463310159806E+17    1.0391463310159806E+17
 1.0734369024790171E-04    6.9839641143329212E+00    5.0264210059783421E+06    5.0094654615306715E+06    7.6464565029015579E-12    7.6449286668045383E-12    5.4221984341992447E+06    5.4095852516778503E+06    1.8802054421953400E+01    1.8746481043461120E+01    1.1856851057524290E+01    1.1958022420412741E+01    5.8220561432581323E+11    5.8231467415557336E+11    7.8195542190727157E-04    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17
 1.0734369220878270E-04    6.9839640598599475E+00    5.0348312929867990E+06    5.0093798595348001E+06    7.6431315139162253E-12    7.6429262815385565E-12    5.4082359478484942E+06    5.4196889106897777E+06    1.8712964685348744E+01    1.8698289387066971E+01    1.1856653850316754E+01    1.1957560504685237E+01    5.8072915985269458E+11    5.8230278247194617E+11    7.8195386949039900E-04    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17
 1.0734371151181474E-04    6.9839635236246922E+00    5.0361809403863745E+06    5.0091736470125467E+06    7.6427141166105947E-12    7.6427142796131018E-12    5.4079413867141614E+06    5.4205210564600946E+06    1.8709349093803816E+01    1.8697275451542410E+01    1.1856164953850369E+01    1.1955826195845033E+01    5.8070012617800732E+11    5.8227866217472400E+11    7.8195382882470369E-04    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17    1.0391463310159811E+17
 1.0734427728057687E-04    6.9839478066721243E+00    5.0365067988522677E+06    5.0171305775152342E+06    7.6426315706435130E-12    7.6426317759256041E-12    5.4148279250004189E+06    5.4206507614319818E+06    1.8709909754985407E+01    1.8721107769179948E+01    1.1874962611820656E+01    1.1956580029230734E+01    5.8144664991053455E+11    5.8321656149901978E+11    7.8195391594635506E-04    1.0391463310159642E+17    1.0391463310159642E+17    1.0391463310159642E+17    1.0391463310159642E+17
 1.0736238188096532E-04    6.9834448810350116E+00    5.0470722103546653E+06    5.0528033536890568E+06    7.6399930000675959E-12    7.6399932052055105E-12    5.4461613863021936E+06    5.4247620865117311E+06    1.8727540237764067E+01    1.8830179141591124E+01    1.1958254475893199E+01    1.1981321686509073E+01    5.8503837618983618E+11    5.8778184457235767E+11    7.8195669594232091E-04    1.0391463310160650E+17    1.0391463310160650E+17    1.0391463310160650E+17    1.0391463310160650E+17
 1.0768263517235296E-04    6.9745541125066790E+00    5.2380579327748055E+06    5.2292547210082710E+06    7.5936984897005938E-12    7.5936986923022870E-12    5.6090583998871343E+06    5.5041046075759884E+06    1.9061117257983895E+01    1.9406832125729434E+01    1.2354809311118878E+01    1.2427747200189557E+01    6.0667683763645178E+11    6.1600825957996814E+11    7.8200585949920196E-04    1.0391463310179035E+17    1.0391463310179035E+17    1.0391463310179035E+17    1.0391463310179035E+17
 1.0834941375669316E-04    6.9560786881479144E+00    5.6620291966126533E+06    5.6205490151680578E+06    7.4995515375674976E-12    7.4995517350378307E-12    5.9817673241915284E+06    5.7080444258343987E+06    1.9884716393655683E+01    2.0725921071392825E+01    1.3231195550591174E+01    1.3413673424395743E+01    6.5619001284299939E+11    6.7958255444522925E+11    7.8210815163485279E-04    1.0391463310082758E+17    1.0391463310082758E+17    1.0391463310082758E+17    1.0391463310082758E+17
 1.0942463010804261E-04    6.9263985602850937E+00    6.4278393311027838E+06    6.3283881950524170E+06    7.3538178430699433E-12    7.3538180327218509E-12    6.6874394231790444E+06    6.1429478270340413E+06    2.1575672258849750E+01    2.3223335837156704E+01    1.4807123158095772E+01    1.5178297202773640E+01    7.5020741524669360E+11    7.9769357172980981E+11    7.8227291924887307E-04    1.0391463310049522E+17    1.0391463310049522E+17    1.0391463310049522E+17    1.0391463310049522E+17
