#                               Top nuclear energy producers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                                                  Top nuclear energy consumers for each reaction given in erg/g/s                                                                                                                                                                                                                                                                                                                                                                                                                             |     Top nuclear energy producers for each isotope given in erg/g/s                                                                                                                                                                                         Top nuclear energy consumers for each isotope given in erg/g/s
#    Time[s]   Etot[erg/g/s]    Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                           Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         Reaction_1                       Reaction_2                       Reaction_3                       Reaction_4                       Reaction_5                       Reaction_6                       Reaction_7                       Reaction_8                       Reaction_9                       Reaction_10                          Ereac_1        Ereac_2        Ereac_3        Ereac_4        Ereac_5        Ereac_6        Ereac_7        Ereac_8        Ereac_9        Ereac_10         |      Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10           Iso1    Iso2    Iso3    Iso4    Iso5    Iso6    Iso7    Iso8    Iso9   Iso10        Eiso_1         Eiso_2         Eiso_3         Eiso_4         Eiso_5         Eiso_6         Eiso_7         Eiso_8         Eiso_9         Eiso_10
  2.3257E-05      0.0000E+00    p => n                           p + p => d                       p + p => d                       f25 => n + ne24                  mn73 => n + n + fe71             s46 => n + cl45                  br105 => n + n + kr103           s46 => cl46                      se102 => n + n + br100           f25 => ne25                           4.5129E+01    -4.9739E-15    -4.9739E-15    -1.0654E-06    -1.1042E-06    -1.1057E-06    -1.2592E-06    -1.4828E-06    -1.5083E-06    -1.5472E-06       n => p                           se118 => n + br117               se118 => n + n + br116           se118 => br118                   ge112 => as112                   as115 => se115                   se117 => br117                   se117 => n + br116               se117 => n + n + br115           ni99 => n + n + cu97                -6.6325E+17    -1.1503E+16    -1.1031E+16    -1.0826E+16    -5.3535E+15    -4.0283E+15    -1.5008E+15    -1.4374E+15    -1.3186E+15    -6.2169E+14       |     -----   -----   -----   -----   -----   -----   -----   -----   -----   -----        0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00       -----   -----   -----   -----   -----   -----   -----   -----   -----   -----        0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  2.3257E-05      5.1193E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1425E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0667E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.8754E+20     8.9437E+19     4.9953E+19     3.1693E+19     2.3188E+19     2.1158E+19     1.8071E+19     1.5189E+19     1.3794E+19     8.0790E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7076E+20    -8.1795E+19    -7.3687E+19    -1.3735E+19    -1.2616E+19    -7.4031E+18    -2.7834E+18    -1.2166E+18    -1.0451E+18    -2.6360E+17
  2.3257E-05      5.1569E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1425E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0667E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9384E+20     8.9179E+19     4.9717E+19     3.1974E+19     2.2417E+19     2.1823E+19     1.8217E+19     1.5966E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7554E+20    -8.3472E+19    -7.4159E+19    -1.3236E+19    -1.2515E+19    -8.0993E+18    -2.7958E+18    -1.2128E+18    -1.0797E+18    -2.6660E+17
  2.3257E-05      5.1769E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1425E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0667E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9380E+20     8.9177E+19     4.9715E+19     3.1973E+19     2.2416E+19     2.1820E+19     1.8216E+19     1.5963E+19     1.3811E+19     8.0737E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7564E+20    -8.3486E+19    -7.4190E+19    -1.3238E+19    -1.2095E+19    -8.1017E+18    -2.7963E+18    -1.2130E+18    -1.0798E+18    -2.6663E+17
  2.3257E-05      5.3032E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1425E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0667E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9391E+20     8.9189E+19     4.9725E+19     3.1977E+19     2.2420E+19     2.1827E+19     1.8219E+19     1.5966E+19     1.3812E+19     8.0745E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7546E+20    -8.3464E+19    -7.4122E+19    -1.3235E+19    -1.1278E+19    -8.0970E+18    -2.7956E+18    -1.2128E+18    -1.0797E+18    -2.6660E+17
  2.3257E-05      5.1389E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1425E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0667E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9388E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7544E+20    -8.3459E+19    -7.4124E+19    -1.3234E+19    -1.2916E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
  2.3257E-05      5.1390E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1424E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0666E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9388E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0738E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7544E+20    -8.3459E+19    -7.4124E+19    -1.3234E+19    -1.2915E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
  2.3257E-05      5.1390E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5291E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1423E+06     2.0378E-54     3.6860E-54     6.6549E-54     7.0666E-54     7.6181E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9388E+20     8.9181E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0737E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7544E+20    -8.3459E+19    -7.4124E+19    -1.3234E+19    -1.2915E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
  2.3258E-05      5.1390E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5290E+17     4.2494E+17     3.5115E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1422E+06     2.0377E-54     3.6859E-54     6.6549E-54     7.0665E-54     7.6180E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3173E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9388E+20     8.9180E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0737E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4123E+19    -1.3234E+19    -1.2914E+19    -8.0967E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
  2.3258E-05      5.1390E+19    se118 => n + n + br116           se117 => n + n + br115           ni99 => n + n + cu97             ni98 => n + n + cu96             ge111 => n + n + as109           kr124 => n + n + rb122           zn105 => n + n + ga103           as114 => n + n + se112           se116 => n + n + br114           se118 => n + br117                    1.3280E+19     1.7205E+18     6.5289E+17     4.2493E+17     3.5114E+17     3.1343E+17     2.6832E+17     2.3267E+17     1.7354E+17     1.3988E+17       p => n                           cl49 => ar49                     mo128 => tc128                   zr121 => nb121                   as99 => se99                     rh139 => pd139                   cu86 => zn86                     y118 => zr118                    nb124 => mo124                   sm207 => eu207                      -6.1418E+06     2.0377E-54     3.6859E-54     6.6549E-54     7.0664E-54     7.6178E-54     1.1025E-53     1.1443E-53     1.1626E-53     1.3172E-53       |     ge112    ni99    ni98   zn105    fe92   ge111   zn104   kr124    ti80    cr86        2.9389E+20     8.9180E+19     4.9719E+19     3.1975E+19     2.2417E+19     2.1826E+19     1.8218E+19     1.5969E+19     1.3811E+19     8.0735E+18       se118   se117   as115   se116       n   as114   br119   se115   br118   br117       -3.7543E+20    -8.3459E+19    -7.4123E+19    -1.3234E+19    -1.2914E+19    -8.0966E+18    -2.7952E+18    -1.2127E+18    -1.0796E+18    -2.6658E+17
