    time    temp    dens
   1.19701033118322E-01   1.09926531259650E+00   2.30367521784702E+05
     nin     zin       y       x
  1    0     7.45334421889148E-01   7.45334421889148E-01
  0    1     1.90084909121598E-13   1.90084909121598E-13
  1    1     4.72042027273679E-12   9.44084054547359E-12
  2    1     1.83836719949513E-08   5.51510159848540E-08
  1    2     1.91861962221582E-24   5.75585886664747E-24
  2    2     2.74753666680435E-05   1.09901466672174E-04
  4    2     1.85489950698060E-07   1.11293970418836E-06
  3    3     2.21426139268392E-21   1.32855683561035E-20
  4    3     1.84871708440784E-14   1.29410195908549E-13
  5    3     2.09580856961201E-14   1.67664685568961E-13
  6    3     6.88492705671600E-07   6.19643435104440E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.34313596715010E-14   2.10882237043509E-13
  6    4     4.73600504559814E-11   4.73600504559814E-10
  7    4     1.74290190792339E-13   1.91719209871573E-12
  8    4     1.00706293381207E-06   1.20847552057448E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.09135591774562E-15   1.20049150952019E-14
  7    5     7.39561567480115E-14   8.87473880976138E-13
  8    5     1.15585401972885E-06   1.50261022564751E-05
  9    5     3.39233103732655E-07   4.74926345225716E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.47611601327378E-19   7.77133921592853E-18
  7    6     2.04974717889269E-14   2.66467133256050E-13
  8    6     2.08667782768338E-13   2.92134895875674E-12
  9    6     6.56478852454392E-13   9.84718278681587E-12
 10    6     8.13361647583955E-06   1.30137863613433E-04
 11    6     6.33229239905513E-07   1.07648970783937E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.87452082627425E-23   6.82432915678394E-22
  8    7     1.64866717320783E-14   2.47300075981174E-13
  9    7     5.08699005720667E-14   8.13918409153067E-13
 10    7     2.21206241130513E-13   3.76050609921872E-12
 11    7     1.99290800087143E-13   3.58723440156857E-12
 12    7     1.41693134289070E-10   2.69216955149233E-09
 13    7     8.25823861771747E-07   1.65164772354349E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.39417607734248E-20   3.83068172374796E-19
  9    8     8.28306531076379E-23   1.40812110282984E-21
 10    8     1.63379385000272E-18   2.94082893000489E-17
 11    8     6.11514688604067E-16   1.16187790834773E-14
 12    8     1.82886949534858E-14   3.65773899069716E-13
 13    8     1.28228799277664E-12   2.69280478483094E-11
 14    8     6.36977016927650E-08   1.40134943724083E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.19273644386553E-22   7.96619924334450E-21
 11    9     4.90061479325164E-22   9.80122958650328E-21
 12    9     7.42769052145424E-19   1.55981500950539E-17
 13    9     5.54907426339639E-16   1.22079633794721E-14
 14    9     3.08980980919470E-17   7.10656256114782E-16
 15    9     9.06343354096527E-17   2.17522404983167E-15
 16    9     2.53813774984764E-10   6.34534437461911E-09
 17    9     6.93203929267003E-11   1.80233021609421E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.06616688247959E-23   2.34556714145509E-22
 13   10     2.52590801065943E-21   5.80958842451669E-20
 14   10     5.94441541757591E-19   1.42665970021822E-17
 15   10     1.58892980916922E-14   3.97232452292305E-13
 16   10     2.14012631037334E-14   5.56432840697069E-13
 17   10     6.33378368459804E-15   1.71012159484147E-13
 18   10     3.70786655005259E-14   1.03820263401473E-12
 19   10     2.72682433400801E-15   7.90779056862323E-14
 20   10     1.75018355493613E-14   5.25055066480839E-13
 21   10     8.21811695452277E-15   2.54761625590206E-13
 22   10     1.18027679177787E-08   3.77688573368920E-07
 23   10     4.77436448673113E-20   1.57554028062127E-18
 24   10     2.59047741706633E-19   8.80762321802551E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
