    time    temp    dens
   7.12585641483003E-01   7.88387227637722E-01   1.09195249562602E+03
     nin     zin       y       x
  1    0     1.12999948284735E-04   1.12999948284735E-04
  0    1     2.45166472613486E-11   2.45166472613486E-11
  1    1     9.52733113500134E-11   1.90546622700027E-10
  2    1     2.24410556778503E-09   6.73231670335510E-09
  1    2     8.09466474334613E-19   2.42839942300384E-18
  2    2     1.54823777415360E-04   6.19295109661441E-04
  4    2     9.04242929884659E-08   5.42545757930796E-07
  3    3     1.84641995640762E-15   1.10785197384457E-14
  4    3     6.97759054868866E-11   4.88431338408206E-10
  5    3     1.35866729177211E-12   1.08693383341769E-11
  6    3     1.91773702985757E-06   1.72596332687181E-05
  3    4     2.28478140154450E-23   1.59934698108115E-22
  5    4     1.35090674168965E-09   1.21581606752069E-08
  6    4     4.29995725974996E-07   4.29995725974996E-06
  7    4     1.49846829819406E-14   1.64831512801346E-13
  8    4     4.04855037271843E-09   4.85826044726212E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     4.55227048792995E-22   4.55227048792995E-21
  6    5     1.06105643422371E-10   1.16716207764608E-09
  7    5     6.13935223707118E-10   7.36722268448542E-09
  8    5     2.23588373132670E-08   2.90664885072471E-07
  9    5     4.38871749150809E-13   6.14420448811132E-12
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.28873173896128E-10   2.74647808675353E-09
  7    6     1.25059976661230E-09   1.62577969659599E-08
  8    6     2.81812943829258E-08   3.94538121360961E-07
  9    6     3.43102639042061E-11   5.14653958563091E-10
 10    6     1.01335189158183E-05   1.62136302653093E-04
 11    6     1.99203813734862E-11   3.38646483349265E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.08107533348043E-22   1.40539793352456E-21
  7    7     1.64252648025516E-14   2.29953707235722E-13
  8    7     1.75703708132212E-08   2.63555562198318E-07
  9    7     1.72987272269569E-08   2.76779635631311E-07
 10    7     2.44464459377274E-08   4.15589580941367E-07
 11    7     1.37666184144751E-08   2.47799131460553E-07
 12    7     5.01111147314478E-08   9.52111179897508E-07
 13    7     1.84976862553404E-06   3.69953725106808E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.91616484811290E-12   7.86586375698064E-11
  9    8     2.26210391188970E-14   3.84557665021248E-13
 10    8     5.59714126124243E-11   1.00748542702364E-09
 11    8     1.43856667251673E-09   2.73327667778179E-08
 12    8     2.51890742930817E-08   5.03781485861635E-07
 13    8     1.20644120330649E-07   2.53352652694364E-06
 14    8     4.18641747139488E-06   9.21011843706873E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     2.57316657027419E-25   4.63169982649353E-24
 10    9     8.91397185656717E-14   1.69365465274776E-12
 11    9     1.48931476741556E-13   2.97862953483112E-12
 12    9     1.58609027563866E-10   3.33078957884119E-09
 13    9     7.83211492906770E-09   1.72306528439489E-07
 14    9     3.46527586733061E-10   7.97013449486039E-09
 15    9     7.38728063867354E-10   1.77294735328165E-08
 16    9     1.03558476231449E-07   2.58896190578622E-06
 17    9     2.60306311199932E-12   6.76796409119823E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.16619766039769E-18   2.33239532079538E-17
 11   10     1.01753006214055E-15   2.13681313049516E-14
 12   10     5.26204895946216E-13   1.15765077108168E-11
 13   10     2.98718605593424E-12   6.87052792864874E-11
 14   10     2.56777605281830E-10   6.16266252676392E-09
 15   10     3.08635663428292E-09   7.71589158570731E-08
 16   10     1.78900443059969E-09   4.65141151955920E-08
 17   10     2.70963027807643E-10   7.31600175080637E-09
 18   10     1.59169903272256E-09   4.45675729162316E-08
 19   10     1.73082024412034E-11   5.01937870794898E-10
 20   10     5.65273934934205E-10   1.69582180480262E-08
 21   10     1.59624843571715E-11   4.94837015072316E-10
 22   10     1.29756569790059E-09   4.15221023328189E-08
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.48458510803223E-18   3.41454574847412E-17
 13   11     3.80303458573845E-17   9.12728300577228E-16
 14   11     3.09772718521310E-13   7.74431796303275E-12
 15   11     6.83370295192778E-13   1.77676276750122E-11
 16   11     1.68935102072522E-11   4.56124775595810E-10
 17   11     1.36343277010745E-11   3.81761175630086E-10
 18   11     1.19788481217087E-10   3.47386595529551E-09
 19   11     2.73110647646052E-11   8.19331942938157E-10
 20   11     5.33782827575493E-10   1.65472676548403E-08
 21   11     1.44043807354814E-08   4.60940183535404E-07
 22   11     1.56515579900796E-13   5.16501413672626E-12
 23   11     2.67295022351808E-17   9.08803075996148E-16
 24   11     4.36961355653432E-14   1.52936474478701E-12
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     2.54695946083881E-24   6.11270270601313E-23
 13   12     2.79964363437550E-20   6.99910908593876E-19
 14   12     7.72521167826028E-17   2.00855503634767E-15
 15   12     1.28574867289764E-15   3.47152141682364E-14
 16   12     1.51598813299263E-13   4.24476677237936E-12
 17   12     2.96091864992650E-13   8.58666408478686E-12
 18   12     6.64193848800434E-11   1.99258154640130E-09
 19   12     5.10994101146174E-11   1.58408171355314E-09
 20   12     1.04122557055055E-09   3.33192182576175E-08
 21   12     3.46227618495098E-10   1.14255114103382E-08
 22   12     2.28351360406865E-08   7.76394625383342E-07
 23   12     5.79411965479435E-21   2.02794187917802E-19
 24   12     2.29669501845445E-16   8.26810206643604E-15
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     3.33768898007988E-24   1.26832181243035E-22
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
