    time    temp    dens
   2.61489047536594E+00   2.27568236021430E-01   2.20980746865103E+01
     nin     zin       y       x
  1    0     2.78791954777707E-10   2.78791954777707E-10
  0    1     3.42647217036458E-13   3.42647217036458E-13
  1    1     4.26787904593587E-15   8.53575809187174E-15
  2    1     1.24361029003925E-08   3.73083087011774E-08
  1    2     1.44047538698726E-15   4.32142616096178E-15
  2    2     1.54841885652461E-04   6.19367542609845E-04
  4    2     1.75039599859599E-08   1.05023759915759E-07
  3    3     8.57362596723290E-09   5.14417558033974E-08
  4    3     1.65025685167958E-09   1.15517979617571E-08
  5    3     1.77525321510029E-13   1.42020257208023E-12
  6    3     5.02099034924504E-08   4.51889131432054E-07
  3    4     1.15072491788812E-17   8.05507442521685E-17
  5    4     8.26789134308931E-07   7.44110220878038E-06
  6    4     3.69887542825208E-07   3.69887542825208E-06
  7    4     1.46720831821888E-13   1.61392915004077E-12
  8    4     9.28484189581307E-21   1.11418102749757E-19
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     9.13296374419738E-14   9.13296374419738E-13
  6    5     2.28465466087743E-08   2.51312012696517E-07
  7    5     3.61575884787772E-14   4.33891061745326E-13
  8    5     4.62177935969162E-17   6.00831316759910E-16
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     3.56087534014516E-25   3.91696287415967E-24
  6    6     6.60840618285899E-07   7.93008741943079E-06
  7    6     6.53497102301195E-08   8.49546232991553E-07
  8    6     5.52840723614195E-08   7.73977013059873E-07
  9    6     1.29752533561949E-11   1.94628800342923E-10
 10    6     1.74265870093987E-06   2.78825392150380E-05
 11    6     9.38441667019791E-13   1.59535083393364E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.86474898979440E-19   7.62417368673272E-18
  7    7     3.50109257976641E-10   4.90152961167297E-09
  8    7     8.27523329992706E-06   1.24128499498906E-04
  9    7     1.25701784062076E-07   2.01122854499321E-06
 10    7     2.28905616450198E-08   3.89139547965336E-07
 11    7     1.78533847937480E-09   3.21360926287464E-08
 12    7     8.85620080284575E-09   1.68267815254069E-07
 13    7     1.01347477108626E-10   2.02694954217253E-09
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.35856049287845E-22   5.03784073931768E-21
  8    8     3.43462949201298E-08   5.49540718722076E-07
  9    8     1.07897965043802E-09   1.83426540574463E-08
 10    8     1.80365397340958E-07   3.24657715213724E-06
 11    8     7.44742477983484E-07   1.41501070816862E-05
 12    8     8.66407224407270E-07   1.73281444881454E-05
 13    8     9.93513766893574E-08   2.08637891047651E-06
 14    8     2.32980015070603E-06   5.12556033155327E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     4.84827321049562E-23   8.24206445784255E-22
  9    9     6.41793247037392E-21   1.15522784466731E-19
 10    9     3.05191548341072E-08   5.79863941848036E-07
 11    9     7.40665663839306E-08   1.48133132767861E-06
 12    9     4.25357920000638E-08   8.93251632001340E-07
 13    9     1.57357184852392E-06   3.46185806675262E-05
 14    9     4.87479903582100E-10   1.12120377823883E-08
 15    9     3.31641687120839E-11   7.95940049090013E-10
 16    9     1.07453058054707E-14   2.68632645136768E-13
 17    9     3.93312997583239E-22   1.02261379371642E-20
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     4.10513280332677E-09   8.21026560665354E-08
 11   10     7.84321848157697E-09   1.64707588113116E-07
 12   10     2.87570041444984E-07   6.32654091178964E-06
 13   10     8.60116577102801E-10   1.97826812733644E-08
