    time    temp    dens
   2.03295952405082E+01   2.99786748337775E-02   4.70249941965834E-02
     nin     zin       y       x
  1    0     1.28257171372617E-10   1.28257171372617E-10
  0    1     3.71305088224067E-12   3.71305088224067E-12
  1    1     2.75643262980078E-16   5.51286525960155E-16
  2    1     1.99851632067604E-08   5.99554896202813E-08
  1    2     1.46680620424372E-15   4.40041861273115E-15
  2    2     1.54860565002808E-04   6.19442260011231E-04
  4    2     6.08113580076540E-15   3.64868148045924E-14
  3    3     1.44751242357057E-08   8.68507454142344E-08
  4    3     1.68868512739358E-09   1.18207958917551E-08
  5    3     9.82360049574070E-17   7.85888039659256E-16
  6    3     7.59889065163673E-22   6.83900158647305E-21
  3    4     1.77132070184394E-20   1.23992449129076E-19
  5    4     8.76940602875834E-07   7.89246542588250E-06
  6    4     3.69892499184570E-07   3.69892499184570E-06
  7    4     4.35656619303295E-13   4.79222281233625E-12
  8    4     2.92068394233177E-23   3.50482073079812E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.52065739594225E-15   7.52065739594225E-14
  6    5     2.29218886792702E-08   2.52140775471972E-07
  7    5     4.04575902547479E-18   4.85491083056974E-17
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.60843290004767E-07   7.93011948005720E-06
  7    6     6.53542049304180E-08   8.49604664095434E-07
  8    6     5.55029131452886E-08   7.77040784034041E-07
  9    6     9.30338319079779E-14   1.39550747861967E-12
 10    6     2.13653872532850E-13   3.41846196052560E-12
 11    6     5.84284135587635E-24   9.93283030498980E-23
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.58670431105876E-19   4.66271560437639E-18
  7    7     3.49515501391671E-10   4.89321701948340E-09
  8    7     1.00004577178876E-05   1.50006865768313E-04
  9    7     2.61000410011072E-08   4.17600656017715E-07
 10    7     1.22597506248563E-09   2.08415760622557E-08
 11    7     9.57713400079160E-18   1.72388412014249E-16
 12    7     1.36051832821949E-23   2.58498482361703E-22
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.38727439999849E-22   2.08091159999773E-21
  8    8     1.71996954881943E-07   2.75195127811108E-06
  9    8     2.26605627849325E-09   3.85229567343852E-08
 10    8     1.85509251824251E-07   3.33916653283652E-06
 11    8     4.75249046796075E-07   9.02973188912542E-06
 12    8     3.49582339151203E-07   6.99164678302406E-06
 13    8     2.81332951802116E-09   5.90799198784444E-08
 14    8     1.05486095526705E-08   2.32069410158750E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     9.53154178944903E-24   1.62036210420633E-22
  9    9     4.43449659031367E-22   7.98209386256460E-21
 10    9     3.04951981531184E-07   5.79408764909249E-06
 11    9     3.12053233895310E-07   6.24106467790620E-06
 12    9     1.61835373058461E-08   3.39854283422768E-07
 13    9     3.43079450534096E-07   7.54774791175012E-06
 14    9     2.10617125971799E-12   4.84419389735137E-11
