    time    temp    dens
   6.94108171131609E-02   1.10968628691848E+00   1.18149931874701E+06
     nin     zin       y       x
  1    0     7.87246730938983E-01   7.87246730938983E-01
  0    1     3.70930913743748E-14   3.70930913743748E-14
  1    1     9.19457032082468E-13   1.83891406416494E-12
  2    1     8.37056803274034E-09   2.51117040982210E-08
  1    2     1.50264582027777E-25   4.50793746083330E-25
  2    2     1.09755848248864E-05   4.39023392995454E-05
  4    2     2.40320330171761E-07   1.44192198103056E-06
  3    3     5.27560258289058E-22   3.16536154973435E-21
  4    3     3.23448688683752E-15   2.26414082078626E-14
  5    3     3.67930487464759E-15   2.94344389971807E-14
  6    3     3.27643469146033E-07   2.94879122231430E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.69533939120910E-14   1.52580545208819E-13
  6    4     6.91489324000759E-12   6.91489324000759E-11
  7    4     1.27782474413036E-13   1.40560721854339E-12
  8    4     2.82145358534273E-06   3.38574430241127E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.58808730195428E-16   3.94689603214971E-15
  7    5     3.15091284889336E-14   3.78109541867203E-13
  8    5     9.20833990192355E-07   1.19708418725006E-05
  9    5     1.31001919958071E-06   1.83402687941300E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.88967271787668E-19   2.26760726145202E-18
  7    6     2.99191416231078E-15   3.88948841100401E-14
  8    6     3.95668803542628E-14   5.53936324959679E-13
  9    6     2.01716733535327E-13   3.02575100302991E-12
 10    6     3.49020096279922E-06   5.58432154047875E-05
 11    6     1.34829164270422E-06   2.29209579259718E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     6.47908325970181E-24   9.07071656358253E-23
  8    7     1.29390409446357E-15   1.94085614169535E-14
  9    7     7.38999884315325E-15   1.18239981490452E-13
 10    7     4.08420854598424E-14   6.94315452817321E-13
 11    7     3.67957699640123E-14   6.62323859352222E-13
 12    7     1.25218380070020E-11   2.37914922133038E-10
 13    7     3.24033153296716E-07   6.48066306593432E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.44115567641643E-21   2.30584908226629E-20
  9    8     4.99063180457157E-24   8.48407406777167E-23
 10    8     1.97402676426837E-19   3.55324817568307E-18
 11    8     4.44978689953153E-17   8.45459510910990E-16
 12    8     1.31251686469469E-15   2.62503372938938E-14
 13    8     9.20266099343372E-14   1.93255880862108E-12
 14    8     1.25489250017143E-08   2.76076350037714E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     2.62317565035186E-23   4.98403373566854E-22
 11    9     3.06330817261016E-23   6.12661634522031E-22
 12    9     4.53368657380337E-20   9.52074180498707E-19
 13    9     2.00542773971551E-17   4.41194102737412E-16
 14    9     1.11665214748990E-18   2.56829993922678E-17
 15    9     3.27551356045178E-18   7.86123254508427E-17
 16    9     1.52623748995322E-11   3.81559372488304E-10
 17    9     2.00551929150014E-11   5.21435015790036E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     3.35419306449755E-25   7.37922474189462E-24
 13   10     7.84458189132958E-23   1.80425383500580E-21
 14   10     7.49801761432647E-21   1.79952422743835E-19
 15   10     1.34429456579173E-15   3.36073641447932E-14
 16   10     1.80924419297782E-15   4.70403490174233E-14
 17   10     5.42784842727179E-16   1.46551907536338E-14
 18   10     3.16407050939914E-15   8.85939742631760E-14
