    time    temp    dens
   6.94058184889426E-01   8.00692179674681E-01   1.18175461275217E+03
     nin     zin       y       x
  1    0     1.23678356147670E-02   1.23678356147670E-02
  0    1     3.54160421845040E-11   3.54160421845040E-11
  1    1     6.57749359393584E-10   1.31549871878717E-09
  2    1     1.58930968706568E-08   4.76792906119703E-08
  1    2     3.57278441907444E-19   1.07183532572233E-18
  2    2     1.54760655540498E-04   6.19042622161992E-04
  4    2     9.18881254310742E-08   5.51328752586445E-07
  3    3     1.55555420966292E-17   9.33332525797752E-17
  4    3     3.81387722220519E-12   2.66971405554363E-11
  5    3     2.99929738863764E-12   2.39943791091011E-11
  6    3     1.99226308078771E-06   1.79303677270894E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.04253366648436E-10   9.38280299835925E-10
  6    4     4.05833235559979E-07   4.05833235559979E-06
  7    4     1.46204474376555E-12   1.60824921814211E-11
  8    4     7.31197477155210E-09   8.77436972586252E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.13037443099252E-25   3.13037443099252E-24
  6    5     3.38822619262971E-12   3.72704881189268E-11
  7    5     1.58242361787068E-11   1.89890834144481E-10
  8    5     3.00903522403007E-08   3.91174579123909E-07
  9    5     5.48778043885210E-11   7.68289261439294E-10
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.78721072781755E-13   3.34465287338106E-12
  7    6     1.62426441066552E-11   2.11154373386518E-10
  8    6     3.08319469784341E-09   4.31647257698078E-08
  9    6     3.23904782742994E-10   4.85857174114490E-09
 10    6     1.02921486349853E-05   1.64674378159765E-04
 11    6     1.98261849786711E-09   3.37045144637409E-08
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     5.68261465999672E-18   7.95566052399541E-17
  8    7     3.34722434563192E-10   5.02083651844789E-09
  9    7     7.66217678340689E-10   1.22594828534510E-08
 10    7     2.71053244798357E-09   4.60790516157208E-08
 11    7     2.38955110395369E-09   4.30119198711665E-08
 12    7     2.23147765222760E-09   4.23980753923243E-08
 13    7     1.97260134363964E-06   3.94520268727929E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     3.09750967909724E-15   4.95601548655558E-14
  9    8     1.63724872724405E-17   2.78332283631488E-16
 10    8     8.14747995017226E-14   1.46654639103101E-12
 11    8     1.49956469654195E-11   2.84917292342971E-10
 12    8     7.00255639624163E-10   1.40051127924833E-08
 13    8     3.75538842130214E-08   7.88631568473450E-07
 14    8     4.13730964652019E-06   9.10208122234443E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.40619764709217E-17   8.37177552947512E-16
 11    9     6.43164582754312E-17   1.28632916550862E-15
 12    9     4.40390941299733E-12   9.24820976729439E-11
 13    9     5.42923191534146E-10   1.19443102137512E-08
 14    9     3.01669686104085E-11   6.93840278039397E-10
 15    9     8.79406729237554E-11   2.11057615017013E-09
 16    9     1.04568063348961E-07   2.61420158372403E-06
 17    9     2.40082146848761E-10   6.24213581806778E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     5.15272405302482E-24   1.03054481060496E-22
 11   10     2.41269070935752E-19   5.06665048965079E-18
 12   10     3.78474392905334E-16   8.32643664391736E-15
 13   10     6.17799893593765E-15   1.42093975526566E-13
 14   10     3.63778800071242E-12   8.73069120170981E-11
 15   10     1.06744098129141E-10   2.66860245322853E-09
 16   10     1.43856809823733E-10   3.74027705541705E-09
 17   10     2.69943161322515E-11   7.28846535570790E-10
 18   10     1.79737497927398E-10   5.03264994196714E-09
 19   10     1.18131654225374E-11   3.42581797253583E-10
 20   10     9.36172469265479E-11   2.80851740779644E-09
 21   10     3.34181968313992E-11   1.03596410177338E-09
 22   10     4.78050233408114E-09   1.52976074690596E-07
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     2.66506292962019E-23   6.12964473812644E-22
 13   11     6.36287521799996E-21   1.52709005231999E-19
 14   11     9.75892904708022E-17   2.43973226177005E-15
 15   11     3.97819753657192E-16   1.03433135950870E-14
 16   11     1.95475422720539E-14   5.27783641345454E-13
 17   11     1.57364721152619E-14   4.40621219227333E-13
 18   11     3.16088235398158E-13   9.16655882654657E-12
 19   11     1.15746717451207E-13   3.47240152353621E-12
 20   11     2.29351030918081E-11   7.10988195846050E-10
 21   11     1.61194939260612E-08   5.15823805633957E-07
 22   11     1.66001896324305E-11   5.47806257870207E-10
 23   11     1.55102639235716E-13   5.27348973401435E-12
 24   11     2.48498840981007E-11   8.69745943433523E-10
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     4.83987304522002E-22   1.25836699175721E-20
 15   12     1.31573377779879E-20   3.55248120005674E-19
 16   12     3.02412835661110E-18   8.46755939851109E-17
 17   12     1.61852092769118E-17   4.69371069030443E-16
 18   12     8.19987010259061E-13   2.45996103077718E-11
 19   12     5.35098192694162E-13   1.65880439735190E-11
 20   12     1.79251936210543E-11   5.73606195873737E-10
 21   12     7.56189118968130E-12   2.49542409259483E-10
 22   12     2.36745414593783E-08   8.04934409618862E-07
 23   12     2.87008328207341E-18   1.00452914872569E-16
 24   12     5.23384750837515E-15   1.88418510301506E-13
 25   12     4.06177152744241E-25   1.50285546515369E-23
 26   12     1.62380149322335E-22   6.17044567424871E-21
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     4.58950112771448E-24   1.33095532703720E-22
 17   13     5.73878166946327E-19   1.72163450083898E-17
 18   13     2.50174244003681E-17   7.75540156411410E-16
 19   13     8.21093497203027E-17   2.62749919104969E-15
 20   13     2.55715736704609E-12   8.43861931125211E-11
 21   13     6.71259415599465E-13   2.28228201303818E-11
 22   13     2.90792130248426E-11   1.01777245586949E-09
 23   13     2.19168354638810E-12   7.89006076699716E-11
 24   13     6.93842274806891E-10   2.56721641678550E-08
 25   13     2.19084428266299E-12   8.32520827411934E-11
 26   13     8.34724281594390E-09   3.25542469821812E-07
 27   13     1.17518377989859E-17   4.70073511959436E-16
 28   13     1.07922394599271E-14   4.42481817857013E-13
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
 17   14     1.00833810393281E-23   3.12584812219171E-22
 18   14     4.97508173406075E-18   1.59202615489944E-16
 19   14     5.24757236865288E-17   1.73169888165545E-15
 20   14     3.34684897993978E-15   1.13792865317953E-13
 21   14     4.39398461179419E-15   1.53789461412797E-13
 22   14     7.68096292495176E-14   2.76514665298263E-12
 23   14     4.40695412381813E-13   1.63057302581271E-11
 24   14     5.85521597954821E-11   2.22498207222832E-09
 25   14     7.07209425329219E-12   2.75811675878396E-10
 26   14     9.17022117483919E-12   3.66808846993567E-10
 27   14     4.01529919771978E-12   1.64627267106511E-10
 28   14     1.47867171015338E-08   6.21042118264419E-07
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.00000000000000E-99   1.00000000000000E-99
 17   15     1.00000000000000E-99   1.00000000000000E-99
 18   15     1.26662617487898E-24   4.17986637710064E-23
 19   15     1.42700751790847E-22   4.85182556088879E-21
 20   15     3.85442406272144E-20   1.34904842195250E-18
 21   15     2.16119893935623E-19   7.78031618168243E-18
 22   15     2.29674431020147E-16   8.49795394774545E-15
 23   15     1.19186050735074E-16   4.52906992793280E-15
 24   15     7.13495078356333E-16   2.78263080558970E-14
 25   15     1.56104847947569E-15   6.24419391790278E-14
 26   15     6.17468198896155E-12   2.53161961547423E-10
 27   15     1.46492843748812E-12   6.15269943745009E-11
 28   15     4.51694570379538E-08   1.94228665263201E-06
 29   15     1.82916519022633E-19   8.04832683699586E-18
 30   15     1.63761826477631E-16   7.36928219149340E-15
 31   15     3.72852414411101E-23   1.71512110629106E-21
 32   15     3.60892491904058E-20   1.69619471194907E-18
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     1.00000000000000E-99   1.00000000000000E-99
