    time    temp    dens
   1.69056011251828E+00   3.49770623044963E-01   8.17754782738052E+01
     nin     zin       y       x
  1    0     7.75036912783482E-10   7.75036912783482E-10
  0    1     1.28937153728653E-13   1.28937153728653E-13
  1    1     1.65291200079402E-14   3.30582400158804E-14
  2    1     6.92977914481770E-09   2.07893374344531E-08
  1    2     3.00252373957624E-16   9.00757121872873E-16
  2    2     1.54827229895732E-04   6.19308919582928E-04
  4    2     3.88324579060496E-08   2.32994747436298E-07
  3    3     2.39675255827576E-09   1.43805153496546E-08
  4    3     1.50799787577053E-09   1.05559851303937E-08
  5    3     1.45500840370973E-13   1.16400672296779E-12
  6    3     2.90707581460450E-07   2.61636823314405E-06
  3    4     3.30276955352277E-17   2.31193868746594E-16
  5    4     5.91849430645411E-07   5.32664487580870E-06
  6    4     3.69867478227112E-07   3.69867478227112E-06
  7    4     2.45345660379370E-16   2.69880226417307E-15
  8    4     4.80996863907630E-22   5.77196236689156E-21
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     4.08202751791410E-13   4.08202751791410E-12
  6    5     2.11112091026493E-08   2.32223300129142E-07
  7    5     6.36971417162224E-13   7.64365700594668E-12
  8    5     5.67097267948353E-14   7.37226448332859E-13
  9    5     1.51022393290665E-21   2.11431350606931E-20
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.75857351557666E-23   1.93443086713432E-22
  6    6     6.56788052130321E-07   7.88145662556386E-06
  7    6     6.53252936072009E-08   8.49228816893612E-07
  8    6     5.48865738984996E-08   7.68412034578994E-07
  9    6     1.55142620765911E-11   2.32713931148866E-10
 10    6     4.09436355081814E-06   6.55098168130903E-05
 11    6     3.55474081135823E-12   6.04305937930900E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.60676322724135E-18   2.08879219541376E-17
  7    7     3.52263071462961E-10   4.93168300048146E-09
  8    7     5.94714903124871E-06   8.92072354687306E-05
  9    7     1.12969480396635E-07   1.80751168634616E-06
 10    7     2.66817475161096E-08   4.53589707773864E-07
 11    7     4.99237069782081E-09   8.98626725607747E-08
 12    7     5.86038666106573E-08   1.11347346560249E-06
 13    7     1.01632238828572E-08   2.03264477657145E-07
