    time    temp    dens
   8.30043635640159E+00   7.25106152386761E-02   6.90895198786015E-01
     nin     zin       y       x
  1    0     1.63239233018788E-10   1.63239233018788E-10
  0    1     1.71645278337271E-12   1.71645278337271E-12
  1    1     3.16546585325221E-16   6.33093170650441E-16
  2    1     1.91311923173544E-08   5.73935769520631E-08
  1    2     1.32371447261123E-15   3.97114341783368E-15
  2    2     1.54855039903083E-04   6.19420159612331E-04
  4    2     1.36190286137368E-10   8.17141716824210E-10
  3    3     1.52231119126031E-08   9.13386714756184E-08
  4    3     1.68859884335895E-09   1.18201919035127E-08
  5    3     4.92644271387973E-15   3.94115417110378E-14
  6    3     1.26747573307875E-12   1.14072815977087E-11
  3    4     5.91018632713000E-20   4.13713042899100E-19
  5    4     8.76939658362036E-07   7.89245692525832E-06
  6    4     3.69892232929176E-07   3.69892232929176E-06
  7    4     7.28389457862255E-13   8.01228403648481E-12
  8    4     9.18778477341268E-22   1.10253417280952E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     9.02028738040763E-15   9.02028738040763E-14
  6    5     2.29215820368289E-08   2.52137402405118E-07
  7    5     4.89702653904795E-16   5.87643184685754E-15
  8    5     2.28503029818356E-24   2.97053938763863E-23
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.60842744741521E-07   7.93011293689825E-06
  7    6     6.53540354631543E-08   8.49602461021005E-07
  8    6     5.55024302596375E-08   7.77034023634925E-07
  9    6     2.66560647069085E-12   3.99840970603627E-11
 10    6     9.59112779030132E-09   1.53458044644821E-07
 11    6     1.36368865371112E-17   2.31827071130890E-16
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.74775649723677E-19   4.87208344640780E-18
  7    7     3.49552560173864E-10   4.89373584243410E-09
  8    7     9.99096064260251E-06   1.49864409639038E-04
  9    7     8.35009666301073E-08   1.33601546608172E-06
 10    7     8.91825841392483E-09   1.51610393036722E-07
 11    7     3.44547983274867E-12   6.20186369894761E-11
 12    7     1.01624359931454E-13   1.93086283869763E-12
 13    7     7.21938902182264E-22   1.44387780436453E-20
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.56595323478611E-22   2.34892985217916E-21
  8    8     1.07184987735441E-07   1.71495980376706E-06
  9    8     1.88887442446864E-09   3.21108652159669E-08
 10    8     1.85506437933353E-07   3.33911588280035E-06
 11    8     6.47707449513094E-07   1.23064415407488E-05
 12    8     6.47362159874920E-07   1.29472431974984E-05
 13    8     3.14975603822786E-08   6.61448768027850E-07
 14    8     4.07568462749984E-07   8.96650618049966E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.26744398541258E-23   2.15465477520138E-22
  9    9     5.21018845302604E-22   9.37833921544688E-21
 10    9     1.32500759392884E-07   2.51751442846480E-06
 11    9     2.34652194099327E-07   4.69304388198654E-06
