    time    temp    dens
   1.11862409196616E-01   1.11286608775236E+00   2.82268516587390E+05
     nin     zin       y       x
  1    0     7.50614696396147E-01   7.50614696396147E-01
  0    1     1.55306473576371E-13   1.55306473576371E-13
  1    1     3.81951984549462E-12   7.63903969098923E-12
  2    1     1.65812589312117E-08   4.97437767936351E-08
  1    2     1.48381169200426E-24   4.45143507601277E-24
  2    2     2.48017485280718E-05   9.92069941122871E-05
  4    2     1.91754731435450E-07   1.15052838861270E-06
  3    3     1.84596609289457E-21   1.10757965573674E-20
  4    3     1.52155557929160E-14   1.06508890550412E-13
  5    3     1.72118641215069E-14   1.37694912972055E-13
  6    3     6.28459110712521E-07   5.65613199641269E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.21855793974378E-14   1.99670214576941E-13
  6    4     3.98479197246844E-11   3.98479197246844E-10
  7    4     1.66642928373898E-13   1.83307221211288E-12
  8    4     1.19275038527654E-06   1.43130046233184E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     9.69619488059212E-16   1.06658143686513E-14
  7    5     6.84667672596043E-14   8.21601207115251E-13
  8    5     1.24339995259517E-06   1.61641993837372E-05
  9    5     3.90092477156339E-07   5.46129468018875E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.90997275169253E-19   7.09196730203103E-18
  7    6     1.77176186970020E-14   2.30329043061026E-13
  8    6     1.80388216643320E-13   2.52543503300648E-12
  9    6     5.76537095781315E-13   8.64805643671973E-12
 10    6     7.65245443086857E-06   1.22439270893897E-04
 11    6     6.56376821088844E-07   1.11584059585103E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.16339136900735E-23   5.82874791661030E-22
  8    7     1.24171016581207E-14   1.86256524871810E-13
  9    7     4.14002046040926E-14   6.62403273665482E-13
 10    7     1.82832493889994E-13   3.10815239612991E-12
 11    7     1.64718845582797E-13   2.96493922049034E-12
 12    7     1.36754399808849E-10   2.59833359636814E-09
 13    7     7.61054848995983E-07   1.52210969799197E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.03062190579168E-20   3.24899504926669E-19
  9    8     7.03206330247424E-23   1.19545076142062E-21
 10    8     1.41538608808066E-18   2.54769495854520E-17
 11    8     4.59127094735269E-16   8.72341479997011E-15
 12    8     1.34927076499059E-14   2.69854152998119E-13
 13    8     9.46024722689713E-13   1.98665191764840E-11
 14    8     5.05426158772939E-08   1.11193754930047E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     3.52815416998018E-22   6.70349292296233E-21
 11    9     4.11926998642391E-22   8.23853997284783E-21
 12    9     6.11648615495458E-19   1.28446209254046E-17
 13    9     3.53505313849856E-16   7.77711690469684E-15
 14    9     1.96837258494055E-17   4.52725694536325E-16
 15    9     5.77388653476685E-17   1.38573276834404E-15
 16    9     1.87991587247342E-10   4.69978968118356E-09
 17    9     5.43575562877760E-11   1.41329646348218E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     8.28701382061084E-24   1.82314304053438E-22
 13   10     1.92985077229291E-21   4.43865677627370E-20
 14   10     3.60403621893434E-19   8.64968692544242E-18
 15   10     1.29386411742856E-14   3.23466029357139E-13
 16   10     1.74195996936064E-14   4.52909592033767E-13
 17   10     5.24643553132840E-15   1.41653759345867E-13
 18   10     3.06019397155293E-14   8.56854312034822E-13
 19   10     2.25482605959327E-15   6.53899557282047E-14
 20   10     1.44328345151234E-14   4.32985035453703E-13
 21   10     6.80484726372953E-15   2.10950265175616E-13
 22   10     1.16978924780428E-08   3.74332559297370E-07
 23   10     7.01907032403021E-20   2.31629320692997E-18
 24   10     3.81640873898375E-19   1.29757897125447E-17
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.15528985255557E-24   2.88822463138892E-23
 15   11     4.15500354244103E-24   1.08030092103467E-22
 16   11     2.49661792330833E-22   6.74086839293250E-21
 17   11     2.10614551340023E-19   5.89720743752064E-18
 18   11     4.58148625747916E-18   1.32863101466896E-16
 19   11     1.19013078997165E-17   3.57039236991496E-16
 20   11     4.18440194116114E-15   1.29716460175995E-13
 21   11     2.89572847938597E-12   9.26633113403511E-11
 22   11     7.07477321971882E-13   2.33467516250721E-11
 23   11     5.12905987327559E-13   1.74388035691370E-11
 24   11     4.95438869658965E-09   1.73403604380638E-07
 25   11     7.31261466062049E-19   2.63254127782338E-17
 26   11     2.17425458598521E-19   8.04474196814529E-18
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.97349355194726E-24   5.52578194545234E-23
 17   12     3.25348159405384E-24   9.43509662275613E-23
 18   12     1.02774390030907E-20   3.08323170092722E-19
 19   12     8.71112239608254E-21   2.70044794278559E-19
 20   12     3.20153933243282E-19   1.02449258637850E-17
 21   12     1.22149727884409E-16   4.03094102018551E-15
 22   12     3.41468410430579E-08   1.16099259546397E-06
 23   12     4.05346054144068E-16   1.41871118950424E-14
 24   12     6.46790936914802E-10   2.32844737289329E-08
 25   12     1.68164399137470E-15   6.22208276808639E-14
 26   12     2.83101764956164E-10   1.07578670683342E-08
 27   12     2.48085399564865E-16   9.67533058302974E-15
 28   12     3.07907914038176E-10   1.23163165615270E-08
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.00000000000000E-99   1.00000000000000E-99
 19   13     1.00000000000000E-99   1.00000000000000E-99
 20   13     2.85678366977195E-16   9.42738611024744E-15
 21   13     7.85921751002231E-17   2.67213395340759E-15
 22   13     3.39529889633666E-15   1.18835461371783E-13
 23   13     2.73362420995314E-16   9.84104715583132E-15
 24   13     5.39477003381362E-14   1.99606491251104E-12
 25   13     3.65906570531090E-16   1.39044496801814E-14
