    time    temp    dens
   4.00844850111964E+00   1.48761881904262E-01   6.13459676924077E+00
     nin     zin       y       x
  1    0     1.23189346099317E-10   1.23189346099317E-10
  0    1     5.89513836638305E-13   5.89513836638305E-13
  1    1     1.21053357248686E-15   2.42106714497372E-15
  2    1     1.49083961421948E-08   4.47251884265845E-08
  1    2     3.01565333649007E-15   9.04696000947021E-15
  2    2     1.53767048523510E-04   6.15068194094038E-04
  4    2     5.30350213011844E-09   3.18210127807106E-08
  3    3     1.88139691455902E-08   1.12883814873541E-07
  4    3     1.67011644440678E-09   1.16908151108474E-08
  5    3     4.07573968066881E-14   3.26059174453504E-13
  6    3     3.60703414934971E-09   3.24633073441474E-08
  3    4     3.40268332587515E-18   2.38187832811261E-17
  5    4     8.71963485450680E-07   7.84767136905612E-06
  6    4     3.64222696026468E-07   3.64222696026468E-06
  7    4     4.07504099112622E-13   4.48254509023884E-12
  8    4     3.46375242372992E-21   4.15650290847591E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.31841776298707E-13   1.31841776298707E-12
  6    5     2.20413479977967E-08   2.42454827975764E-07
  7    5     4.69842159369025E-15   5.63810591242830E-14
  8    5     7.91908156434522E-21   1.02948060336488E-19
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.56220224877777E-24   6.11842247365555E-23
  6    6     6.55595230809417E-07   7.86714276971300E-06
  7    6     6.78404351239960E-08   8.81925656611948E-07
  8    6     4.95639977541974E-08   6.93895968558764E-07
  9    6     3.33519996813989E-12   5.00279995220984E-11
 10    6     4.82996659397713E-07   7.72794655036340E-06
 11    6     1.59772378462184E-14   2.71613043385712E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.88494849024492E-18   2.45043303731839E-17
  7    7     4.67739515528517E-10   6.54835321739923E-09
  8    7     9.55134416195487E-06   1.43270162429323E-04
  9    7     1.10932114368825E-07   1.77491382990121E-06
 10    7     1.70599571335783E-08   2.90019271270832E-07
 11    7     3.80936030882492E-10   6.85684855588486E-09
 12    7     5.62876858194212E-10   1.06946603056900E-08
 13    7     1.09972516738306E-13   2.19945033476612E-12
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     6.07218361730481E-22   9.10827542595721E-21
  8    8     5.21900426968170E-08   8.35040683149072E-07
  9    8     1.43702078014783E-09   2.44293532625131E-08
 10    8     1.98464963399131E-07   3.57236934118435E-06
 11    8     7.55786737402457E-07   1.43599480106467E-05
 12    8     7.71438795072487E-07   1.54287759014497E-05
 13    8     7.19109718042753E-08   1.51013040788978E-06
 14    8     1.50798367023547E-06   3.31756407451803E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     3.62109445883759E-23   6.15586058002391E-22
  9    9     1.64822674116208E-20   2.96680813409174E-19
 10    9     6.01892697013995E-08   1.14359612432659E-06
 11    9     1.20538238560559E-07   2.41076477121117E-06
 12    9     5.22302775294030E-08   1.09683582811746E-06
 13    9     1.95960725892321E-06   4.31113596963106E-05
 14    9     2.52528884792391E-10   5.80816435022500E-09
 15    9     2.68327193183437E-12   6.43985263640248E-11
 16    9     2.06140903488363E-19   5.15352258720907E-18
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.24871947440008E-08   2.49743894880016E-07
 11   10     1.81076512648210E-08   3.80260676561240E-07
 12   10     6.97805210184830E-07   1.53517146240663E-05
 13   10     7.71995246047418E-10   1.77558906590906E-08
 14   10     2.35957059819176E-08   5.66296943566022E-07
 15   10     2.25058720445358E-09   5.62646801113396E-08
 16   10     3.36199102156773E-14   8.74117665607609E-13
 17   10     1.27014276810441E-22   3.42938547388192E-21
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
