    time    temp    dens
   2.70404320855347E-01   1.03118605400478E+00   1.99836155252973E+04
     nin     zin       y       x
  1    0     6.28843157716557E-01   6.28843157716557E-01
  0    1     2.17755657937211E-12   2.17755657937211E-12
  1    1     5.53888682223802E-11   1.10777736444760E-10
  2    1     5.73431701697676E-08   1.72029510509303E-07
  1    2     1.03856882747791E-22   3.11570648243373E-22
  2    2     7.88334354880002E-05   3.15333741952001E-04
  4    2     1.38690758422345E-07   8.32144550534068E-07
  3    3     2.32713236736983E-20   1.39627942042190E-19
  4    3     1.78112267900641E-13   1.24678587530449E-12
  5    3     2.02578307103214E-13   1.62062645682571E-12
  6    3     1.78763926411694E-06   1.60887533770525E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.19211054347750E-13   1.07289948912975E-12
  6    4     1.80119092040096E-09   1.80119092040096E-08
  7    4     7.54791572085318E-13   8.30270729293850E-12
  8    4     1.21803420172457E-07   1.46164104206949E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.17559547322437E-14   1.29315502054680E-13
  7    5     2.46418365543219E-13   2.95702038651863E-12
  8    5     3.51090359378302E-07   4.56417467191793E-06
  9    5     1.63022439505522E-08   2.28231415307730E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     7.99404254362234E-18   9.59285105234681E-17
  7    6     9.16351257823500E-14   1.19125663517055E-12
  8    6     2.22461093656614E-12   3.11445531119259E-11
  9    6     2.25930071273766E-12   3.38895106910649E-11
 10    6     1.15699168790530E-05   1.85118670064848E-04
 11    6     1.21082143445144E-07   2.05839643856745E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.21567696162684E-21   1.70194774627758E-20
  8    7     3.41487023097107E-13   5.12230534645660E-12
  9    7     8.05536303398833E-13   1.28885808543813E-11
 10    7     2.98847063926884E-12   5.08040008675703E-11
 11    7     2.69238736689432E-12   4.84629726040978E-11
 12    7     9.34666325151020E-10   1.77586601778694E-08
 13    7     1.58464273968045E-06   3.16928547936090E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.26608742225332E-19   3.62573987560530E-18
  9    8     7.88986424994996E-22   1.34127692249149E-20
 10    8     2.07606631683624E-17   3.73691937030523E-16
 11    8     1.56059002346090E-14   2.96512104457572E-13
 12    8     5.11042189364878E-13   1.02208437872976E-11
 13    8     3.58287474566844E-11   7.52403696590371E-10
 14    8     6.46817434628501E-07   1.42299835618270E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.05859767286946E-20   2.01133557845197E-19
 11    9     1.24705817329028E-20   2.49411634658056E-19
 12    9     2.44361150788026E-17   5.13158416654855E-16
 13    9     8.10308072244352E-14   1.78267775893757E-12
 14    9     4.51192065047955E-15   1.03774174961030E-13
 15    9     1.32349232021949E-14   3.17638156852678E-13
 16    9     8.24828485445374E-09   2.06207121361343E-07
 17    9     3.75545067205551E-10   9.76417174734432E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     4.83494438785098E-22   1.06368776532722E-20
 13   10     1.12225247441399E-19   2.58118069115219E-18
 14   10     2.60655006398864E-16   6.25572015357273E-15
 15   10     2.73443596319237E-13   6.83608990798092E-12
 16   10     3.70847783698879E-13   9.64204237617085E-12
 17   10     1.00187832436753E-13   2.70507147579233E-12
 18   10     6.01671531339643E-13   1.68468028775100E-11
 19   10     4.35126109020373E-14   1.26186571615908E-12
 20   10     2.89835182612761E-13   8.69505547838284E-12
 21   10     1.30216825274762E-13   4.03672158351763E-12
 22   10     1.43887814388478E-08   4.60441006043131E-07
 23   10     1.57204217008842E-21   5.18773916129177E-20
 24   10     1.91175315303934E-21   6.49996072033374E-20
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     3.87718562667102E-22   9.69296406667754E-21
 15   11     1.41837829119843E-21   3.68778355711591E-20
 16   11     8.11460890417870E-20   2.19094440412825E-18
 17   11     1.22449224518655E-17   3.42857828652234E-16
 18   11     2.13426092672771E-16   6.18935668751035E-15
 19   11     2.50823785299091E-16   7.52471355897273E-15
 20   11     8.74160663078538E-14   2.70989805554347E-12
 21   11     4.59897711478882E-10   1.47167267673242E-08
 22   11     1.58072824832280E-11   5.21640321946524E-10
 23   11     2.06444270083262E-12   7.01910518283091E-11
 24   11     6.16408443175260E-09   2.15742955111341E-07
 25   11     2.40444216002730E-20   8.65599177609829E-19
 26   11     1.12714259911224E-21   4.17042761671528E-20
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     5.43460518687017E-23   1.52168945232365E-21
 17   12     1.33871747539880E-22   3.88228067865652E-21
 18   12     2.72761997179004E-17   8.18285991537013E-16
 19   12     1.98591954807330E-17   6.15635059902723E-16
 20   12     6.10728826213386E-16   1.95433224388283E-14
 21   12     2.79750375334868E-15   9.23176238605063E-14
 22   12     8.17801877505102E-08   2.78052638351735E-06
 23   12     2.89440826466354E-16   1.01304289263224E-14
 24   12     7.13719768995268E-11   2.56939116838296E-09
 25   12     9.49559652314832E-18   3.51337071356488E-16
 26   12     2.97529579194176E-13   1.13061240093787E-11
 27   12     1.38424184361865E-20   5.39854319011274E-19
