    time    temp    dens
   8.72047548912617E-01   6.59101389362677E-01   5.95791700805913E+02
     nin     zin       y       x
  1    0     1.75378905837738E-08   1.75378905837738E-08
  0    1     7.91615867186832E-13   7.91615867186832E-13
  1    1     3.86865551333871E-13   7.73731102667741E-13
  2    1     1.75995209960282E-09   5.27985629880846E-09
  1    2     5.27562986639640E-18   1.58268895991892E-17
  2    2     1.55250084636803E-04   6.21000338547213E-04
  4    2     7.87692898015750E-08   4.72615738809450E-07
  3    3     2.19182772840244E-11   1.31509663704147E-10
  4    3     1.07110495055877E-09   7.49773465391140E-09
  5    3     1.10022923926447E-14   8.80183391411580E-14
  6    3     1.39334697601930E-06   1.25401227841737E-05
  3    4     3.86659012174451E-18   2.70661308522116E-17
  5    4     4.00879326994956E-08   3.60791394295461E-07
  6    4     3.75198048266891E-07   3.75198048266892E-06
  7    4     6.15973492573806E-18   6.77570841831186E-17
  8    4     2.49112239805328E-11   2.98934687766394E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.99396164359659E-15   6.99396164359659E-14
  6    5     3.10756044137674E-09   3.41831648551441E-08
  7    5     1.70212940801495E-09   2.04255528961794E-08
  8    5     3.20512599841214E-10   4.16666379793578E-09
  9    5     1.14269041645146E-17   1.59976658303205E-16
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.33116604879046E-22   1.46428265366951E-21
  6    6     1.48445061947049E-07   1.78134074336459E-06
  7    6     5.92642583437929E-08   7.70435358469308E-07
  8    6     5.31513729381297E-08   7.44119221133815E-07
  9    6     2.40853684144730E-13   3.61280526217095E-12
 10    6     8.74014771653777E-06   1.39842363464604E-04
 11    6     1.59092339342875E-14   2.70456976882887E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     6.25175234228634E-18   8.12727804497224E-17
  7    7     1.97683266560919E-10   2.76756573185287E-09
  8    7     1.35085992335905E-06   2.02628988503857E-05
  9    7     7.11534645656018E-08   1.13845543304963E-06
 10    7     3.05218511312583E-08   5.18871469231391E-07
 11    7     1.24408043215760E-08   2.23934477788367E-07
 12    7     3.15087388153439E-07   5.98666037491534E-06
 13    7     6.35917778433166E-07   1.27183555686633E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.24389038046748E-21   3.36583557070122E-20
  8    8     7.53235179350310E-09   1.20517628696050E-07
  9    8     6.54093735259347E-11   1.11195934994089E-09
 10    8     4.38442535857091E-08   7.89196564542764E-07
 11    8     3.35981699310529E-07   6.38365228690005E-06
 12    8     5.69723815332402E-07   1.13944763066480E-05
 13    8     1.40893237066079E-07   2.95875797838766E-06
 14    8     3.98369265963532E-06   8.76412385119769E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     7.24458345626632E-23   1.23157918756527E-21
  9    9     3.73834000502280E-18   6.72901200904104E-17
 10    9     6.47112188919992E-10   1.22951315894798E-08
 11    9     2.16416595842182E-09   4.32833191684365E-08
 12    9     5.99719082936009E-09   1.25941007416562E-07
 13    9     2.04679783224703E-07   4.50295523094346E-06
 14    9     7.96283529144875E-10   1.83145211703321E-08
 15    9     7.20302291707797E-10   1.72872550009871E-08
 16    9     2.61911246843004E-08   6.54778117107510E-07
 17    9     1.49683386773668E-15   3.89176805611538E-14
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     6.91416618456068E-12   1.38283323691214E-10
 11   10     6.42561377300072E-11   1.34937889233015E-09
 12   10     2.79432508172042E-09   6.14751517978492E-08
 13   10     3.16147085087148E-10   7.27138295700440E-09
