    time    temp    dens
   1.02957163727873E+00   5.63936217631508E-01   3.62030563534625E+02
     nin     zin       y       x
  1    0     5.27775621087666E-09   5.27775621087666E-09
  0    1     3.87692532677181E-13   3.87692532677181E-13
  1    1     3.04225144758947E-13   6.08450289517894E-13
  2    1     2.10079931713339E-09   6.30239795140017E-09
  1    2     3.01039989689378E-17   9.03119969068134E-17
  2    2     1.55058245355106E-04   6.20232981420423E-04
  4    2     6.87372233847644E-08   4.12423340308586E-07
  3    3     1.19522224272066E-10   7.17133345632398E-10
  4    3     1.19658260949130E-09   8.37607826643911E-09
  5    3     1.27405255045235E-14   1.01924204036188E-13
  6    3     1.02762576519468E-06   9.24863188675215E-06
  3    4     3.13102263543618E-17   2.19171584480533E-16
  5    4     1.28133142362724E-07   1.15319828126452E-06
  6    4     3.70381676684559E-07   3.70381676684559E-06
  7    4     6.28777874689320E-18   6.91655662158252E-17
  8    4     1.73233869043872E-13   2.07880642852646E-12
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.36288194729764E-14   6.36288194729764E-13
  6    5     8.53366254527867E-09   9.38702879980653E-08
  7    5     3.29965200684104E-10   3.95958240820925E-09
  8    5     4.05544259872450E-11   5.27207537834186E-10
  9    5     5.52875975793341E-18   7.74026366110678E-17
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     8.42818373631552E-22   9.27100210994707E-21
  6    6     3.95669563615500E-07   4.74803476338600E-06
  7    6     6.42875600021831E-08   8.35738280028380E-07
  8    6     5.39994125662412E-08   7.55991775927377E-07
  9    6     1.84965052479417E-12   2.77447578719125E-11
 10    6     7.55230689731711E-06   1.20836910357074E-04
 11    6     2.82357109536911E-14   4.80007086212749E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.15220821312305E-17   1.49787067705996E-16
  7    7     3.34437009977759E-10   4.68211813968863E-09
  8    7     2.52501181590319E-06   3.78751772385478E-05
  9    7     8.36645367026600E-08   1.33863258724256E-06
 10    7     2.97643104845648E-08   5.05993278237602E-07
 11    7     1.04353571796553E-08   1.87836429233796E-07
 12    7     2.27965977721917E-07   4.33135357671642E-06
 13    7     2.85610847435455E-07   5.71221694870910E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
