    time    temp    dens
   3.36036450846626E+03   1.00000000000000E-02   1.04125183360205E-08
     nin     zin       y       x
  1    0     1.62498757367863E-10   1.62498757367863E-10
  0    1     7.52053968799405E-10   7.52053968799405E-10
  1    1     3.12582597358901E-16   6.25165194717802E-16
  2    1     2.01414178379978E-08   6.04242535139934E-08
  1    2     1.21212991558254E-13   3.63638974674762E-13
  2    2     1.79209070449435E-04   7.16836281797739E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.43186022857751E-08   8.59116137146503E-08
  4    3     1.68870699936585E-09   1.18209489955609E-08
  5    3     2.24680382497419E-23   1.79744305997935E-22
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.34499166949772E-20   9.41494168648405E-20
  5    4     8.76940542547971E-07   7.89246488293174E-06
  6    4     3.69892549894376E-07   3.69892549894376E-06
  7    4     5.41407433361806E-21   5.95548176697986E-20
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.28081664952408E-15   7.28081664952409E-14
  6    5     2.29223203558036E-08   2.52145523913840E-07
  7    5     8.23997747048568E-25   9.88797296458282E-24
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.60843579239987E-07   7.93012295087984E-06
  7    6     6.53542291355157E-08   8.49604978761704E-07
  8    6     5.55029264754516E-08   7.77040970656322E-07
  9    6     6.27988856084668E-24   9.41983284127002E-23
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.64385813513829E-21   9.93701557567978E-20
  7    7     3.49507622118080E-10   4.89310670965312E-09
  8    7     1.00004580021167E-05   1.50006870031750E-04
  9    7     5.05790129959342E-21   8.09264207934947E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.99262618426782E-07   3.18820189482852E-06
  9    8     2.32612840455773E-09   3.95441828774815E-08
 10    8     1.85509249542035E-07   3.33916649175662E-06
 11    8     5.42434137519394E-22   1.03062486128685E-20
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     3.03491441169624E-22   5.46284594105323E-21
 10    9     7.80200992853290E-07   1.48238188642125E-05
 11    9     2.68874346071186E-22   5.37748692142373E-21
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     9.44577352980752E-07   1.88915470596150E-05
 11   10     1.50028647883678E-07   3.15060160555724E-06
 12   10     4.19092365830471E-06   9.22003204827036E-05
 13   10     2.87014476101896E-18   6.60133295034361E-17
 14   10     3.10295778719212E-13   7.44709868926109E-12
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
