    time    temp    dens
   1.10435330228212E-02   1.74681251037988E-01   2.93353209505794E+08
     nin     zin       y       x
  1    0     8.69759421795552E-01   8.69759421795552E-01
  0    1     1.08414291153224E-16   1.08414291153224E-16
  1    1     1.21682281742041E-14   2.43364563484082E-14
  2    1     1.83576528203728E-09   5.50729584611183E-09
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.28681937579252E-07   5.14727750317007E-07
  4    2     2.73306545506889E-07   1.63983927304133E-06
  3    3     5.50055005191277E-24   3.30033003114766E-23
  4    3     8.23635789809874E-20   5.76545052866912E-19
  5    3     1.62822238427068E-19   1.30257790741654E-18
  6    3     6.74532736515430E-10   6.07079462863887E-09
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     7.24679209079883E-16   6.52211288171894E-15
  6    4     2.10331509779388E-15   2.10331509779388E-14
  7    4     2.52910808706312E-15   2.78201889576943E-14
  8    4     2.05700372333491E-06   2.46840446800190E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.84510464826287E-19   3.12961511308916E-18
  7    5     1.43784645512243E-16   1.72541574614692E-15
  8    5     3.00581633763912E-14   3.90756123893085E-13
  9    5     2.96886125932980E-07   4.15640576306172E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     4.14859184968231E-24   5.39316940458700E-23
  8    6     9.76673435408794E-17   1.36734280957231E-15
  9    6     7.00563384770034E-16   1.05084507715505E-14
 10    6     1.00917900831146E-15   1.61468641329833E-14
 11    6     5.93722208993342E-08   1.00932775528868E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     1.18136043547148E-18   1.89017669675437E-17
 10    7     1.64400852071175E-17   2.79481448520997E-16
 11    7     1.48113316093694E-17   2.66603968968649E-16
 12    7     3.10651813930686E-18   5.90238446468303E-17
 13    7     5.60821446757209E-10   1.12164289351442E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     1.21810601206303E-22   2.31440142291975E-21
 12    8     5.25646023094793E-20   1.05129204618959E-18
 13    8     3.68557617245251E-18   7.73970996215028E-17
 14    8     6.01228803933317E-12   1.32270336865330E-10
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     2.12018889260516E-22   4.66441556373136E-21
 14    9     1.18054981340924E-23   2.71526457084124E-22
 15    9     3.46294803759834E-23   8.31107529023601E-22
 16    9     1.93677489941088E-23   4.84193724852719E-22
 17    9     2.91600887405925E-15   7.58162307255405E-14
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
