    time    temp    dens
   2.57662554557194E-01   1.03735171222680E+00   2.30972897172399E+04
     nin     zin       y       x
  1    0     6.43173267526815E-01   6.43173267526815E-01
  0    1     1.88520315282862E-12   1.88520315282862E-12
  1    1     4.78735856546739E-11   9.57471713093477E-11
  2    1     5.39815932201407E-08   1.61944779660422E-07
  1    2     8.01653777249441E-23   2.40496133174832E-22
  2    2     7.47953515785665E-05   2.99181406314266E-04
  4    2     1.42269077230857E-07   8.53614463385144E-07
  3    3     2.01358568184305E-20   1.20815140910583E-19
  4    3     1.56965419172741E-13   1.09875793420919E-12
  5    3     1.78385630353614E-13   1.42708504282891E-12
  6    3     1.71580685251810E-06   1.54422616726629E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.00171857766029E-13   9.01546719894262E-13
  6    4     1.36333854797901E-09   1.36333854797901E-08
  7    4     6.47515386265745E-13   7.12266924892319E-12
  8    4     1.30253870305985E-07   1.56304644367182E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     9.98892731342370E-15   1.09878200447661E-13
  7    5     2.22200598581860E-13   2.66640718298232E-12
  8    5     3.73715103390156E-07   4.85829634407203E-06
  9    5     1.90511906696564E-08   2.66716669375189E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.41360804596344E-18   7.69632965515612E-17
  7    6     8.17079446678231E-14   1.06220328068170E-12
  8    6     1.86973593239455E-12   2.61763030535237E-11
  9    6     2.02364867707456E-12   3.03547301561184E-11
 10    6     1.14908459810140E-05   1.83853535696224E-04
 11    6     1.34111998490313E-07   2.27990397433532E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     9.94006683919069E-22   1.39160935748670E-20
  8    7     2.85191640827319E-13   4.27787461240979E-12
  9    7     6.74956041067778E-13   1.07992966570844E-11
 10    7     2.51212509577261E-12   4.27061266281344E-11
 11    7     2.26323696519108E-12   4.07382653734394E-11
 12    7     8.79046382026464E-10   1.67018812585028E-08
 13    7     1.54308054591959E-06   3.08616109183918E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.95759937212435E-19   3.13215899539896E-18
  9    8     6.80577533035271E-22   1.15698180615996E-20
 10    8     1.72549256027918E-17   3.10588660850252E-16
 11    8     1.28871573114169E-14   2.44855988916922E-13
 12    8     4.18452107312810E-13   8.36904214625621E-12
 13    8     2.93376039748873E-11   6.16089683472633E-10
 14    8     5.86438909375182E-07   1.29016560062540E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     8.83178854458330E-21   1.67803982347083E-19
 11    9     1.03948102000828E-20   2.07896204001656E-19
 12    9     1.96390602598748E-17   4.12420265457372E-16
 13    9     6.18370279779177E-14   1.36041461551419E-12
 14    9     3.44318189752211E-15   7.91931836430086E-14
 15    9     1.00999681775904E-14   2.42399236262170E-13
 16    9     7.04864018280892E-09   1.76216004570223E-07
 17    9     3.50558301715573E-10   9.11451584460491E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     3.87902571651413E-22   8.53385657633109E-21
 13   10     9.14267081469217E-20   2.10281428737920E-18
 14   10     1.87511140798605E-16   4.50026737916651E-15
 15   10     2.44718533256723E-13   6.11796333141808E-12
 16   10     3.31538677556422E-13   8.62000561646697E-12
 17   10     9.03351599726949E-14   2.43904931926276E-12
 18   10     5.41261985016824E-13   1.51553355804711E-11
 19   10     3.92017332358911E-14   1.13685026384084E-12
 20   10     2.60312496721352E-13   7.80937490164057E-12
 21   10     1.17393370364751E-13   3.63919448130729E-12
 22   10     1.51029714962636E-08   4.83295087880436E-07
 23   10     2.14769036926261E-21   7.08737821856661E-20
 24   10     2.77290904720974E-21   9.42789076051312E-20
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     2.95015157022798E-22   7.37537892556995E-21
 15   11     1.07705249459125E-21   2.80033648593726E-20
 16   11     6.18465398748527E-20   1.66985657662102E-18
 17   11     1.05399932122189E-17   2.95119809942128E-16
 18   11     1.84425174455018E-16   5.34833005919552E-15
 19   11     2.22727091246554E-16   6.68181273739663E-15
 20   11     7.76299788321484E-14   2.40652934379660E-12
 21   11     3.86017663655694E-10   1.23525652369822E-08
 22   11     1.46415667898795E-11   4.83171704066023E-10
 23   11     2.08047947278497E-12   7.07363020746888E-11
 24   11     6.43768967487743E-09   2.25319138620710E-07
 25   11     3.17102318901348E-20   1.14156834804485E-18
 26   11     1.62363184267192E-21   6.00743781788611E-20
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     4.88003656832781E-23   1.36641023913179E-21
 17   12     1.13016147849594E-22   3.27746828763823E-21
 18   12     1.93695458772854E-17   5.81086376318563E-16
 19   12     1.41646934665492E-17   4.39105497463025E-16
 20   12     4.35487753090046E-16   1.39356080988815E-14
 21   12     2.42709102975006E-15   8.00940039817519E-14
 22   12     7.99907479809914E-08   2.71968543135371E-06
 23   12     2.99325973312643E-16   1.04764090659425E-14
 24   12     8.61950961762269E-11   3.10302346234417E-09
 25   12     1.37358233734101E-17   5.08225464816172E-16
 26   12     5.01740251517331E-13   1.90661295576586E-11
 27   12     2.79327981094963E-20   1.08937912627036E-18
 28   12     2.59430327200707E-15   1.03772130880283E-13
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.05551589112134E-24   3.27209926247615E-23
 19   13     3.63912083556752E-24   1.16451866738161E-22
 20   13     9.31386038550471E-15   3.07357392721656E-13
 21   13     2.52992750420061E-15   8.60175351428209E-14
 22   13     1.06795851274435E-13   3.73785479460521E-12
 23   13     8.12370801543038E-15   2.92453488555494E-13
 24   13     1.67896284856386E-12   6.21216253968627E-11
 25   13     1.01080952807139E-14   3.84107620667127E-13
 26   13     6.75155111716253E-09   2.63310493569339E-07
 27   13     7.19080488302405E-15   2.87632195320962E-13
 28   13     3.92634359128615E-09   1.60980087242732E-07
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
 17   14     1.00000000000000E-99   1.00000000000000E-99
 18   14     1.80843345084147E-23   5.78698704269270E-22
 19   14     2.05502499945022E-22   6.78158249818573E-21
 20   14     1.19181116093243E-20   4.05215794717025E-19
 21   14     1.43883395203508E-20   5.03591883212279E-19
 22   14     2.02509495148875E-19   7.29034182535949E-18
 23   14     1.56428564860335E-16   5.78785689983240E-15
 24   14     4.21254704864892E-14   1.60076787848659E-12
 25   14     6.21742522437484E-15   2.42479583750619E-13
 26   14     1.44577681702972E-14   5.78310726811887E-13
 27   14     1.40166826244357E-14   5.74683987601863E-13
 28   14     4.47456920159110E-08   1.87931906466826E-06
 29   14     9.11132259388235E-22   3.91786871536941E-20
 30   14     4.24692235391109E-21   1.86864583572088E-19
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.00000000000000E-99   1.00000000000000E-99
 17   15     1.00000000000000E-99   1.00000000000000E-99
 18   15     1.00000000000000E-99   1.00000000000000E-99
 19   15     1.00000000000000E-99   1.00000000000000E-99
 20   15     1.00000000000000E-99   1.00000000000000E-99
