    time    temp    dens
   1.52649892012341E+00   3.84902493104326E-01   1.11077332663367E+02
     nin     zin       y       x
  1    0     4.51939062298130E-10   4.51939062298130E-10
  0    1     7.81517215404625E-14   7.81517215404625E-14
  1    1     1.81729875973734E-14   3.63459751947469E-14
  2    1     5.17680615833946E-09   1.55304184750184E-08
  1    2     5.63223373874558E-16   1.68967012162367E-15
  2    2     1.53750289547339E-04   6.15001158189355E-04
  4    2     4.48512913223496E-08   2.69107747934097E-07
  3    3     3.14996950262164E-09   1.88998170157298E-08
  4    3     1.45596724935133E-09   1.01917707454593E-08
  5    3     4.20770853913559E-14   3.36616683130847E-13
  6    3     3.93903175352324E-07   3.54512857817091E-06
  3    4     1.26049777116974E-16   8.82348439818820E-16
  5    4     4.96459031912666E-07   4.46813128721399E-06
  6    4     3.64206228976125E-07   3.64206228976125E-06
  7    4     3.59910809147062E-17   3.95901890061769E-16
  8    4     3.92939026068684E-20   4.71526831282421E-19
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.92725940676311E-12   1.92725940676311E-11
  6    5     1.91404730277907E-08   2.10545203305698E-07
  7    5     1.88340903813259E-12   2.26009084575911E-11
  8    5     2.35057290479621E-13   3.05574477623508E-12
  9    5     5.76770862384035E-21   8.07479207337649E-20
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     6.04068603338864E-22   6.64475463672750E-21
  6    6     6.43321870096950E-07   7.71986244116340E-06
  7    6     6.78163521213326E-08   8.81612577577324E-07
  8    6     4.88734501118265E-08   6.84228301565571E-07
  9    6     5.55221137044803E-12   8.32831705567204E-11
 10    6     4.76166579120776E-06   7.61866526593241E-05
 11    6     7.25384589084179E-13   1.23315380144310E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     8.56535193401724E-18   1.11349575142224E-16
  7    7     4.70014178409272E-10   6.58019849772980E-09
  8    7     5.31555551528544E-06   7.97333327292816E-05
  9    7     9.47604570947845E-08   1.51616731351655E-06
 10    7     2.57547862252488E-08   4.37831365829230E-07
 11    7     5.97969302201245E-09   1.07634474396224E-07
 12    7     8.76820518007388E-08   1.66595898421404E-06
 13    7     2.24059563353965E-08   4.48119126707930E-07
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.48031096490055E-21   3.72046644735082E-20
  8    8     1.72112629152175E-08   2.75380206643479E-07
  9    8     6.18540820245359E-10   1.05151939441711E-08
 10    8     1.57529326614499E-07   2.83552787906098E-06
 11    8     7.45166656047636E-07   1.41581664649051E-05
 12    8     8.62858565662269E-07   1.72571713132454E-05
 13    8     1.18830572403483E-07   2.49544202047315E-06
 14    8     3.23409806345530E-06   7.11501573960166E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.56360588112202E-22   2.65812999790744E-21
  9    9     2.90740816134387E-18   5.23333469041896E-17
 10    9     1.11378585581634E-08   2.11619312605104E-07
 11    9     2.78899595036160E-08   5.57799190072320E-07
 12    9     2.15372021878884E-08   4.52281245945656E-07
 13    9     8.68657641272578E-07   1.91104681079967E-05
 14    9     5.43809479573102E-10   1.25076180301813E-08
 15    9     2.09496960269778E-10   5.02792704647466E-09
 16    9     9.49794128844260E-11   2.37448532211065E-09
 17    9     2.67198231249288E-17   6.94715401248148E-16
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     6.00219731314812E-10   1.20043946262962E-08
 11   10     1.57056831961113E-09   3.29819347118338E-08
 12   10     6.26512896247784E-08   1.37832837174513E-06
 13   10     4.72047213711226E-10   1.08570859153582E-08
 14   10     2.35802521636875E-08   5.65926051928500E-07
 15   10     3.82502238041716E-08   9.56255595104289E-07
 16   10     1.68714931873810E-10   4.38658822871905E-09
 17   10     1.48703383809452E-16   4.01499136285521E-15
