    time    temp    dens
   3.45079251716956E+03   1.00000000000000E-02   9.61520180482214E-09
     nin     zin       y       x
  1    0     7.20013724805571E-09   7.20013724805571E-09
  0    1     1.83977341915961E-08   1.83977341915961E-08
  1    1     5.02581902082472E-16   1.00516380416494E-15
  2    1     1.90458353654442E-08   5.71375060963326E-08
  1    2     1.18417749598900E-13   3.55253248796701E-13
  2    2     1.92925160635156E-04   7.71700642540625E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.92185706229634E-08   1.15311423737780E-07
  4    3     1.67447768184245E-09   1.17213437728972E-08
  5    3     9.11697923005869E-22   7.29358338404695E-21
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.67212209847164E-20   4.67048546893015E-19
  5    4     8.75568978108396E-07   7.88012080297557E-06
  6    4     3.64223884167423E-07   3.64223884167423E-06
  7    4     2.18706824076997E-19   2.40577506484697E-18
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.25569702963912E-14   6.25569702963911E-13
  6    5     2.20430828048021E-08   2.42473910852823E-07
  7    5     3.24216229238461E-23   3.89059475086154E-22
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     4.88916942885614E-25   5.37808637174176E-24
  6    6     6.55595918673736E-07   7.86715102408483E-06
  7    6     6.78413331219808E-08   8.81937330585751E-07
  8    6     4.96107790122099E-08   6.94550906170938E-07
  9    6     2.29775108844660E-22   3.44662663266990E-21
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.12969512312928E-20   4.06860366006806E-19
  7    7     4.67535685162356E-10   6.54549959227298E-09
  8    7     1.00295105898080E-05   1.50442658847119E-04
  9    7     2.07829221809795E-19   3.32526754895671E-18
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.84178205904300E-07   2.94685129446879E-06
  9    8     2.29972369339045E-09   3.90953027876376E-08
 10    8     1.99007939610664E-07   3.58214291299196E-06
 11    8     2.39379097351713E-20   4.54820284968254E-19
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     5.75115302488387E-21   1.03520754447910E-19
 10    9     8.16238764080754E-07   1.55085365175343E-05
 11    9     1.15337960969680E-20   2.30675921939360E-19
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     9.04399065476092E-07   1.80879813095218E-05
 11   10     1.42370298675310E-07   2.98977627218150E-06
 12   10     4.16538439919273E-06   9.16384567822400E-05
 13   10     1.17623004312456E-16   2.70532909918648E-15
 14   10     2.37403909961815E-13   5.69769383908357E-12
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     6.48300357953340E-21   1.42626078749735E-19
 12   11     1.08006605959481E-09   2.48415193706805E-08
 13   11     2.29039393902927E-08   5.49694545367025E-07
 14   11     7.63673600575677E-17   1.90918400143919E-15
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     9.46924802600327E-10   2.27261952624078E-08
 13   12     8.39085138410226E-08   2.09771284602556E-06
 14   12     3.80685007218885E-09   9.89781018769100E-08
 15   12     1.51108150600659E-11   4.07992006621780E-10
 16   12     1.10874223332841E-09   3.10447825331953E-08
 17   12     7.62858611503434E-21   2.21228997335996E-19
 18   12     1.00000000000000E-99   1.00000000000000E-99
 19   12     1.00000000000000E-99   1.00000000000000E-99
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     1.00000000000000E-99   1.00000000000000E-99
 22   12     1.00000000000000E-99   1.00000000000000E-99
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
