    time    temp    dens
   4.79300000000000E-03   2.03418576266568E-01   3.40410000000000E+09
     nin     zin       y       x
  1    0     8.73583790031291E-01   8.73583790031291E-01
  0    1     9.57495379571288E-18   9.57495379571288E-18
  1    1     9.77287008358471E-16   1.95457401671694E-15
  2    1     4.00892410335415E-10   1.20267723100625E-09
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     5.24808769512581E-09   2.09923507805032E-08
  4    2     2.74788802925400E-07   1.64873281755240E-06
  3    3     4.73507806232864E-25   2.84104683739718E-24
  4    3     2.25906193184233E-21   1.58134335228963E-20
  5    3     4.46209318781134E-21   3.56967455024907E-20
  6    3     1.64288614241235E-10   1.47859752817112E-09
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     6.37508871504387E-17   5.73757984353949E-16
  6    4     1.93333743925628E-16   1.93333743925628E-15
  7    4     2.32480090381498E-16   2.55728099419648E-15
  8    4     8.75446842175574E-07   1.05053621061069E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.10083980865686E-20   1.21092378952254E-19
  7    5     5.04043668245075E-18   6.04852401894089E-17
  8    5     9.42604815745782E-16   1.22538626046952E-14
  9    5     5.07406161245784E-08   7.10368625744098E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     1.23479952813714E-18   1.72871933939200E-17
  9    6     8.82138970896618E-18   1.32320845634493E-16
 10    6     1.27089006704965E-17   2.03342410727943E-16
 11    6     3.63993051095665E-09   6.18788186862631E-08
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     5.61661729735613E-21   8.98658767576981E-20
 10    7     7.42656230337831E-20   1.26251559157431E-18
 11    7     6.69079745050040E-20   1.20434354109007E-18
 12    7     1.40332309893136E-20   2.66631388796958E-19
 13    7     1.25954577083614E-11   2.51909154167228E-10
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     2.44870764080313E-25   4.65254451752594E-24
 12    8     8.69874657697949E-23   1.73974931539590E-21
 13    8     6.09914510851907E-21   1.28082047278900E-19
 14    8     4.96154245873836E-14   1.09153934092244E-12
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.28922903305650E-25   2.83630387272429E-24
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     9.47700411249312E-18   2.46402106924821E-16
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     3.48810165447729E-19   1.11619252943273E-17
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     3.78201191133554E-21   1.28588404985408E-19
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
