    time    temp    dens
   9.68621483517849E-02   1.12747323546096E+00   4.34763078063904E+05
     nin     zin       y       x
  1    0     7.62126150417303E-01   7.62126150417303E-01
  0    1     1.00946351692494E-13   1.00946351692494E-13
  1    1     2.45908299881072E-12   4.91816599762144E-12
  2    1     1.34021376431146E-08   4.02064129293437E-08
  1    2     8.05237780764417E-25   2.41571334229325E-24
  2    2     1.97671908228550E-05   7.90687632914200E-05
  4    2     2.07693491741093E-07   1.24616095044656E-06
  3    3     1.27210622199959E-21   7.63263733199754E-21
  4    3     9.83972595853963E-15   6.88780817097774E-14
  5    3     1.11180682987871E-14   8.89445463902965E-14
  6    3     5.19431061514081E-07   4.67487955362673E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.03216199836616E-14   1.82894579852955E-13
  6    4     2.58171404143682E-11   2.58171404143682E-10
  7    4     1.54634502397933E-13   1.70097952637726E-12
  8    4     1.64609363032119E-06   1.97531235638542E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     7.35129397853304E-16   8.08642337638635E-15
  7    5     5.66573190482920E-14   6.79887828579505E-13
  8    5     1.33154719430373E-06   1.73101135259485E-05
  9    5     5.61616386468287E-07   7.86262941055602E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.60603945149040E-19   5.52724734178848E-18
  7    6     1.20227603383138E-14   1.56295884398079E-13
  8    6     1.19910885558613E-13   1.67875239782058E-12
  9    6     4.30181666161440E-13   6.45272499242160E-12
 10    6     6.50542607065013E-06   1.04086817130402E-04
 11    6     7.74365102839895E-07   1.31642067482782E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.67068002130844E-23   3.73895202983182E-22
  8    7     6.66252405220264E-15   9.99378607830396E-14
  9    7     2.66494016042319E-14   4.26390425667711E-13
 10    7     1.23001804157520E-13   2.09103067067784E-12
 11    7     1.10815733268614E-13   1.99468319883505E-12
 12    7     9.32839866938685E-11   1.77239574718350E-09
 13    7     6.19773060869091E-07   1.23954612173818E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.19299328166181E-20   1.90878925065890E-19
  9    8     4.13730513364076E-23   7.03341872718928E-22
 10    8     9.08760864757492E-19   1.63576955656349E-17
 11    8     2.40461041163047E-16   4.56875978209790E-15
 12    8     6.93559134376009E-15   1.38711826875202E-13
 13    8     4.86282134792652E-13   1.02119248306457E-11
 14    8     3.25228328013180E-08   7.15502321628995E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     2.07926527788804E-22   3.95060402798728E-21
 11    9     2.42501413112697E-22   4.85002826225394E-21
 12    9     3.52211478519729E-19   7.39644104891430E-18
 13    9     1.44079743523028E-16   3.16975435750662E-15
 14    9     8.02258492016022E-18   1.84519453163685E-16
 15    9     2.35328935958605E-17   5.64789446300652E-16
 16    9     9.72236437347118E-11   2.43059109336780E-09
 17    9     3.74133808326358E-11   9.72747901648531E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     3.98202119206902E-24   8.76044662255185E-23
 13   10     9.10096992389571E-22   2.09322308249601E-20
 14   10     1.22798558623255E-19   2.94716540695811E-18
 15   10     7.56450310252886E-15   1.89112577563222E-13
 16   10     1.01803473718979E-14   2.64689031669347E-13
 17   10     3.12385563966782E-15   8.43441022710311E-14
 18   10     1.81438479638565E-14   5.08027742987983E-13
 19   10     1.34011424134754E-15   3.88633129990788E-14
 20   10     8.54196137120564E-15   2.56258841136169E-13
 21   10     4.05020016145634E-15   1.25556205005146E-13
 22   10     1.01296768744517E-08   3.24149659982454E-07
 23   10     1.15324517242858E-19   3.80570906901431E-18
 24   10     7.87627818095108E-19   2.67793458152337E-17
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     4.36258480922181E-25   1.09064620230545E-23
 15   11     1.56593463014030E-24   4.07143003836479E-23
 16   11     9.49386381348465E-23   2.56334322964086E-21
 17   11     1.02415129952446E-19   2.86762363866848E-18
 18   11     2.40367062830420E-18   6.97064482208218E-17
 19   11     6.61324558227705E-18   1.98397367468311E-16
 20   11     2.32540585290134E-15   7.20875814399416E-14
 21   11     1.16789983320127E-12   3.73727946624408E-11
 22   11     3.85377165301619E-13   1.27174464549534E-11
 23   11     3.63531651051994E-13   1.23600761357678E-11
 24   11     4.16709907558527E-09   1.45848467645484E-07
 25   11     1.09768309160638E-18   3.95165912978295E-17
 26   11     4.34235769065159E-19   1.60667234554109E-17
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.09530362655291E-24   3.06685015434813E-23
 17   12     1.78516965968293E-24   5.17699201308049E-23
 18   12     2.66613450881436E-21   7.99840352644308E-20
 19   12     2.37508329993337E-21   7.36275822979343E-20
 20   12     9.67637604335877E-20   3.09644033387481E-18
 21   12     6.58542278121923E-17   2.17318951780235E-15
 22   12     2.08449594525919E-08   7.08728621388125E-07
 23   12     3.64753846426978E-16   1.27663846249442E-14
 24   12     4.78028587982339E-10   1.72090291673642E-08
 25   12     1.98102266144936E-15   7.32978384736265E-14
 26   12     2.68042882014562E-10   1.01856295165533E-08
 27   12     3.68464662228926E-16   1.43701218269281E-14
 28   12     6.46330676929255E-10   2.58532270771702E-08
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.00000000000000E-99   1.00000000000000E-99
 19   13     1.00000000000000E-99   1.00000000000000E-99
 20   13     1.12021899429116E-16   3.69672268116082E-15
 21   13     3.08963965435921E-17   1.05047748248213E-15
