    time    temp    dens
   5.14585515551707E+00   1.16352317429139E-01   2.89962792586920E+00
     nin     zin       y       x
  1    0     1.67234852246581E-10   1.67234852246581E-10
  0    1     1.05223712690787E-12   1.05223712690787E-12
  1    1     7.61764361488495E-16   1.52352872297699E-15
  2    1     1.74536355333314E-08   5.23609065999942E-08
  1    2     1.72299163740276E-15   5.16897491220827E-15
  2    2     1.54852616388407E-04   6.19410465553628E-04
  4    2     1.99612652435530E-09   1.19767591461318E-08
  3    3     1.53164789924789E-08   9.18988739548734E-08
  4    3     1.68757290607282E-09   1.18130103425097E-08
  5    3     3.55174875319266E-14   2.84139900255413E-13
  6    3     4.31159458333460E-10   3.88043512500114E-09
  3    4     4.23797005324503E-19   2.96657903727152E-18
  5    4     8.76510426500666E-07   7.88859383850599E-06
  6    4     3.69891628522970E-07   3.69891628522970E-06
  7    4     7.26155285826691E-13   7.98770814409360E-12
  8    4     3.95562881878576E-21   4.74675458254291E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.32218276853364E-14   1.32218276853364E-13
  6    5     2.29215028244554E-08   2.52136531069010E-07
  7    5     3.05949554577915E-15   3.67139465493498E-14
  8    5     8.13443162054413E-23   1.05747611067074E-21
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.60842726684283E-07   7.93011272021140E-06
  7    6     6.53535749919318E-08   8.49596474895113E-07
  8    6     5.54894544689387E-08   7.76852362565142E-07
  9    6     6.45437029583221E-12   9.68155544374831E-11
 10    6     1.70109432815738E-07   2.72175092505180E-06
 11    6     2.18592697627142E-15   3.71607585966141E-14
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.02972078318380E-19   5.23863701813894E-18
  7    7     3.49629016779657E-10   4.89480623491520E-09
  8    7     9.83204553020464E-06   1.47480682953070E-04
  9    7     1.11646933171963E-07   1.78635093075140E-06
 10    7     1.50409123274234E-08   2.55695509566198E-07
 11    7     1.08780303209606E-10   1.95804545777291E-09
 12    7     5.31749389334032E-11   1.01032383973466E-09
 13    7     4.73421302178470E-16   9.46842604356941E-15
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.78652699955346E-22   2.67979049933018E-21
  8    8     7.16098363695960E-08   1.14575738191354E-06
  9    8     1.58142880615980E-09   2.68842897047165E-08
 10    8     1.85399193000503E-07   3.33718547400906E-06
 11    8     7.02514724347066E-07   1.33477797625943E-05
 12    8     7.61042381029265E-07   1.52208476205853E-05
 13    8     5.95465293053214E-08   1.25047711541175E-06
 14    8     1.07089961941767E-06   2.35597916271888E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.79661443204922E-23   3.05424453448367E-22
  9    9     7.43794737817938E-22   1.33883052807229E-20
 10    9     7.76977905702609E-08   1.47625802083496E-06
 11    9     1.60563109310144E-07   3.21126218620288E-06
 12    9     5.99221307295121E-08   1.25836474531975E-06
 13    9     2.04208313592708E-06   4.49258289903958E-05
 14    9     2.22681045607771E-10   5.12166404897873E-09
 15    9     3.99436884931668E-13   9.58648523836003E-12
 16    9     4.52016563229905E-21   1.13004140807476E-19
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.30593856527245E-08   4.61187713054489E-07
 11   10     3.04388024699780E-08   6.39214851869539E-07
 12   10     1.07795324663327E-06   2.37149714259319E-05
 13   10     1.09705413375214E-09   2.52322450762993E-08
 14   10     2.31302154416167E-08   5.55125170598800E-07
 15   10     6.21073072493812E-10   1.55268268123453E-08
 16   10     8.62142387938208E-16   2.24157020863934E-14
 17   10     1.60416633868245E-24   4.33124911444262E-23
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
