    time    temp    dens
   2.60955264048305E+02   1.00000000000000E-02   2.22339569619968E-05
     nin     zin       y       x
  1    0     4.73291788963125E-10   4.73291788963125E-10
  0    1     8.80150776485552E-11   8.80150776485552E-11
  1    1     3.01662217136541E-16   6.03324434273082E-16
  2    1     2.01385016093176E-08   6.04155048279530E-08
  1    2     9.99176579723064E-15   2.99752973916919E-14
  2    2     1.56979570441570E-04   6.27918281766279E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.43216291988222E-08   8.59297751929334E-08
  4    3     1.68870681878250E-09   1.18209477314775E-08
  5    3     1.41097507095137E-19   1.12878005676110E-18
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.35305536135663E-20   9.47138752949641E-20
  5    4     8.76940543094687E-07   7.89246488785218E-06
  6    4     3.69892547287196E-07   3.69892547287196E-06
  7    4     4.47309975717621E-17   4.92040973289383E-16
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.26788948197692E-15   7.26788948197692E-14
  6    5     2.29223196401227E-08   2.52145516041350E-07
  7    5     5.12585392360148E-21   6.15102470832178E-20
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.60843578772933E-07   7.93012294527520E-06
  7    6     6.53542287037423E-08   8.49604973148650E-07
  8    6     5.55029269474248E-08   7.77040977263947E-07
  9    6     4.02021476279140E-20   6.03032214418710E-19
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     2.70077860467373E-19   3.51101218607584E-18
  7    7     3.49507151962458E-10   4.89310012747441E-09
  8    7     1.00004579936866E-05   1.50006869905299E-04
  9    7     3.94386977576454E-17   6.31019164122327E-16
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.51440038845074E-23   5.27160058267612E-22
  8    8     1.99262617882699E-07   3.18820188612318E-06
  9    8     2.32612844628613E-09   3.95441835868642E-08
 10    8     1.85509251720844E-07   3.33916653097520E-06
 11    8     1.03958310843071E-09   1.97520790601835E-08
 12    8     2.01970023410584E-12   4.03940046821169E-11
 13    8     1.83203578591844E-24   3.84727515042872E-23
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     7.05610051523392E-25   1.19953708758977E-23
  9    9     4.20597257742556E-22   7.57075063936600E-21
 10    9     7.79161410148832E-07   1.48040667928278E-05
 11    9     8.74341929423986E-12   1.74868385884797E-10
 12    9     4.12933476226461E-19   8.67160300075569E-18
 13    9     4.32807443348017E-23   9.52176375365638E-22
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     9.44566592638291E-07   1.88913318527658E-05
 11   10     1.50028695795158E-07   3.15060261169833E-06
 12   10     4.19092364170188E-06   9.22003201174415E-05
 13   10     1.20649318309643E-11   2.77493432112179E-10
 14   10     9.67014987301767E-09   2.32083596952424E-07
 15   10     4.40364502016117E-21   1.10091125504029E-19
 16   10     1.00000000000000E-99   1.00000000000000E-99
