    time    temp    dens
   5.63940642755503E-04   2.43207272251236E+00   6.38842463511906E+11
     nin     zin       y       x
  1    0     8.78060106162497E-01   8.78060106162497E-01
  0    1     6.65112945944061E-20   6.65112945944061E-20
  1    1     8.69645547345387E-19   1.73929109469077E-18
  2    1     6.79572107789487E-12   2.03871632336846E-11
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     3.79957199610149E-12   1.51982879844060E-11
  4    2     3.92112792413243E-08   2.35267675447946E-07
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.72378600060073E-24   1.90665020042051E-23
  5    3     7.07628247876245E-22   5.66102598300996E-21
  6    3     1.30661593788532E-12   1.17595434409679E-11
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.20729103881767E-22   3.78656193493590E-21
  6    4     1.90697859454774E-20   1.90697859454774E-19
  7    4     3.48925855412364E-18   3.83818440953601E-17
  8    4     4.48589488852774E-11   5.38307386623328E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.00000000000000E-99   1.00000000000000E-99
  7    5     7.53812670308612E-25   9.04575204370334E-24
  8    5     6.28478617270662E-17   8.17022202451860E-16
  9    5     6.71216388588243E-14   9.39702944023541E-13
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     1.96165112910349E-25   2.94247669365523E-24
 10    6     8.23610231030946E-18   1.31777636964951E-16
 11    6     9.03399130872095E-15   1.53577852248256E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
