    time    temp    dens
   9.68361342989266E-01   5.81645386274146E-01   4.35113556375076E+02
     nin     zin       y       x
  1    0     5.65755972994911E-10   5.65755972994911E-10
  0    1     5.32869183469113E-14   5.32869183469113E-14
  1    1     1.63445448258030E-13   3.26890896516060E-13
  2    1     4.07421450586397E-10   1.22226435175919E-09
  1    2     4.75033049660201E-17   1.42509914898060E-16
  2    2     1.25825444255901E-04   5.03301777023603E-04
  4    2     1.22735503004057E-08   7.36413018024342E-08
  3    3     1.43032849161728E-10   8.58197094970369E-10
  4    3     6.59404201374209E-10   4.61582940961946E-09
  5    3     7.16172564748398E-16   5.72938051798718E-15
  6    3     8.26275583278230E-07   7.43648024950407E-06
  3    4     2.06844594549174E-16   1.44791216184422E-15
  5    4     8.79750598148025E-08   7.91775538333223E-07
  6    4     6.34683977021660E-08   6.34683977021660E-07
  7    4     9.66178661096348E-20   1.06279652720598E-18
  8    4     2.09906346157965E-14   2.51887615389558E-13
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.20725845110999E-13   6.20725845110999E-12
  6    5     1.59239243707184E-09   1.75163168077902E-08
  7    5     3.16567298801582E-10   3.79880758561898E-09
  8    5     4.04162810165709E-11   5.25411653215422E-10
  9    5     3.84332444432519E-19   5.38065422205526E-18
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.32550061580103E-20   5.85805067738113E-19
  6    6     2.53194335637668E-07   3.03833202765202E-06
  7    6     4.69065298384255E-08   6.09784887899532E-07
  8    6     7.74548714994160E-08   1.08436820099182E-06
  9    6     1.63140480576841E-13   2.44710720865261E-12
 10    6     7.82237713189906E-06   1.25158034110385E-04
 11    6     2.26919885740154E-15   3.85763805758262E-14
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.14579220574878E-17   6.68952986747341E-16
  7    7     2.35262437913730E-10   3.29367413079222E-09
  8    7     3.12545832000996E-06   4.68818748001493E-05
  9    7     8.19182412451587E-08   1.31069185992254E-06
 10    7     2.93581681232075E-08   4.99088858094527E-07
 11    7     9.17182055968625E-09   1.65092770074353E-07
 12    7     9.27629161972760E-07   1.76249540774824E-05
 13    7     9.80166094769212E-10   1.96033218953842E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.74499576044578E-21   5.61749364066868E-20
  8    8     3.36653989909371E-08   5.38646383854994E-07
  9    8     3.39693618991775E-10   5.77479152286018E-09
 10    8     4.26690427316895E-07   7.68042769170411E-06
 11    8     5.72581666774320E-07   1.08790516687121E-05
 12    8     7.55733390204973E-08   1.51146678040995E-06
 13    8     9.91555393281253E-08   2.08226632589063E-06
 14    8     2.58435045509771E-06   5.68557100121497E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     8.91292849844161E-23   1.51519784473507E-21
  9    9     4.11782711205650E-17   7.41208880170170E-16
 10    9     4.22396947193271E-09   8.02554199667214E-08
 11    9     1.90201396211035E-09   3.80402792422070E-08
 12    9     9.07429133998708E-09   1.90560118139729E-07
 13    9     3.03985852913557E-07   6.68768876409825E-06
 14    9     4.57144889128845E-10   1.05143324499634E-08
 15    9     3.16689188948891E-10   7.60054053477337E-09
 16    9     2.90228507376023E-09   7.25571268440057E-08
 17    9     5.42161703193140E-17   1.40962042830216E-15
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.44162467689413E-11   4.88324935378826E-10
 11   10     4.41417548306904E-10   9.26976851444499E-09
 12   10     1.01261313283096E-08   2.22774889222812E-07
 13   10     4.05677486168935E-10   9.33058218188552E-09
 14   10     1.50170151007030E-08   3.60408362416873E-07
 15   10     4.79587402552151E-08   1.19896850638038E-06
 16   10     9.55794467190261E-10   2.48506561469468E-08
 17   10     1.43919408739402E-14   3.88582403596385E-13
 18   10     5.08274994427295E-15   1.42316998439643E-13
 19   10     3.78464584027664E-20   1.09754729368023E-18
 20   10     3.88589687859144E-24   1.16576906357743E-22
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     4.77086573652434E-25   1.00188180467011E-23
 11   11     2.57459086397697E-20   5.66409990074934E-19
 12   11     2.06173368354686E-12   4.74198747215777E-11
 13   11     1.33205880284035E-11   3.19694112681685E-10
 14   11     1.71712790370913E-08   4.29281975927281E-07
 15   11     2.28636642101784E-09   5.94455269464639E-08
 16   11     4.21756880258468E-10   1.13874357669786E-08
 17   11     1.34979512512607E-12   3.77942635035299E-11
 18   11     6.19342783327274E-12   1.79609407164909E-10
 19   11     1.06835028926038E-12   3.20505086778115E-11
