    time    temp    dens
   3.87486723991274E+00   1.47576682409389E-01   6.79116784796111E+00
     nin     zin       y       x
  1    0     3.09852680824134E-11   3.09852680824134E-11
  0    1     1.15007348284018E-13   1.15007348284018E-13
  1    1     1.47796390090443E-15   2.95592780180886E-15
  2    1     2.28891608308253E-09   6.86674824924758E-09
  1    2     5.74074855187763E-16   1.72222456556329E-15
  2    2     1.25623759922579E-04   5.02495039690318E-04
  4    2     1.00532654533291E-09   6.03195927199743E-09
  3    3     6.26910967369053E-09   3.76146580421432E-08
  4    3     8.38558928454191E-10   5.86991249917934E-09
  5    3     5.25387916046836E-15   4.20310332837468E-14
  6    3     3.35491965869279E-09   3.01942769282351E-08
  3    4     1.75977453001771E-17   1.23184217101240E-16
  5    4     6.96455321942886E-07   6.26809789748598E-06
  6    4     6.33386059113688E-08   6.33386059113688E-07
  7    4     1.93342209048888E-14   2.12676429953777E-13
  8    4     4.58466630698922E-23   5.50159956838706E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.55401479028592E-12   1.55401479028592E-11
  6    5     3.81522079092485E-09   4.19674287001734E-08
  7    5     2.28504693687569E-16   2.74205632425083E-15
  8    5     5.94741507269141E-21   7.73163959449884E-20
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.91366953323687E-21   6.50503648656056E-20
  6    6     4.64955118119118E-07   5.57946141742942E-06
  7    6     4.71141468604635E-08   6.12483909186026E-07
  8    6     7.85583422692328E-08   1.09981679176926E-06
  9    6     1.13792279012683E-12   1.70688418519025E-11
 10    6     5.35248191381437E-07   8.56397106210299E-06
 11    6     4.90947594773439E-15   8.34610911114846E-14
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.39654751335852E-17   5.71551176736607E-16
  7    7     2.45521190242636E-10   3.43729666339691E-09
  8    7     1.03395382127800E-05   1.55093073191701E-04
  9    7     1.21793150519463E-07   1.94869040831141E-06
 10    7     1.81200416450258E-08   3.08040707965438E-07
 11    7     3.63638937901798E-10   6.54550088223236E-09
 12    7     2.48373606254212E-09   4.71909851883003E-08
 13    7     6.52778674277028E-16   1.30555734855406E-14
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.09182925932513E-21   1.63774388898769E-20
  8    8     7.76018076932658E-08   1.24162892309225E-06
  9    8     1.50310812454011E-09   2.55528381171818E-08
 10    8     8.20471190643117E-07   1.47684814315761E-05
 11    8     1.03689735675648E-06   1.97010497783732E-05
 12    8     6.61547297439226E-08   1.32309459487845E-06
 13    8     5.50556466468238E-08   1.15616857958330E-06
 14    8     1.05731559858173E-06   2.32609431687981E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.36047857969550E-22   2.31281358548234E-21
  9    9     1.94477788960386E-18   3.50060020128695E-17
 10    9     7.80336974269610E-08   1.48264025111226E-06
 11    9     1.13739685608315E-08   2.27479371216631E-07
 12    9     3.97259863306805E-08   8.34245712944291E-07
 13    9     1.36080428916086E-06   2.99376943615389E-05
 14    9     1.86145498892165E-10   4.28134647451979E-09
 15    9     1.90924121694245E-12   4.58217892066188E-11
 16    9     1.25492066248888E-19   3.13730165622221E-18
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.28665768838609E-09   2.57331537677218E-08
 11   10     1.39136091111362E-08   2.92185791333860E-07
 12   10     4.80333954892204E-07   1.05673470076285E-05
 13   10     6.76721503680437E-10   1.55645945846501E-08
 14   10     1.58256784721819E-08   3.79816283332365E-07
 15   10     1.82069051048938E-09   4.55172627622344E-08
 16   10     4.27472573132543E-14   1.11142869014461E-12
 17   10     4.48307151178344E-23   1.21042930818153E-21
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.41138497255185E-25   2.96390844235888E-24
 11   11     1.18191357964251E-20   2.60020987521352E-19
 12   11     3.29960379494477E-11   7.58908872837297E-10
 13   11     1.70091251893401E-10   4.08219004544161E-09
 14   11     6.36718401782603E-08   1.59179600445651E-06
 15   11     5.51654084065869E-10   1.43430061857126E-08
 16   11     6.27601033754741E-13   1.69452279113780E-11
 17   11     9.02898493285195E-20   2.52811578119855E-18
 18   11     1.05355359735559E-25   3.05530543233120E-24
 19   11     1.00000000000000E-99   1.00000000000000E-99
