    time    temp    dens
   8.24839992437321E+02   1.00000000000000E-02   7.04053752883481E-07
     nin     zin       y       x
  1    0     4.16091764677684E-10   4.16091764677684E-10
  0    1     5.64481127560805E-10   5.64481127560805E-10
  1    1     7.58503334928506E-16   1.51700666985701E-15
  2    1     2.67966519930692E-09   8.03899559792076E-09
  1    2     4.40925342684773E-15   1.32277602805432E-14
  2    2     1.45246542965221E-04   5.80986171860884E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     6.86499051133482E-09   4.11899430680089E-08
  4    3     8.39422134107363E-10   5.87595493875154E-09
  5    3     1.94820792830995E-21   1.55856634264796E-20
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     5.80425069005102E-18   4.06297548303572E-17
  5    4     6.99809887634943E-07   6.29828898871448E-06
  6    4     6.33388775651809E-08   6.33388775651809E-07
  7    4     1.83375773836391E-19   2.01713351220030E-18
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.29042184327666E-12   1.29042184327666E-11
  6    5     3.81540319072441E-09   4.19694350979685E-08
  7    5     2.37506176662807E-23   2.85007411995368E-22
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     3.29154902379092E-21   3.62070392617001E-20
  6    6     4.64956490506062E-07   5.57947788607274E-06
  7    6     4.71143037284547E-08   6.12485948469911E-07
  8    6     7.86027523398206E-08   1.10043853275749E-06
  9    6     1.57414488355488E-21   2.36121732533231E-20
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.64505065519893E-17   2.13856585175860E-16
  7    7     2.45494313728213E-10   3.43692039219499E-09
  8    7     1.08694341063210E-05   1.63041511594815E-04
  9    7     1.01674757455154E-18   1.62679611928246E-17
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.01497826515640E-23   1.52246739773460E-22
  8    8     2.21978982947359E-07   3.55166372715774E-06
  9    8     2.41648508460773E-09   4.10802464383315E-08
 10    8     8.21803106860824E-07   1.47924559234948E-05
 11    8     1.51085883156664E-15   2.87063177997662E-14
 12    8     6.61192899385488E-25   1.32238579877098E-23
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.50330401861120E-18   2.70594723350015E-17
 10    9     1.11635563895455E-06   2.12107571401365E-05
 11    9     7.40085806557407E-20   1.48017161311481E-18
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     7.88336521292664E-08   1.57667304258533E-06
 11   10     1.08696068168164E-07   2.28261743153145E-06
 12   10     2.89845214727962E-06   6.37659472401515E-05
 13   10     8.33244098303954E-16   1.91646142609910E-14
 14   10     9.73904337799408E-10   2.33737041071858E-08
 15   10     1.23279678022038E-23   3.08199195055095E-22
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.04756019320878E-20   2.30463242505931E-19
 12   11     8.99563232836903E-10   2.06899543552488E-08
 13   11     1.49113174818086E-08   3.57871619563406E-07
 14   11     5.12672614922536E-12   1.28168153730634E-10
 15   11     5.32745679503491E-22   1.38513876670908E-20
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
