    time    temp    dens
   1.83089109629130E-02   2.66286467025986E-01   6.43765069801156E+07
     nin     zin       y       x
  1    0     8.63446645556593E-01   8.63446645556593E-01
  0    1     5.30834914960151E-16   5.30834914960151E-16
  1    1     4.48999628061914E-14   8.97999256123827E-14
  2    1     2.82436183780248E-09   8.47308551340744E-09
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     4.04948366431149E-07   1.61979346572459E-06
  4    2     2.70422230434433E-07   1.62253338260660E-06
  3    3     2.45826860546805E-23   1.47496116328083E-22
  4    3     1.41590957704607E-18   9.91136703932252E-18
  5    3     2.79824163743283E-18   2.23859330994627E-17
  6    3     2.68838920875360E-09   2.41955028787824E-08
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.84636280251611E-15   2.56172652226450E-14
  6    4     9.42140422217747E-15   9.42140422217747E-14
  7    4     1.13292564404756E-14   1.24621820845232E-13
  8    4     3.09641523110606E-06   3.71569827732727E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.41546118852716E-18   2.65700730737987E-17
  7    5     8.75433151373677E-16   1.05051978164841E-14
  8    5     1.36171495891986E-13   1.77022944659582E-12
  9    5     7.07070325309472E-07   9.89898455433261E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.76844667281161E-25   5.72213600737393E-24
  7    6     4.50336485905897E-23   5.85437431677667E-22
  8    6     7.10454296473641E-16   9.94636015063097E-15
  9    6     5.02265829181916E-15   7.53398743772874E-14
 10    6     7.23680755466982E-15   1.15788920874717E-13
 11    6     2.56333174516914E-07   4.35766396678754E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     2.22670359677775E-25   3.34005539516663E-24
  9    7     1.73194957908964E-17   2.77111932654342E-16
 10    7     2.13712334630553E-16   3.63310968871940E-15
 11    7     1.92539404365447E-16   3.46570927857805E-15
 12    7     4.03830773773102E-17   7.67278470168894E-16
 13    7     4.28629443529689E-09   8.57258887059379E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     4.97020969452139E-21   9.44339841959064E-20
 12    8     1.20963621018179E-18   2.41927242036358E-17
 13    8     8.48138215217808E-17   1.78109025195740E-15
 14    8     8.10304121828049E-11   1.78266906802171E-09
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     8.60380523881268E-21   1.89283715253879E-19
 14    9     4.79071496255755E-22   1.10186444138824E-20
 15    9     1.40527715795228E-21   3.37266517908547E-20
 16    9     1.27409564270349E-21   3.18523910675872E-20
 17    9     6.40514304769951E-14   1.66533719240187E-12
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     4.35488564591706E-23   1.08872141147926E-21
 16   10     5.32175085634194E-22   1.38365522264891E-20
 17   10     2.06832844810506E-23   5.58448680988366E-22
 18   10     1.72526776148933E-22   4.83074973217012E-21
 19   10     1.02745481520219E-23   2.97961896408636E-22
 20   10     9.55572138826506E-23   2.86671641647952E-21
 21   10     2.64971919739721E-23   8.21412951193135E-22
 22   10     8.23656621687796E-15   2.63570118940095E-13
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.38016229291551E-21   4.69255179591272E-20
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     6.68265685997798E-24   2.07162362659317E-22
 21   11     5.97116694409711E-23   1.91077342211107E-21
 22   11     1.65387248942054E-22   5.45777921508778E-21
 23   11     7.37872490672204E-24   2.50876646828549E-22
 24   11     1.92283837820649E-15   6.72993432372273E-14
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     2.40572135107949E-25   8.90116899899412E-24
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
 17   12     1.00000000000000E-99   1.00000000000000E-99
 18   12     1.00000000000000E-99   1.00000000000000E-99
 19   12     1.00000000000000E-99   1.00000000000000E-99
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     1.23283169487777E-25   4.06834459309663E-24
 22   12     1.45046869355421E-15   4.93159355808430E-14
 23   12     7.70987990731864E-25   2.69845796756152E-23
 24   12     3.20833260610318E-16   1.15499973819714E-14
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     3.99417048157107E-19   1.51778478299701E-17
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     3.67436114934975E-21   1.46974445973990E-19
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     4.17695200375672E-20   1.83785888165296E-18
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.00000000000000E-99   1.00000000000000E-99
 19   13     1.00000000000000E-99   1.00000000000000E-99
 20   13     1.00000000000000E-99   1.00000000000000E-99
 21   13     1.00000000000000E-99   1.00000000000000E-99
 22   13     4.47219425182944E-25   1.56526798814031E-23
 23   13     1.00000000000000E-99   1.00000000000000E-99
 24   13     1.13598642191962E-23   4.20314976110259E-22
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     3.83536956575015E-19   1.49579413064256E-17
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.71752554979052E-16   7.04185475414113E-15
 29   13     7.26691129655900E-21   3.05210274455478E-19
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     3.31296227251492E-19   1.49083302263171E-17
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
 17   14     1.00000000000000E-99   1.00000000000000E-99
 18   14     1.00000000000000E-99   1.00000000000000E-99
 19   14     1.00000000000000E-99   1.00000000000000E-99
 20   14     1.00000000000000E-99   1.00000000000000E-99
 21   14     1.00000000000000E-99   1.00000000000000E-99
