    time    temp    dens
   3.06826707964237E+00   1.85911854192308E-01   1.36784052150453E+01
     nin     zin       y       x
  1    0     3.52253184304724E-11   3.52253184304724E-11
  0    1     8.27701328370148E-14   8.27701328370148E-14
  1    1     2.46140190735847E-15   4.92280381471694E-15
  2    1     2.06362849995629E-09   6.19088549986887E-09
  1    2     6.41481492877851E-16   1.92444447863355E-15
  2    2     1.25036415111597E-04   5.00145660446388E-04
  4    2     1.98918187945324E-09   1.19350912767194E-08
  3    3     5.64310464847992E-09   3.38586278908795E-08
  4    3     8.38746226618901E-10   5.87122358633231E-09
  5    3     7.91633287696491E-15   6.33306630157193E-14
  6    3     1.51973315711441E-08   1.36775984140296E-07
  3    4     3.63269345960342E-17   2.54288542172239E-16
  5    4     6.83179560016521E-07   6.14861604014869E-06
  6    4     6.21815966695218E-08   6.21815966695218E-07
  7    4     1.26996731907559E-14   1.39696405098315E-13
  8    4     6.78224150355508E-23   8.13868980426610E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.20408164798158E-12   2.20408164798158E-11
  6    5     3.64917132877425E-09   4.01408846165167E-08
  7    5     5.28061229479359E-16   6.33673475375231E-15
  8    5     8.14143931117016E-19   1.05838711045212E-17
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.76244555495004E-20   1.93869011044504E-19
  6    6     4.61845404865378E-07   5.54214485838454E-06
  7    6     4.87300818724004E-08   6.33491064341206E-07
  8    6     7.05291052061212E-08   9.87407472885696E-07
  9    6     9.83797464169563E-13   1.47569619625434E-11
 10    6     1.12329199189060E-06   1.79726718702497E-05
 11    6     3.24700046049339E-14   5.51990078283877E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.13579068219981E-16   1.47652788685975E-15
  7    7     2.97982181903708E-10   4.17175054665191E-09
  8    7     9.77951218841328E-06   1.46692682826199E-04
  9    7     1.15435904494345E-07   1.84697447190952E-06
 10    7     1.80150197314286E-08   3.06255335434286E-07
 11    7     8.35143585759329E-10   1.50325845436679E-08
 12    7     1.27203250582152E-08   2.41686176106088E-07
 13    7     1.50828165893190E-14   3.01656331786379E-13
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
