    time    temp    dens
   3.23511861457743E-02   7.83046880948948E-01   1.16692869907540E+07
     nin     zin       y       x
  1    0     8.35024375058761E-01   8.35024375058761E-01
  0    1     3.59269823073995E-15   3.59269823073995E-15
  1    1     1.22568609888464E-13   2.45137219776928E-13
  2    1     3.30427984381518E-09   9.91283953144555E-09
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.68833510612084E-06   6.75334042448334E-06
  4    2     2.67161155850895E-07   1.60296693510537E-06
  3    3     6.89596908051918E-23   4.13758144831151E-22
  4    3     1.05603380100321E-16   7.39223660702248E-16
  5    3     1.40658812251535E-16   1.12527049801228E-15
  6    3     4.21366167987602E-08   3.79229551188842E-07
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     6.93707549844187E-15   6.24336794859769E-14
  6    4     5.12071523586183E-14   5.12071523586183E-13
  7    4     4.36088860664618E-14   4.79697746731080E-13
  8    4     4.11841037919590E-06   4.94209245503508E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.83343989436951E-17   4.21678388380646E-16
  7    5     4.36351582971329E-15   5.23621899565595E-14
  8    5     8.81933674534814E-10   1.14651377689526E-08
  9    5     1.52066856859476E-06   2.12893599603267E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.96687667516093E-21   3.56025201019311E-20
  7    6     3.70232083583092E-19   4.81301708658020E-18
  8    6     3.26233965839323E-15   4.56727552175052E-14
  9    6     2.09922344342596E-14   3.14883516513895E-13
 10    6     6.50427101004849E-09   1.04068336160776E-07
 11    6     1.09766950861107E-06   1.86603816463882E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     3.26084316312831E-19   4.89126474469247E-18
  9    7     1.57498162423109E-16   2.51997059876974E-15
 10    7     1.77822850149586E-15   3.02298845254296E-14
 11    7     1.60205566727648E-15   2.88370020109766E-14
 12    7     3.60528491467329E-16   6.85004133787924E-15
 13    7     3.49652893315696E-08   6.99305786631392E-07
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.43719901970284E-22   2.58695823546511E-21
 11    8     3.94220797023736E-19   7.49019514345099E-18
 12    8     1.91438028134941E-17   3.82876056269881E-16
 13    8     1.34227050765394E-15   2.81876806607327E-14
 14    8     1.24205042366195E-09   2.73251093205628E-08
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     3.96992482275273E-24   8.33684212778074E-23
 13    9     2.57947156335438E-19   5.67483743937963E-18
 14    9     1.43628520712022E-20   3.30345597637651E-19
 15    9     4.21310557493632E-20   1.01114533798472E-18
 16    9     7.22665056944567E-16   1.80666264236142E-14
 17    9     1.60765066717968E-12   4.17989173466717E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     3.72045290422622E-19   9.30113226056556E-18
 16   10     5.23189717371258E-19   1.36029326516527E-17
 17   10     9.54181254812364E-20   2.57628938799338E-18
 18   10     6.11540614122743E-19   1.71231371954368E-17
