    time    temp    dens
   1.57664983343045E-01   1.18465404143563E+00   1.00811296195710E+05
     nin     zin       y       x
  1    0     7.12882404782154E-01   7.12882404782154E-01
  0    1     4.37312032314202E-13   4.37312032314202E-13
  1    1     1.01075003229660E-11   2.02150006459321E-11
  2    1     2.60027340616384E-08   7.80082021849151E-08
  1    2     1.12808261584235E-23   3.38424784752706E-23
  2    2     3.99338570334500E-05   1.59735428133800E-04
  4    2     8.13654724699854E-08   4.88192834819913E-07
  3    3     2.25893837710745E-21   1.35536302626447E-20
  4    3     4.41202802578210E-14   3.08841961804747E-13
  5    3     4.88938150183130E-14   3.91150520146504E-13
  6    3     9.01807990074732E-07   8.11627191067259E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.39357801770696E-14   2.15422021593626E-13
  6    4     1.89649285829360E-10   1.89649285829360E-09
  7    4     1.79958993710249E-13   1.97954893081274E-12
  8    4     4.16785574387364E-07   5.00142689264837E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.02599774474996E-15   3.32859751922495E-14
  7    5     1.00558954302520E-13   1.20670745163025E-12
  8    5     9.53289453849248E-07   1.23927629000402E-05
  9    5     5.00173355017010E-08   7.00242697023814E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.60348822246758E-18   1.92418586696109E-17
  7    6     3.87561606562087E-14   5.03830088530713E-13
  8    6     1.11567303203389E-12   1.56194224484745E-11
  9    6     9.22732321311184E-13   1.38409848196678E-11
 10    6     1.01721738298160E-05   1.62754781277055E-04
 11    6     1.69195351449020E-07   2.87632097463334E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     3.06271381442644E-22   4.28779934019701E-21
  8    7     4.57069323011733E-14   6.85603984517599E-13
  9    7     1.28366123840384E-13   2.05385798144614E-12
 10    7     4.97940053115664E-13   8.46498090296629E-12
 11    7     4.48607709619586E-13   8.07493877315256E-12
 12    7     2.26261254003182E-09   4.29896382606045E-08
 13    7     1.21088716011085E-06   2.42177432022170E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.17050081465910E-19   1.87280130345456E-18
  9    8     4.11466918490868E-22   6.99493761434476E-21
 10    8     9.55753904271550E-18   1.72035702768879E-16
 11    8     2.21396517447656E-15   4.20653383150547E-14
 12    8     5.94932999024828E-14   1.18986599804966E-12
 13    8     4.17116739819653E-12   8.75945153621272E-11
 14    8     8.81001194126852E-08   1.93820262707907E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     3.73392518963707E-21   7.09445786031043E-20
 11    9     4.34176914994687E-21   8.68353829989374E-20
 12    9     5.93907548016913E-18   1.24720585083552E-16
 13    9     1.73511179963016E-15   3.81724595918635E-14
 14    9     9.66160867159631E-17   2.22216999446715E-15
 15    9     2.83400093213224E-16   6.80160223711738E-15
 16    9     6.36296921195456E-10   1.59074230298864E-08
 17    9     2.93582168919298E-11   7.63313639190176E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.37392727103687E-22   3.02263999628112E-21
 13   10     2.91434261057837E-20   6.70298800433024E-19
 14   10     3.56358463436262E-18   8.55260312247028E-17
 15   10     7.38641296567687E-14   1.84660324141922E-12
 16   10     9.94183148467614E-14   2.58487618601580E-12
 17   10     3.27038287762161E-14   8.83003376957836E-13
 18   10     1.89486984654183E-13   5.30563557031713E-12
 19   10     1.39314478702606E-14   4.04011988237557E-13
 20   10     9.18832707237351E-14   2.75649812171205E-12
 21   10     4.23367163712016E-14   1.31243820750725E-12
 22   10     2.37138171129976E-08   7.58842147615925E-07
 23   10     1.18565872624170E-19   3.91267379659761E-18
 24   10     7.85522314183030E-20   2.67077586822230E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     2.03718540144550E-23   5.09296350361376E-22
 15   11     7.27635905842944E-23   1.89185335519165E-21
 16   11     4.58845916292134E-21   1.23888397398876E-19
 17   11     2.73363503537673E-18   7.65417809905485E-17
 18   11     4.71449609109033E-17   1.36720386641620E-15
 19   11     7.50154920133218E-17   2.25046476039965E-15
 20   11     1.13966285697763E-13   3.53295485663064E-12
 21   11     1.99536748822633E-09   6.38517596232424E-08
 22   11     8.65282319336570E-11   2.85543165381068E-09
 23   11     1.05832419907996E-11   3.59830227687186E-10
 24   11     9.52889546357253E-09   3.33511341225039E-07
