    time    temp    dens
   1.14205888411484E+00   4.95150788105684E-01   2.65246374770925E+02
     nin     zin       y       x
  1    0     2.22866352018274E-10   2.22866352018274E-10
  0    1     2.58601171066887E-14   2.58601171066887E-14
  1    1     7.69950552725293E-14   1.53990110545059E-13
  2    1     5.13513863940152E-10   1.54054159182046E-09
  1    2     1.19607765831410E-16   3.58823297494231E-16
  2    2     1.25696869449165E-04   5.02787477796659E-04
  4    2     1.05624127339837E-08   6.33744764039019E-08
  3    3     4.79597201556861E-10   2.87758320934117E-09
  4    3     7.16455452670534E-10   5.01518816869374E-09
  5    3     1.26981031552918E-15   1.01584825242334E-14
  6    3     5.92338013317635E-07   5.33104211985871E-06
  3    4     4.52850743783602E-16   3.16995520648522E-15
  5    4     1.88848341197577E-07   1.69963507077820E-06
  6    4     6.33444669855624E-08   6.33444669855624E-07
  7    4     1.70996491903261E-19   1.88096141093587E-18
  8    4     9.63895682947339E-17   1.15667481953681E-15
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.17151654948088E-12   2.17151654948088E-11
  6    5     2.54014270456476E-09   2.79415697502124E-08
  7    5     4.56984224746993E-11   5.48381069696392E-10
  8    5     5.30200168280833E-12   6.89260218765083E-11
  9    5     1.59744176209708E-19   2.23641846693591E-18
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     6.42937808958168E-20   7.07231589853985E-19
  6    6     3.84743233075895E-07   4.61691879691074E-06
  7    6     4.70774614171789E-08   6.12006998423326E-07
  8    6     7.76744236610355E-08   1.08744193125450E-06
  9    6     1.01618725423909E-12   1.52428088135863E-11
 10    6     6.65922107276293E-06   1.06547537164207E-04
 11    6     7.65364657571854E-15   1.30111991787215E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.91711056922151E-17   1.02922437399880E-15
  7    7     2.44597685491797E-10   3.42436759688516E-09
  8    7     4.27687447357223E-06   6.41531171035835E-05
  9    7     9.21715250964184E-08   1.47474440154269E-06
 10    7     2.85237881402599E-08   4.84904398384418E-07
 11    7     7.55514049194850E-09   1.35992528855073E-07
 12    7     6.48862434074033E-07   1.23283862474066E-05
