    time    temp    dens
   1.44768278833281E+03   1.00000000000000E-02   1.30225104138754E-07
     nin     zin       y       x
  1    0     4.25689138676691E-11   4.25689138676691E-11
  0    1     6.81851142925993E-10   6.81851142925993E-10
  1    1     7.59628021262076E-16   1.51925604252415E-15
  2    1     2.67970583731553E-09   8.03911751194659E-09
  1    2     7.38311417624506E-15   2.21493425287352E-14
  2    2     1.49711140880122E-04   5.98844563520487E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     6.86494665035022E-09   4.11896799021013E-08
  4    3     8.39422159370550E-10   5.87595511559385E-09
  5    3     3.68158759397439E-23   2.94527007517951E-22
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     5.80320714478645E-18   4.06224500135051E-17
  5    4     6.99809888938743E-07   6.29828900044868E-06
  6    4     6.33388786317995E-08   6.33388786317995E-07
  7    4     3.38963784960445E-21   3.72860163456489E-20
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.29039456999165E-12   1.29039456999165E-11
  6    5     3.81540311147453E-09   4.19694342262198E-08
  7    5     4.49420659551338E-25   5.39304791461605E-24
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     2.31261092330732E-21   2.54387201563805E-20
  6    6     4.64956492097260E-07   5.57947790516712E-06
  7    6     4.71143040828800E-08   6.12485953077441E-07
  8    6     7.86027521591886E-08   1.10043853022864E-06
  9    6     2.96687871425674E-23   4.45031807138511E-22
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     8.02170821804663E-18   1.04282206834606E-16
  7    7     2.45494495338668E-10   3.43692293474135E-09
  8    7     1.08694341180491E-05   1.63041511770736E-04
  9    7     1.90138285880005E-20   3.04221257408007E-19
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
