    time    temp    dens
   4.70918940844316E-02   1.07231560753430E+00   3.78334957203225E+06
     nin     zin       y       x
  1    0     8.12669993446943E-01   8.12669993446943E-01
  0    1     1.15466225828772E-14   1.15466225828772E-14
  1    1     2.95784971621422E-13   5.91569943242844E-13
  2    1     4.86238740385173E-09   1.45871622115552E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     4.76525269724188E-06   1.90610107889675E-05
  4    2     2.61930415642589E-07   1.57158249385554E-06
  3    3     1.76431033396366E-22   1.05858620037820E-21
  4    3     7.54144048739888E-16   5.27900834117922E-15
  5    3     8.66829609376898E-16   6.93463687501519E-15
  6    3     1.64414802399817E-07   1.47973322159835E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.08547232791829E-14   9.76925095126459E-14
  6    4     1.09264220186993E-12   1.09264220186993E-11
  7    4     8.01763188306227E-14   8.81939507136850E-13
  8    4     3.89096380992197E-06   4.66915657190637E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.36916015743133E-16   1.50607617317446E-15
  7    5     1.24395299613793E-14   1.49274359536551E-13
  8    5     2.56233119851468E-07   3.33103055806908E-06
  9    5     1.80587198389189E-06   2.52822077744864E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.24991081387986E-20   5.09989297665583E-19
  7    6     2.57917215295144E-16   3.35292379883687E-15
  8    6     1.07281512420437E-14   1.50194117388611E-13
  9    6     6.36285524243265E-14   9.54428286364898E-13
 10    6     9.04639595640011E-07   1.44742335302402E-05
 11    6     1.58979319551515E-06   2.70264843237575E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     8.71537892057192E-25   1.22015304888007E-23
  8    7     1.05016764014636E-16   1.57525146021954E-15
  9    7     1.03966332083749E-15   1.66346131333998E-14
 10    7     8.09817283990472E-15   1.37668938278380E-13
 11    7     7.29586951570224E-15   1.31325651282640E-13
 12    7     6.57684091758424E-13   1.24959977434101E-11
 13    7     1.15775073130730E-07   2.31550146261460E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.16930442645893E-23   6.67088708233429E-22
  9    8     1.44421844404858E-25   2.45517135488259E-24
 10    8     2.00034100476337E-20   3.60061380857406E-19
 11    8     4.74067064007681E-18   9.00727421614595E-17
 12    8     1.46797441524291E-16   2.93594883048581E-15
 13    8     1.02927005433749E-14   2.16146711410874E-13
 14    8     4.67486874495081E-09   1.02847112388918E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.07500144430946E-24   2.04250274418798E-23
 11    9     1.25953264314614E-24   2.51906528629228E-23
 12    9     1.95105505950939E-21   4.09721562496971E-20
 13    9     2.32148628260506E-18   5.10726982173113E-17
 14    9     1.29263754902061E-19   2.97306636274741E-18
 15    9     3.79173872358750E-19   9.10017293661001E-18
 16    9     1.26867880031640E-12   3.17169700079099E-11
 17    9     8.48701899122440E-12   2.20662493771834E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     2.55779365401431E-24   5.88292540423291E-23
 14   10     2.06194343432470E-22   4.94866424237928E-21
 15   10     1.49605252446695E-16   3.74013131116738E-15
 16   10     2.01391100885822E-16   5.23616862303137E-15
 17   10     5.75434759949088E-17   1.55367385186254E-15
 18   10     3.38681481137593E-16   9.48308147185261E-15
 19   10     2.48586756193705E-17   7.20901592961745E-16
 20   10     1.59415896832500E-16   4.78247690497499E-15
 21   10     7.47151620247218E-17   2.31617002276638E-15
 22   10     1.06083737042660E-09   3.39467958536512E-08
 23   10     5.26643261978963E-20   1.73792276453058E-18
 24   10     7.83360718728685E-18   2.66342644367753E-16
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.89220430854363E-25   5.10895163306779E-24
 17   11     1.62884515684005E-22   4.56076643915215E-21
 18   11     2.25687615869064E-20   6.54494086020287E-19
 19   11     7.26259997646042E-20   2.17877999293813E-18
 20   11     2.57607505814425E-17   7.98583268024718E-16
 21   11     3.69934201949056E-16   1.18378944623698E-14
 22   11     6.66307078761587E-16   2.19881335991324E-14
 23   11     1.03961610492066E-15   3.53469475673025E-14
 24   11     3.20228559531846E-10   1.12079995836146E-08
