    time    temp    dens
   5.93994955633629E-01   9.03544645804786E-01   1.88524013111246E+03
     nin     zin       y       x
  1    0     2.30159189997958E-03   2.30159189997958E-03
  0    1     2.24522463913900E-11   2.24522463913900E-11
  1    1     3.03385754117216E-10   6.06771508234433E-10
  2    1     4.93045111881986E-09   1.47913533564596E-08
  1    2     4.74977401707736E-19   1.42493220512321E-18
  2    2     1.25131434492584E-04   5.00525737970335E-04
  4    2     1.69883229122017E-08   1.01929937473210E-07
  3    3     8.91894379182403E-18   5.35136627509442E-17
  4    3     6.19986039409770E-12   4.33990227586839E-11
  5    3     1.17586342104590E-12   9.40690736836721E-12
  6    3     1.76424881885894E-06   1.58782393697304E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     5.03499850448217E-11   4.53149865403395E-10
  6    4     1.25404219248571E-07   1.25404219248571E-06
  7    4     4.91622038238356E-14   5.40784242062192E-13
  8    4     2.98682052803384E-09   3.58418463364060E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.39538733333459E-25   7.39538733333459E-24
  6    5     1.23370208935985E-11   1.35707229829583E-10
  7    5     5.92685085912413E-11   7.11222103094896E-10
  8    5     3.92341081147606E-08   5.10043405491887E-07
  9    5     3.58042925111428E-12   5.01260095155999E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     9.20847476695383E-13   1.10501697203446E-11
  7    6     6.07905832814671E-11   7.90277582659072E-10
  8    6     3.07243094467810E-08   4.30140332254933E-07
  9    6     1.08856096323798E-10   1.63284144485697E-09
 10    6     1.10689802463657E-05   1.77103683941852E-04
 11    6     1.56956721842982E-10   2.66826427133070E-09
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.29482466107197E-16   3.21275452550075E-15
  8    7     1.04881631248328E-09   1.57322446872492E-08
  9    7     2.27575316584857E-09   3.64120506535771E-08
 10    7     6.95589358143437E-09   1.18250190884384E-07
 11    7     5.50421269599052E-09   9.90758285278293E-08
 12    7     1.37759622782781E-07   2.61743283287284E-06
 13    7     1.90323067802726E-06   3.80646135605453E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.26272671740363E-14   6.82036274784581E-13
  9    8     1.80983284779366E-16   3.07671584124922E-15
 10    8     5.64540511628830E-12   1.01617292093189E-10
