    time    temp    dens
   3.26747934326994E+00   1.74807712732425E-01   1.13259957545919E+01
     nin     zin       y       x
  1    0     3.38046753944562E-11   3.38046753944562E-11
  0    1     8.51883020468026E-14   8.51883020468026E-14
  1    1     1.99226911366771E-15   3.98453822733541E-15
  2    1     2.13454361177171E-09   6.40363083531514E-09
  1    2     5.55790255011491E-16   1.66737076503447E-15
  2    2     1.25622225470747E-04   5.02488901882986E-04
  4    2     1.69247606857374E-09   1.01548564114424E-08
  3    3     5.75570367713033E-09   3.45342220627820E-08
  4    3     8.37422212894713E-10   5.86195549026299E-09
  5    3     7.47455627984943E-15   5.97964502387954E-14
  6    3     1.04985588601038E-08   9.44870297409340E-08
  3    4     2.56533502067072E-17   1.79573451446950E-16
  5    4     6.89312302927393E-07   6.20381072634654E-06
  6    4     6.33384672198951E-08   6.33384672198951E-07
  7    4     1.52256426569055E-14   1.67482069225961E-13
  8    4     6.52651946724723E-23   7.83182336069668E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.69478582540566E-12   1.69478582540566E-11
  6    5     3.81455252941194E-09   4.19600778235313E-08
  7    5     4.23288925559841E-16   5.07946710671810E-15
  8    5     2.33258852919072E-19   3.03236508794793E-18
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     6.25642793865155E-21   6.88207073251671E-20
  6    6     4.64955101915193E-07   5.57946122298232E-06
  7    6     4.71140503421484E-08   6.12482654447929E-07
  8    6     7.85158891720859E-08   1.09922244840920E-06
  9    6     1.34173515843577E-12   2.01260273765365E-11
 10    6     9.35321671719308E-07   1.49651467475089E-05
 11    6     2.06170713518355E-14   3.50490212981204E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.47625418753638E-17   5.81913044379730E-16
  7    7     2.45535267534003E-10   3.43749374547605E-09
  8    7     9.94346547412205E-06   1.49151982111831E-04
  9    7     1.25087083659371E-07   2.00139333854994E-06
 10    7     2.00414483340584E-08   3.40704621678993E-07
 11    7     7.11469302331459E-10   1.28064474419663E-08
 12    7     8.46801099963039E-09   1.60892208992977E-07
 13    7     1.15525650809593E-14   2.31051301619186E-13
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
