    time    temp    dens
   9.13406429324396E+00   6.29781360429682E-02   5.18468951664517E-01
     nin     zin       y       x
  1    0     2.10117238400438E-11   2.10117238400438E-11
  0    1     2.85170298651285E-13   2.85170298651285E-13
  1    1     7.41905330809918E-16   1.48381066161984E-15
  2    1     2.59922242757377E-09   7.79766728272131E-09
  1    2     5.53016581237686E-16   1.65904974371306E-15
  2    2     1.25651354996435E-04   5.02605419985740E-04
  4    2     1.14388500830830E-11   6.86331004984981E-11
  3    3     6.93438288684361E-09   4.16062973210617E-08
  4    3     8.39371298852371E-10   5.87559909196660E-09
  5    3     2.15925228448561E-16   1.72740182758849E-15
  6    3     2.01843144329471E-13   1.81658829896524E-12
  3    4     7.65628933540258E-18   5.35940253478181E-17
  5    4     6.99809729406461E-07   6.29828756465815E-06
  6    4     6.33388293256956E-08   6.33388293256956E-07
  7    4     2.14302196993556E-14   2.35732416692912E-13
  8    4     2.61339678019978E-24   3.13607613623974E-23
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.33925149199278E-12   1.33925149199278E-11
  6    5     3.81541801446764E-09   4.19695981591441E-08
  7    5     6.34889503885176E-18   7.61867404662211E-17
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.35662063255914E-21   5.89228269581506E-20
  6    6     4.64955591732566E-07   5.57946710079079E-06
  7    6     4.71142845379053E-08   6.12485698992768E-07
  8    6     7.86026032305139E-08   1.10043644522719E-06
  9    6     2.62408940530797E-13   3.93613410796196E-12
 10    6     4.43161110213027E-09   7.09057776340844E-08
 11    6     5.31572838286642E-19   9.03673825087291E-18
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.25094087311982E-17   5.52622313505577E-16
  7    7     2.45501374279337E-10   3.43701923991072E-09
  8    7     1.08650461176378E-05   1.62975691764566E-04
  9    7     7.66540414600036E-08   1.22646466336006E-06
 10    7     7.58098300696460E-09   1.28876711118398E-07
 11    7     1.15121783502903E-12   2.07219210305225E-11
 12    7     7.28867279586875E-14   1.38484783121506E-12
 13    7     3.16343787455907E-23   6.32687574911813E-22
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.01352828664873E-21   1.52029242997309E-20
  8    8     1.38071965169314E-07   2.20915144270902E-06
  9    8     2.04493359611412E-09   3.47638711339400E-08
 10    8     8.21802106969271E-07   1.47924379254469E-05
 11    8     9.06815958197349E-07   1.72295032057496E-05
 12    8     5.05222279430533E-08   1.01044455886107E-06
 13    8     1.90415470364656E-08   3.99872487765777E-07
 14    8     2.11231640127888E-07   4.64709608281353E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.13823335966602E-22   1.93499671143224E-21
  9    9     1.68918797275152E-18   3.04053835095274E-17
 10    9     2.09540330602010E-07   3.98126628143820E-06
 11    9     2.14217747671381E-08   4.28435495342761E-07
 12    9     3.87601539735071E-08   8.13963233443648E-07
 13    9     1.08185815552075E-06   2.38008794214564E-05
 14    9     3.66608126610822E-11   8.43198691204891E-10
 15    9     2.26857411044013E-16   5.44457786505631E-15
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     6.88961005146050E-09   1.37792201029210E-07
 11   10     5.08945554380268E-08   1.06878566419856E-06
 12   10     1.60536302740412E-06   3.53179866028907E-05
 13   10     7.55937043396231E-10   1.73865519981133E-08
 14   10     1.55458066255431E-08   3.73099359013035E-07
 15   10     4.87086448587334E-12   1.21771612146834E-10
 16   10     2.71450590283896E-21   7.05771534738130E-20
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.13980398298474E-25   2.39358836426794E-24
 11   11     1.07401820257695E-20   2.36284004566930E-19
 12   11     1.05199080043074E-10   2.41957884099070E-09
 13   11     4.51705336489077E-10   1.08409280757379E-08
 14   11     6.15846432099087E-08   1.53961608024772E-06
 15   11     1.96326774054325E-11   5.10449612541244E-10
 16   11     6.12943104718628E-17   1.65494638274030E-15
 17   11     5.96072073846952E-25   1.66900180677147E-23
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     2.58724869577716E-14   6.20939686986517E-13
 13   12     5.69483805517640E-09   1.42370951379410E-07
 14   12     3.65548289463579E-09   9.50425552605306E-08
 15   12     8.15507439007146E-10   2.20187008531929E-08
 16   12     1.53625813767473E-09   4.30152278548925E-08
 17   12     1.11046570211973E-11   3.22035053614723E-10
 18   12     8.87213290965938E-17   2.66163987289781E-15
 19   12     5.33651232407853E-20   1.65431882046435E-18
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     1.00000000000000E-99   1.00000000000000E-99
 22   12     1.00000000000000E-99   1.00000000000000E-99
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     2.37616815825681E-21   6.17803721146770E-20
 14   13     8.02422667477345E-12   2.16654120218883E-10
 15   13     1.28792227480847E-13   3.60618236946373E-12
 16   13     9.39975796636305E-10   2.72592981024528E-08
 17   13     3.76432586147988E-10   1.12929775844396E-08
 18   13     4.95847227703424E-13   1.53712640588062E-11
 19   13     2.26093820770721E-20   7.23500226466306E-19
 20   13     1.00000000000000E-99   1.00000000000000E-99
 21   13     1.00000000000000E-99   1.00000000000000E-99
 22   13     1.00000000000000E-99   1.00000000000000E-99
 23   13     1.00000000000000E-99   1.00000000000000E-99
 24   13     1.00000000000000E-99   1.00000000000000E-99
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     3.06903968065170E-15   8.59331110582475E-14
 15   14     1.10623154956421E-11   3.20807149373622E-10
 16   14     1.34528890654689E-09   4.03586671964068E-08
 17   14     2.79887097345490E-09   8.67650001771020E-08
 18   14     1.02292048633985E-08   3.27334555628753E-07
 19   14     3.79213855175511E-09   1.25140572207919E-07
 20   14     1.59783222556879E-09   5.43262956693389E-08
 21   14     4.62920229134826E-12   1.62022080197189E-10
 22   14     5.72741116201997E-15   2.06186801832719E-13
 23   14     8.60386143751475E-23   3.18342873188046E-21
 24   14     4.25675266626790E-15   1.61756601318180E-13
 25   14     4.94877655491125E-24   1.93002285641539E-22
 26   14     1.00000000000000E-99   1.00000000000000E-99
 27   14     1.00000000000000E-99   1.00000000000000E-99
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
