#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.0734369013361900E-04    6.9839641175076776E+00    1.0427224292352856E+17    4.9823532028769078E+06    7.5977214037923513E-12    7.6231248035224900E-12    5.0308053449964867E+05    5.3908786556000877E+06    1.8787633788603422E+01    1.7392496788094192E+00    1.1789328350268992E+01    1.1897380094698001E+01    5.4023613541900627E+10    5.7981226742454431E+11    3.7228251980326183E-04    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17
 1.0734369015804092E-04    6.9839641168292408E+00    1.0427224292352859E+17    4.9888514855340263E+06    7.6183408946786637E-12    7.6282408612249180E-12    5.0306756346277340E+05    5.3921729049237752E+06    1.8780760948224554E+01    1.7392143567327099E+00    1.1804651618046172E+01    1.1903339291441405E+01    5.4021861797937218E+10    5.8056989285175818E+11    3.7228118277049597E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734369024799473E-04    6.9839641143303375E+00    1.0427224292352856E+17    4.9907299286212185E+06    7.6334370077215635E-12    7.6319071751706516E-12    5.0302269234603754E+05    5.3952741532115359E+06    1.8751984033190755E+01    1.7390680243374921E+00    1.1809057289053298E+01    1.1910774139253490E+01    5.4017161090770638E+10    5.8078872021557532E+11    3.7228021287863893E-04    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17    1.0427224292352856E+17
 1.0734369221148260E-04    6.9839640597849453E+00    1.0427224292352859E+17    4.9811041353986990E+06    7.6301070111979729E-12    7.6299022630309612E-12    5.0282757190755865E+05    5.4053506828345479E+06    1.8663116293856785E+01    1.7384010641876577E+00    1.1786286342577277E+01    1.1910341856347065E+01    5.3998329943235107E+10    5.7966661109595996E+11    3.7228065599348957E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734371155831884E-04    6.9839635223328154E+00    1.0427224292352859E+17    4.8876954110736111E+06    7.6296869386817222E-12    7.6296871599713399E-12    5.0212187096902030E+05    5.4061604045524849E+06    1.8659443904796824E+01    1.7359617055254806E+00    1.1565263479505937E+01    1.1908608862568071E+01    5.3922782845011078E+10    5.6879632430989844E+11    3.7228071422941975E-04    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17    1.0427224292352859E+17
 1.0734427869655389E-04    6.9839477673365833E+00    1.0427224292352984E+17    3.0351718083228921E+06    7.6295056076352448E-12    7.6295058708471885E-12    4.8622668789572391E+05    5.4057783519349918E+06    1.8658327659041575E+01    1.6810103884015122E+00    7.1818245999624226E+00    1.1909030336509359E+01    5.2216347888729836E+10    3.5322181503634985E+11    3.7228081734366595E-04    1.0427224292352984E+17    1.0427224292352984E+17    1.0427224292352984E+17    1.0427224292352984E+17
 1.0736242712007562E-04    6.9834436243838729E+00    1.0427224292358395E+17    1.5289129421755520E+06    7.6237092377902188E-12    7.6237095006022918E-12    4.6370181222635455E+05    5.3936029385040468E+06    1.8622547034614026E+01    1.6032046502720561E+00    3.6173877178057268E+00    1.1923078326509367E+01    4.9813935279287804E+10    1.7805208354423035E+11    3.7228411373626272E-04    1.0427224292358395E+17    1.0427224292358395E+17    1.0427224292358395E+17    1.0427224292358395E+17
 1.0756414860624562E-04    6.9778422665134814E+00    1.0427224292318867E+17    1.5297991550634736E+06    7.5599162785263083E-12    7.5599165369330711E-12    4.6429884384070284E+05    5.2709532530106762E+06    1.8263281957587825E+01    1.6060286721672055E+00    3.6156322136035546E+00    1.2080465220484330E+01    5.0062255754489342E+10    1.7951391441977249E+11    3.7232075936446279E-04    1.0427224292318867E+17    1.0427224292318867E+17    1.0427224292318867E+17    1.0427224292318867E+17
 1.0792168685590906E-04    6.9679246701900794E+00    1.0427224292214229E+17    1.5331682930788640E+06    7.4496255763950953E-12    7.4496258272564991E-12    4.6553412082274287E+05    5.1025618313300498E+06    1.7776615877097740E+01    1.6116454107134555E+00    3.6166682430181645E+00    1.2366325450817028E+01    5.0522715054407661E+10    1.8234122160596432E+11    3.7238574090779186E-04    1.0427224292214229E+17    1.0427224292214229E+17    1.0427224292214229E+17    1.0427224292214229E+17
 1.0849839024788069E-04    6.9519577389207026E+00    1.0427224292182925E+17    1.5396713324670997E+06    7.2788553160783745E-12    7.2788555554753264E-12    4.6787635770270345E+05    4.9316629532555845E+06    1.7305937761478116E+01    1.6219148369112639E+00    3.6205677508996210E+00    1.2847186039512531E+01    5.1307194884617523E+10    1.8710403981456448E+11    3.7249063568363763E-04    1.0427224292182925E+17    1.0427224292182925E+17    1.0427224292182925E+17    1.0427224292182925E+17
 1.0942949433584950E-04    6.9262646315291709E+00    1.0427224292231162E+17    1.5525385443672566E+06    7.0203071742711731E-12    7.0203073968153992E-12    4.7239721905161691E+05    4.8375034689924512E+06    1.7128719249163645E+01    1.6410613971847745E+00    3.6316472353682059E+00    1.3679786511670654E+01    5.2666299746132164E+10    1.9529303380081808E+11    3.7266020456130027E-04    1.0427224292231162E+17    1.0427224292231162E+17    1.0427224292231162E+17    1.0427224292231162E+17
 1.1093511704413268E-04    6.8849752783808293E+00    1.0427224292052544E+17    1.5780275158903408E+06    6.6419010107298246E-12    6.6419012097017458E-12    4.8106390821043059E+05    4.9947924781208746E+06    1.7872951418819373E+01    1.6767608376782304E+00    3.6584032570288731E+00    1.5193681411698634E+01    5.5049479035591606E+10    2.0972990600077927E+11    3.7293497584152234E-04    1.0427224292052544E+17    1.0427224292052544E+17    1.0427224292052544E+17    1.0427224292052544E+17
 1.1337565739574609E-04    6.8188574755753182E+00    1.0427224292100010E+17    1.6265831333572944E+06    6.1147702984084645E-12    6.1147704666995839E-12    4.9696793586177449E+05    5.8148354100140948E+06    2.1057938568253441E+01    1.7411956363786043E+00    3.7129475042866562E+00    1.8181696780629803E+01    5.9221582927971069E+10    2.3584185545561011E+11    3.7338195703249817E-04    1.0427224292100010E+17    1.0427224292100010E+17    1.0427224292100010E+17    1.0427224292100010E+17
 1.1705442692617103E-04    6.7215650274414473E+00    1.0427224291327338E+17    1.7038796674488932E+06    5.4733778201018345E-12    5.4733779543959066E-12    5.2173729827077920E+05    8.2983468016054053E+06    3.0440793918258141E+01    1.8412977493650033E+00    3.7922083389861938E+00    2.4340934704788392E+01    6.5816780635487213E+10    2.8012577647383258E+11    3.7405987496292453E-04    1.0427224291327338E+17    1.0427224291327338E+17    1.0427224291327338E+17    1.0427224291327338E+17
 1.2144021408256042E-04    6.6102825324610288E+00    1.0427224290479067E+17    1.7865073027611903E+06    4.8782861033067760E-12    4.8782862092582219E-12    5.4942740358841640E+05    1.3986576109908951E+07    5.1913192424466899E+01    1.9541760435616971E+00    3.8499795638278989E+00    3.5410440066015617E+01    7.3695272230487122E+10    3.3792426030337177E+11    3.7487593256580360E-04    1.0427224290479067E+17    1.0427224290479067E+17    1.0427224290479067E+17    1.0427224290479067E+17
 1.2600000000000000E-04    6.5012999999999987E+00    1.0427224289799045E+17    1.8526698054483703E+06    4.3920916185071131E-12    4.3920917035091985E-12    5.7554650668528851E+05    2.5233275766024157E+07    9.4610464944355328E+01    2.0616943712259470E+00    3.8569472989258724E+00    5.3248304431299893E+01    8.1671451802668594E+10    4.0058674430408636E+11    3.7573572025626910E-04    1.0427224289799045E+17    1.0427224289799045E+17    1.0427224289799045E+17    1.0427224289799045E+17
 1.3103567902520704E-04    6.3890076034796639E+00    1.0427224290693301E+17    1.9036981939970185E+06    3.9621253918446470E-12    3.9621254600824213E-12    6.0257605590093881E+05    4.9342271638370633E+07    1.8682905003345240E+02    2.1733063511805284E+00    3.8145270395674489E+00    8.4581673595869290E+01    9.0299935747441269E+10    4.7074926747899835E+11    3.7670199188445945E-04    1.0427224290693301E+17    1.0427224290693301E+17    1.0427224290693301E+17    1.0427224290693301E+17
 1.3661633172313349E-04    6.2723420438837936E+00    1.0427224291457995E+17    1.9420331894613230E+06    3.5796726431655585E-12    3.5796726979263194E-12    6.3205579711259645E+05    1.0508853986746860E+08    4.0185127536941582E+02    2.2946014346465202E+00    3.7311533446352825E+00    1.4373075250377985E+02    9.9944641469306168E+10    5.5020967536415161E+11    3.7779523221589972E-04    1.0427224291457995E+17    1.0427224291457995E+17    1.0427224291457995E+17    1.0427224291457995E+17
 1.4251828733608541E-04    6.1560248462318157E+00    1.0427224292232029E+17    1.9710003127030539E+06    3.2546402369490106E-12    3.2546402814204670E-12    6.6374955891350599E+05    2.3601849605699098E+08    9.1126150159902409E+02    2.4240723894690492E+00    3.6247174758177629E+00    2.5702872667137922E+02    1.1048498623259518E+11    6.3762645125860889E+11    3.7897680225620130E-04    1.0427224292232029E+17    1.0427224292232029E+17    1.0427224292232029E+17    1.0427224292232029E+17
