    time    temp    dens
   5.60835986212850E-04   2.44369695692933E+00   6.46479776473962E+11
     nin     zin       y       x
  1    0     8.77729601277017E-01   8.77729601277017E-01
  0    1     6.56995397001595E-20   6.56995397001595E-20
  1    1     8.56073216073038E-19   1.71214643214608E-18
  2    1     6.72963945577194E-12   2.01889183673158E-11
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     3.82310754221848E-12   1.52924301688739E-11
  4    2     3.89986410705540E-08   2.33991846423324E-07
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     2.72600165861551E-24   1.90820116103086E-23
  5    3     7.80090353513460E-22   6.24072282810768E-21
  6    3     1.31965196075511E-12   1.18768676467960E-11
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     4.26600519860628E-22   3.83940467874565E-21
  6    4     2.06911967948740E-20   2.06911967948740E-19
  7    4     3.83022703985099E-18   4.21324974383609E-17
  8    4     4.59678144773859E-11   5.51613773728630E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.00000000000000E-99   1.00000000000000E-99
  7    5     7.64842605048970E-25   9.17811126058764E-24
  8    5     6.55045935418270E-17   8.51559716043751E-16
  9    5     6.87353440936056E-14   9.62294817310479E-13
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     2.21632968236932E-25   3.32449452355397E-24
 10    6     9.52374166456849E-18   1.52379866633096E-16
 11    6     1.03182980441273E-14   1.75411066750165E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     1.00000000000000E-99   1.00000000000000E-99
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     2.23133121041919E-23   4.23952929979646E-22
 13    7     2.88546221207818E-18   5.77092442415637E-17
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     1.00000000000000E-99   1.00000000000000E-99
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     2.59280837811857E-23   5.70417843186086E-22
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     1.00000000000000E-99   1.00000000000000E-99
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.47571064680033E-24   4.72227406976105E-23
 23   10     1.00000000000000E-99   1.00000000000000E-99
