    time    temp    dens
   1.09914792648009E+00   5.30062549035036E-01   2.97540789953832E+02
     nin     zin       y       x
  1    0     3.86275933258822E-09   3.86275933258822E-09
  0    1     3.02843461323972E-13   3.02843461323972E-13
  1    1     2.21780388670060E-13   4.43560777340119E-13
  2    1     2.42826941153186E-09   7.28480823459558E-09
  1    2     4.43489758876386E-17   1.33046927662916E-16
  2    2     1.54982914117358E-04   6.19931656469432E-04
  4    2     6.47243561587477E-08   3.88346136952486E-07
  3    3     1.96478987204750E-10   1.17887392322850E-09
  4    3     1.24177609860545E-09   8.69243269023817E-09
  5    3     1.66028165671599E-14   1.32822532537279E-13
  6    3     8.99222609639697E-07   8.09300348675727E-06
  3    4     4.05611163491309E-17   2.83927814443916E-16
  5    4     1.74428736720820E-07   1.56985863048738E-06
  6    4     3.70027299102533E-07   3.70027299102533E-06
  7    4     8.04908046249620E-18   8.85398850874582E-17
  8    4     1.97710276871389E-14   2.37252332245666E-13
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.04685110207090E-13   1.04685110207090E-12
  6    5     1.08056175467633E-08   1.18861793014396E-07
  7    5     1.56922159695158E-10   1.88306591634189E-09
  8    5     1.83589904953358E-11   2.38666876439365E-10
  9    5     4.66316318557038E-18   6.52842845979853E-17
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     7.86447332856946E-22   8.65092066142640E-21
  6    6     4.75319496894684E-07   5.70383396273620E-06
  7    6     6.47889661353450E-08   8.42256559759486E-07
  8    6     5.41847211750231E-08   7.58586096450323E-07
  9    6     4.29661901327226E-12   6.44492851990839E-11
 10    6     7.08057813117411E-06   1.13289250098786E-04
 11    6     4.59500913791957E-14   7.81151553446327E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.01893450126921E-17   1.32461485164998E-16
  7    7     3.48970564984301E-10   4.88558790978022E-09
  8    7     2.99164274463594E-06   4.48746411695391E-05
  9    7     8.81660087483522E-08   1.41065613997364E-06
 10    7     2.94267471026849E-08   5.00254700745643E-07
 11    7     9.65558125140296E-09   1.73800462525253E-07
 12    7     1.97530339994752E-07   3.75307645990029E-06
 13    7     2.00734399056893E-07   4.01468798113786E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.24285563862244E-21   4.86428345793366E-20
  8    8     1.13312303289122E-08   1.81299685262595E-07
  9    8     2.31189327958595E-10   3.93021857529612E-09
 10    8     9.51959860740234E-08   1.71352774933242E-06
 11    8     5.80513250704815E-07   1.10297517633915E-05
 12    8     8.17205577666043E-07   1.63441115533209E-05
 13    8     1.34946576771393E-07   2.83387811219926E-06
 14    8     3.71445377423604E-06   8.17179830331928E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.91374325802666E-22   3.25336353864532E-21
  9    9     5.13892039077421E-18   9.25005670339358E-17
 10    9     3.10831390572243E-09   5.90579642087261E-08
 11    9     9.85214848994751E-09   1.97042969798950E-07
 12    9     1.30086052118087E-08   2.73180709447983E-07
 13    9     4.61251479397735E-07   1.01475325467502E-05
 14    9     7.67566384133808E-10   1.76540268350776E-08
 15    9     4.82128099484020E-10   1.15710743876165E-08
 16    9     3.71104971396192E-09   9.27762428490481E-08
 17    9     2.49211923374615E-15   6.47951000774000E-14
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     8.78725132677247E-11   1.75745026535449E-09
 11   10     4.02249056397573E-10   8.44723018434903E-09
 12   10     1.52878816599211E-08   3.36333396518265E-07
 13   10     4.69733081955037E-10   1.08038608849658E-08
 14   10     2.21505921921634E-08   5.31614212611921E-07
 15   10     5.96686085956012E-08   1.49171521489003E-06
 16   10     8.82995829261317E-10   2.29578915607942E-08
 17   10     1.13248639746915E-13   3.05771327316670E-12
