    time    temp    dens
   4.30498383968555E-02   1.04822513488753E+00   4.95222502031629E+06
     nin     zin       y       x
  1    0     8.14457069583007E-01   8.14457069583007E-01
  0    1     8.80115399638291E-15   8.80115399638291E-15
  1    1     2.30186730614776E-13   4.60373461229551E-13
  2    1     4.30894892854443E-09   1.29268467856333E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     3.83401723602041E-06   1.53360689440816E-05
  4    2     2.64984503706659E-07   1.58990702223995E-06
  3    3     1.37451806073671E-22   8.24710836442028E-22
  4    3     5.19315930911347E-16   3.63521151637943E-15
  5    3     6.00920098700444E-16   4.80736078960355E-15
  6    3     1.36008546468445E-07   1.22407691821600E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     9.59330674444836E-15   8.63397607000352E-14
  6    4     6.41893476047895E-13   6.41893476047895E-12
  7    4     6.99880348444647E-14   7.69868383289111E-13
  8    4     3.98739777341914E-06   4.78487732810297E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.05163313607614E-16   1.15679644968375E-15
  7    5     9.66678029991157E-15   1.16001363598939E-13
  8    5     1.47676409108198E-07   1.91979331840657E-06
  9    5     1.79768699913970E-06   2.51676179879558E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.69040749902668E-20   3.22848899883202E-19
  7    6     1.15205400398865E-16   1.49767020518524E-15
  8    6     7.84375385932727E-15   1.09812554030582E-13
  9    6     4.74553220559394E-14   7.11829830839090E-13
 10    6     5.37784815913571E-07   8.60455705461714E-06
 11    6     1.54014117288368E-06   2.61823999390225E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.73230929845339E-25   6.62523301783474E-24
  8    7     4.86858890388795E-17   7.30288335583193E-16
