    time    temp    dens
   7.71563291803759E-01   7.37292558000017E-01   8.60201656740128E+02
     nin     zin       y       x
  1    0     1.53356358745064E-07   1.53356358745064E-07
  0    1     1.62499826462249E-12   1.62499826462249E-12
  1    1     1.80842842051184E-13   3.61685684102369E-13
  2    1     1.80854368195337E-09   5.42563104586010E-09
  1    2     2.41125099727690E-19   7.23375299183069E-19
  2    2     1.59112710178312E-04   6.36450840713247E-04
  4    2     8.59230224551451E-08   5.15538134730871E-07
  3    3     1.72156090361361E-12   1.03293654216817E-11
  4    3     8.40505187544293E-10   5.88353631281005E-09
  5    3     3.36323314340644E-14   2.69058651472515E-13
  6    3     1.69941409355214E-06   1.52947268419692E-05
  3    4     2.38714233350983E-20   1.67099963345688E-19
  5    4     6.52536691931856E-09   5.87283022738670E-08
  6    4     3.93580830230903E-07   3.93580830230903E-06
  7    4     2.69852303400586E-17   2.96837533740644E-16
  8    4     6.09978776087531E-10   7.31974531305037E-09
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     9.82673024221806E-17   9.82673024221806E-16
  6    5     8.21430906449100E-10   9.03573997094010E-09
  7    5     4.01499863327873E-09   4.81799835993447E-08
  8    5     3.26892195960282E-09   4.24959854748366E-08
  9    5     2.03821200422976E-16   2.85349680592167E-15
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     2.39750562756149E-25   2.63725619031763E-24
  6    6     2.79373061800283E-08   3.35247674160340E-07
  7    6     4.07166129887179E-08   5.29315968853333E-07
  8    6     5.08120625737319E-08   7.11368876032247E-07
  9    6     2.53136990649062E-13   3.79705485973593E-12
 10    6     9.59394687138976E-06   1.53503149942236E-04
 11    6     4.72041071558971E-14   8.02469821650251E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.77788606864524E-19   6.21125188923881E-18
  7    7     3.44269383835890E-11   4.81977137370246E-10
  8    7     5.09187057963177E-07   7.63780586944766E-06
  9    7     5.85677678565426E-08   9.37084285704681E-07
 10    7     3.08749627636581E-08   5.24874366982187E-07
 11    7     1.39059172236823E-08   2.50306510026281E-07
 12    7     3.55129022813134E-07   6.74745143344955E-06
 13    7     1.09492341367356E-06   2.18984682734711E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.25446880367720E-22   1.88170320551580E-21
  8    8     3.02673576388280E-09   4.84277722221249E-08
  9    8     1.53180275245478E-11   2.60406467917312E-10
 10    8     1.32439591257486E-08   2.38391264263475E-07
 11    8     1.27203618221312E-07   2.41686874620493E-06
 12    8     3.13296379846803E-07   6.26592759693607E-06
 13    8     1.42463777168179E-07   2.99173932053177E-06
 14    8     4.10968271404763E-06   9.04130197090479E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     2.08248889539992E-23   3.54023112217987E-22
  9    9     2.07532208050546E-19   3.73557974490982E-18
 10    9     1.01074249870116E-10   1.92041074753221E-09
 11    9     2.80520062756847E-10   5.61040125513693E-09
 12    9     2.40909709304744E-09   5.05910389539962E-08
 13    9     8.18710170524497E-08   1.80116237515389E-06
 14    9     7.64426644904684E-10   1.75818128328077E-08
 15    9     8.55850630834120E-10   2.05404151400189E-08
 16    9     6.23632964722779E-08   1.55908241180695E-06
 17    9     5.37948592515068E-15   1.39866634053918E-13
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.59553721914305E-13   5.19107443828610E-12
 11   10     6.06746929324298E-12   1.27416855158103E-10
 12   10     4.01883472730281E-10   8.84143640006618E-09
 13   10     1.57704996632195E-10   3.62721492254047E-09
 14   10     8.43638355401783E-09   2.02473205296428E-07
