    time    temp    dens
   2.26587963140515E+00   2.62175989247357E-01   3.39628744937513E+01
     nin     zin       y       x
  1    0     3.67651508523777E-10   3.67651508523777E-10
  0    1     2.51645516488792E-13   2.51645516488792E-13
  1    1     6.24384024281573E-15   1.24876804856315E-14
  2    1     1.07590723349982E-08   3.22772170049945E-08
  1    2     1.04565281049645E-15   3.13695843148935E-15
  2    2     2.16071224843314E-04   8.64284899373255E-04
  4    2     2.36427011637465E-08   1.41856206982479E-07
  3    3     6.30765728459040E-09   3.78459437075424E-08
  4    3     1.94364504811979E-09   1.36055153368385E-08
  5    3     2.15248871063066E-13   1.72199096850453E-12
  6    3     9.72713671400011E-08   8.75442304260010E-07
  3    4     1.83656248102987E-17   1.28559373672091E-16
  5    4     7.50930246955044E-07   6.75837222259539E-06
  6    4     3.68559328748915E-07   3.68559328748915E-06
  7    4     1.85412762353713E-14   2.03954038589084E-13
  8    4     2.20849759345048E-21   2.65019711214057E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.48295208047451E-13   2.48295208047451E-12
  6    5     2.17683714171573E-08   2.39452085588731E-07
  7    5     7.14690442185538E-14   8.57628530622646E-13
  8    5     7.81746646788752E-16   1.01627064082538E-14
  9    5     2.82828786738554E-24   3.95960301433976E-23
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.15703371011124E-24   1.27273708112237E-23
  6    6     6.93264421876506E-07   8.31917306251807E-06
  7    6     6.64713867141371E-08   8.64128027283783E-07
  8    6     5.52538662424790E-08   7.73554127394705E-07
  9    6     1.41831887076262E-11   2.12747830614393E-10
 10    6     2.40527642715766E-06   3.84844228345226E-05
 11    6     2.20262769328801E-12   3.74446707858962E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     8.44124607261009E-19   1.09736198943931E-17
  7    7     3.65096205310851E-10   5.11134687435192E-09
  8    7     7.61944463076330E-06   1.14291669461449E-04
  9    7     1.23247216278361E-07   1.97195546045378E-06
 10    7     2.42528047539558E-08   4.12297680817248E-07
 11    7     2.63124875602574E-09   4.73624776084632E-08
 12    7     1.80516270386552E-08   3.42980913734449E-07
 13    7     5.72780928816741E-10   1.14556185763348E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     4.96196685648727E-22   7.44295028473091E-21
  8    8     2.91011168428411E-08   4.65617869485457E-07
  9    8     9.54057965003150E-10   1.62189854050536E-08
 10    8     1.75834894282114E-07   3.16502809707805E-06
 11    8     7.46062628019608E-07   1.41751899323725E-05
 12    8     8.81642772760069E-07   1.76328554552014E-05
 13    8     1.06611683965407E-07   2.23884536327356E-06
 14    8     2.59376586452029E-06   5.70628490194464E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     6.31923038335456E-23   1.07426916517028E-21
  9    9     3.11656625684290E-20   5.60981926231722E-19
 10    9     2.38685407469666E-08   4.53502274192365E-07
 11    9     5.99071963106774E-08   1.19814392621355E-06
 12    9     3.75186583636389E-08   7.87891825636416E-07
 13    9     1.39477704919094E-06   3.06850950822007E-05
 14    9     5.42718871723162E-10   1.24825340496327E-08
 15    9     6.13016102100952E-11   1.47123864504229E-09
 16    9     1.93542635969797E-13   4.83856589924493E-12
 17    9     1.41543827005463E-20   3.68013950214203E-19
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.63978182783828E-09   5.27956365567657E-08
 11   10     5.51131446669059E-09   1.15737603800502E-07
 12   10     2.02351893685372E-07   4.45174166107818E-06
 13   10     8.06081954201257E-10   1.85398849466289E-08
 14   10     2.33045249890245E-08   5.59308599736589E-07
 15   10     1.65171270358457E-08   4.12928175896141E-07
 16   10     1.53139269270021E-11   3.98162100102055E-10
 17   10     1.87843811347240E-18   5.07178290637548E-17
 18   10     3.38339998955650E-24   9.47351997075820E-23
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     7.16742908017333E-25   1.50516010683640E-23
 11   11     1.57391888657073E-20   3.46262155045559E-19
 12   11     1.61925482344211E-11   3.72428609391685E-10
 13   11     1.08036819479534E-10   2.59288366750881E-09
 14   11     6.55889354349269E-08   1.63972338587317E-06
 15   11     2.30726398755161E-09   5.99888636763418E-08
 16   11     6.73368550209917E-11   1.81809508556678E-09
 17   11     4.95608830076038E-16   1.38770472421291E-14
 18   11     1.59259038442560E-19   4.61851211483425E-18
 19   11     8.48302391493508E-20   2.54490717448052E-18
 20   11     1.49965442307734E-24   4.64892871153975E-23
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     9.82835136250775E-16   2.35880432700186E-14
 13   12     6.67296493135232E-10   1.66824123283808E-08
 14   12     2.68922061354341E-09   6.99197359521287E-08
 15   12     1.36210488725283E-09   3.67768319558263E-08
 16   12     1.11823868167878E-09   3.13106830870058E-08
 17   12     3.22741229038100E-10   9.35949564210490E-09
 18   12     7.75276204809807E-11   2.32582861442942E-09
 19   12     1.76899451973296E-11   5.48388301117216E-10
 20   12     6.77228513241858E-14   2.16713124237395E-12
 21   12     1.52042351565299E-14   5.01739760165488E-13
 22   12     8.07212317700157E-20   2.74452188018054E-18
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.13965349522063E-21   2.96309908757364E-20
 14   13     1.66931626511443E-12   4.50715391580896E-11
 15   13     6.05840729123825E-14   1.69635404154671E-12
 16   13     3.64515915166801E-10   1.05709615398372E-08
 17   13     1.16747270276221E-09   3.50241810828662E-08
 18   13     6.32150310683638E-10   1.95966596311928E-08
 19   13     6.18160805176584E-14   1.97811457656507E-12
 20   13     1.12896591972281E-14   3.72558753508527E-13
 21   13     8.43573251579489E-19   2.86814905537026E-17
 22   13     2.12730450725176E-20   7.44556577538116E-19
 23   13     4.01296884380015E-15   1.44466878376806E-13
 24   13     3.46461932879100E-20   1.28190915165267E-18
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     2.68862546723200E-16   7.52815130824961E-15
 15   14     5.03914559598484E-13   1.46135222283560E-11
 16   14     2.55757975393622E-10   7.67273926180866E-09
 17   14     1.64337324432015E-09   5.09445705739245E-08
 18   14     8.81179368880969E-09   2.81977398041910E-07
 19   14     7.13896845972972E-09   2.35585959171081E-07
 20   14     7.91127688675128E-09   2.68983414149544E-07
 21   14     1.92363713953481E-09   6.73272998837184E-08
 22   14     2.20693097209063E-10   7.94495149952625E-09
 23   14     3.81628499841657E-14   1.41202544941413E-12
 24   14     1.89063703944985E-11   7.18442074990943E-10
 25   14     2.57063485023808E-17   1.00254759159285E-15
 26   14     2.89937715508571E-22   1.15975086203429E-20
 27   14     1.00000000000000E-99   1.00000000000000E-99
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     9.54093456352014E-14   2.95768971469124E-12
 17   15     8.00256650425286E-16   2.56082128136092E-14
 18   15     1.18564922722891E-09   3.91264244985540E-08
 19   15     3.10228068541255E-09   1.05477543304027E-07
 20   15     5.52771436283476E-09   1.93470002699217E-07
 21   15     1.68839001644942E-09   6.07820405921793E-08
 22   15     4.37738157198345E-09   1.61963118163388E-07
 23   15     1.04011070282186E-09   3.95242067072308E-08
 24   15     4.16718099334782E-11   1.62520058740565E-09
 25   15     1.43226141021510E-13   5.72904564086040E-12
 26   15     1.32687763169065E-13   5.44019828993165E-12
 27   15     3.19168843585994E-18   1.34050914306118E-16
 28   15     2.16234269667595E-20   9.29807359570657E-19
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     3.63493059038180E-22   1.16317778892218E-20
 17   16     1.89610971342331E-16   6.25716205429693E-15
 18   16     1.31322390382282E-10   4.46496127299758E-09
 19   16     7.17439338910165E-11   2.51103768618558E-09
 20   16     2.35379450017125E-10   8.47366020061650E-09
 21   16     2.41525050910212E-09   8.93642688367784E-08
 22   16     2.83859309114349E-09   1.07866537463453E-07
 23   16     8.04042441379261E-10   3.13576552137912E-08
 24   16     1.54530121615815E-09   6.18120486463262E-08
 25   16     2.39850299074148E-09   9.83386226204007E-08
 26   16     1.51221937765062E-08   6.35132138613259E-07
 27   16     1.80102874778476E-10   7.74442361547447E-09
 28   16     2.18738260550308E-13   9.62448346421355E-12
 29   16     2.72248733804808E-18   1.22511930212164E-16
 30   16     3.15685897145363E-17   1.45215512686867E-15
 31   16     2.18541155707970E-25   1.02714343182746E-23
 32   16     1.00000000000000E-99   1.00000000000000E-99
 33   16     1.00000000000000E-99   1.00000000000000E-99
 34   16     1.00000000000000E-99   1.00000000000000E-99
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     1.00000000000000E-99   1.00000000000000E-99
 10   17     1.00000000000000E-99   1.00000000000000E-99
 11   17     1.00000000000000E-99   1.00000000000000E-99
 12   17     1.00000000000000E-99   1.00000000000000E-99
 13   17     1.00000000000000E-99   1.00000000000000E-99
 14   17     1.00000000000000E-99   1.00000000000000E-99
 15   17     1.00000000000000E-99   1.00000000000000E-99
 16   17     1.00000000000000E-99   1.00000000000000E-99
 17   17     1.00000000000000E-99   1.00000000000000E-99
 18   17     3.45475801364511E-18   1.20916530477579E-16
 19   17     5.45941120698162E-20   1.96538803451338E-18
 20   17     3.99422227151163E-12   1.47786224045930E-10
