    time    temp    dens
   9.80951756120894E-02   1.16374175701758E+00   4.18573760203116E+05
     nin     zin       y       x
  1    0     7.47971027428704E-01   7.47971027428704E-01
  0    1     1.05125828169793E-13   1.05125828169793E-13
  1    1     2.48978240238987E-12   4.97956480477974E-12
  2    1     1.33061370448701E-08   3.99184111346102E-08
  1    2     1.05174524468856E-24   3.15523573406568E-24
  2    2     1.99080945873506E-05   7.96323783494024E-05
  4    2     1.60653157155058E-07   9.63918942930347E-07
  3    3     1.02973158118119E-21   6.17838948708712E-21
  4    3     1.04777931366265E-14   7.33445519563857E-14
  5    3     1.17632000113567E-14   9.41056000908536E-14
  6    3     5.00638676727897E-07   4.50574809055108E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.87003493440617E-14   1.68303144096555E-13
  6    4     3.18497490247688E-11   3.18497490247688E-10
  7    4     1.47006468716855E-13   1.61707115588540E-12
  8    4     1.51493914089095E-06   1.81792696906914E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     7.81329765400134E-16   8.59462741940147E-15
  7    5     5.58738033309566E-14   6.70485639971479E-13
  8    5     1.43649287588168E-06   1.86744073864618E-05
  9    5     4.00067296945858E-07   5.60094215724201E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     5.31146210282883E-19   6.37375452339460E-18
  7    6     1.34550571827110E-14   1.74915743375243E-13
  8    6     1.47039894355890E-13   2.05855852098246E-12
  9    6     4.16541477339066E-13   6.24812216008598E-12
 10    6     6.59289097049149E-06   1.05486255527864E-04
 11    6     5.58570797448218E-07   9.49570355661971E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     3.45170401865915E-23   4.83238562612281E-22
  8    7     6.92357897361468E-15   1.03853684604220E-13
  9    7     3.03171476287199E-14   4.85074362059518E-13
 10    7     1.35260846092098E-13   2.29943438356566E-12
 11    7     1.21860244789163E-13   2.19348440620493E-12
 12    7     2.16532903816189E-10   4.11412517250759E-09
 13    7     7.17604133903651E-07   1.43520826780730E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.71773238964300E-20   2.74837182342879E-19
  9    8     5.99062139195194E-23   1.01840563663183E-21
 10    8     1.20549056918559E-18   2.16988302453407E-17
 11    8     2.98643286846691E-16   5.67422245008714E-15
 12    8     8.23506422161822E-15   1.64701284432364E-13
 13    8     5.77390947202930E-13   1.21252098912615E-11
 14    8     2.90846337784493E-08   6.39861943125885E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     3.47221614880160E-22   6.59721068272304E-21
 11    9     4.04098932394072E-22   8.08197864788144E-21
 12    9     5.61526408900906E-19   1.17920545869190E-17
 13    9     1.33329013733839E-16   2.93323830214447E-15
 14    9     7.42398635527560E-18   1.70751686171339E-16
 15    9     2.17769586426721E-17   5.22647007424129E-16
 16    9     9.56241613053014E-11   2.39060403263253E-09
 17    9     2.37262173928072E-11   6.16881652212987E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     7.28845771196557E-24   1.60346069663243E-22
 13   10     1.59020191865657E-21   3.65746441291010E-20
 14   10     1.35822489510162E-19   3.25973974824390E-18
 15   10     9.72984570484533E-15   2.43246142621133E-13
 16   10     1.30884463832493E-14   3.40299605964481E-13
 17   10     4.20084830275028E-15   1.13422904174257E-13
 18   10     2.41949921862859E-14   6.77459781216005E-13
 19   10     1.79408216997312E-15   5.20283829292205E-14
 20   10     1.14001204751439E-14   3.42003614254317E-13
 21   10     5.44128389701326E-15   1.68679800807411E-13
 22   10     1.26986649657760E-08   4.06357278904832E-07
 23   10     2.15463662550335E-19   7.11030086416106E-18
 24   10     8.27346375629269E-19   2.81297767713951E-17
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     6.08322611507145E-25   1.52080652876786E-23
 15   11     2.17461904516075E-24   5.65400951741794E-23
 16   11     1.34838882864111E-22   3.64064983733099E-21
 17   11     1.57027105731937E-19   4.39675896049425E-18
 18   11     3.28655397337237E-18   9.53100652277988E-17
 19   11     8.90252037486771E-18   2.67075611246031E-16
 20   11     3.15561297278016E-15   9.78240021561849E-14
 21   11     6.38623119493772E-12   2.04359398238007E-10
 22   11     1.44509639324760E-12   4.76881809771707E-11
 23   11     9.30578613060103E-13   3.16396728440435E-11
 24   11     5.23779651194868E-09   1.83322877918204E-07
 25   11     1.77933895620466E-18   6.40562024233678E-17
 26   11     4.53510394713288E-19   1.67798846043916E-17
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     2.24484586801650E-24   6.28556843044621E-23
 17   12     3.66982870641975E-24   1.06425032486173E-22
 18   12     1.52825365976325E-20   4.58476097928975E-19
 19   12     1.30485536116640E-20   4.04505161961585E-19
 20   12     4.58925878433366E-19   1.46856281098677E-17
 21   12     8.84095894421665E-17   2.91751645159149E-15
 22   12     2.60495128066083E-08   8.85683435424682E-07
 23   12     5.30016279761183E-16   1.85505697916414E-14
 24   12     6.87507632967130E-10   2.47502747868167E-08
 25   12     2.86803047621820E-15   1.06117127620073E-13
 26   12     2.43296467744292E-10   9.24526577428310E-09
 27   12     3.39096032548542E-16   1.32247452693931E-14
 28   12     4.92728599147199E-11   1.97091439658879E-09
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     1.00000000000000E-99   1.00000000000000E-99
 15   13     1.00000000000000E-99   1.00000000000000E-99
 16   13     1.00000000000000E-99   1.00000000000000E-99
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.00000000000000E-99   1.00000000000000E-99
 19   13     1.00000000000000E-99   1.00000000000000E-99
 20   13     1.49790468131684E-16   4.94308544834556E-15
 21   13     4.15617359168189E-17   1.41309902117184E-15
 22   13     1.80613430683744E-15   6.32147007393103E-14
 23   13     1.48678049654141E-16   5.35240978754906E-15
 24   13     2.92073012812315E-14   1.08067014740557E-12
 25   13     2.28627070619449E-16   8.68782868353905E-15
 26   13     2.06453053165453E-11   8.05166907345265E-10
 27   13     2.55449468305046E-16   1.02179787322018E-14
 28   13     6.31802339834370E-09   2.59038959332092E-07
 29   13     6.08546432294040E-25   2.55589501563497E-23
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     1.00000000000000E-99   1.00000000000000E-99
 15   14     1.00000000000000E-99   1.00000000000000E-99
 16   14     1.00000000000000E-99   1.00000000000000E-99
