    time    temp    dens
   3.42764891306266E-01   9.83483245390336E-01   9.81128636117995E+03
     nin     zin       y       x
  1    0     5.22004701074941E-01   5.22004701074941E-01
  0    1     4.41147476767165E-12   4.41147476767165E-12
  1    1     1.13968963176165E-10   2.27937926352330E-10
  2    1     7.42462420939008E-08   2.22738726281702E-07
  1    2     4.00922337106722E-22   1.20276701132017E-21
  2    2     9.80292402952763E-05   3.92116961181105E-04
  4    2     8.56293404595696E-08   5.13776042757418E-07
  3    3     3.61180239811802E-20   2.16708143887081E-19
  4    3     3.20885526739063E-13   2.24619868717344E-12
  5    3     3.69341110610994E-13   2.95472888488795E-12
  6    3     2.06927564364759E-06   1.86234807928283E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     3.13639843084997E-13   2.82275858776498E-12
  6    4     7.28919754360182E-09   7.28919754360182E-08
  7    4     1.75455619139032E-12   1.93001181052935E-11
  8    4     1.00082866088823E-07   1.20099439306588E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     2.44464721659806E-14   2.68911193825787E-13
  7    5     4.28061157109865E-13   5.13673388531838E-12
  8    5     2.38016831658853E-07   3.09421881156509E-06
  9    5     8.21172457787652E-09   1.14964144090271E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.55190212395438E-17   3.06228254874526E-16
  7    6     1.64804998149935E-13   2.14246497594915E-12
  8    6     4.55526585419726E-12   6.37737219587616E-11
  9    6     4.03857680186256E-12   6.05786520279384E-11
 10    6     1.13806997572948E-05   1.82091196116717E-04
 11    6     7.78787456336459E-08   1.32393867577198E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.80724832512402E-21   3.93014765517362E-20
  8    7     8.64024709604079E-13   1.29603706440612E-11
  9    7     2.01654988445271E-12   3.22647981512433E-11
 10    7     7.41362017365217E-12   1.26031542952087E-10
 11    7     6.67908428818865E-12   1.20223517187396E-10
 12    7     8.64572121938157E-10   1.64268703168250E-08
 13    7     1.75463769357651E-06   3.50927538715302E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     4.34318224914526E-19   6.94909159863242E-18
  9    8     1.54136931836703E-21   2.62032784122395E-20
 10    8     4.39255255980194E-17   7.90659460764350E-16
 11    8     4.15571535797991E-14   7.89585918016182E-13
 12    8     1.45571722885005E-12   2.91143445770010E-11
 13    8     1.02051002540146E-10   2.14307105334307E-09
 14    8     1.08498795487085E-06   2.38697350071586E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     2.25570004201735E-20   4.28583007983296E-19
 11    9     2.67972565928474E-20   5.35945131856948E-19
 12    9     7.64510220155220E-17   1.60547146232596E-15
 13    9     3.47306858487119E-13   7.64075088671661E-12
 14    9     1.93385438739118E-14   4.44786509099971E-13
 15    9     5.67261667768156E-14   1.36142800264357E-12
 16    9     1.71642075226210E-08   4.29105188065526E-07
 17    9     6.04772523630815E-10   1.57240856144012E-08
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.56358818086402E-21   3.43989399790084E-20
 13   10     2.77462986179681E-19   6.38164868213266E-18
 14   10     1.38907759164213E-15   3.33378621994110E-14
 15   10     4.28928354174541E-13   1.07232088543635E-11
 16   10     5.89859074584777E-13   1.53363359392042E-11
 17   10     1.48946446321541E-13   4.02155405068161E-12
 18   10     9.07239172979569E-13   2.54026968434279E-11
 19   10     6.51009295348030E-14   1.88792695650929E-12
 20   10     4.38842784766744E-13   1.31652835430023E-11
 21   10     1.93807672915175E-13   6.00803786037042E-12
 22   10     9.12028723991680E-09   2.91849191677338E-07
 23   10     1.85059930610493E-22   6.10697771014628E-21
 24   10     2.18590055709078E-22   7.43206189410865E-21
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
