    time    temp    dens
   2.18581795218767E+02   1.00000000000000E-02   3.78331917041339E-05
     nin     zin       y       x
  1    0     4.67804326945726E-10   4.67804326945726E-10
  0    1     6.91239453498838E-11   6.91239453498838E-11
  1    1     3.79452734916334E-16   7.58905469832667E-16
  2    1     1.51036733476238E-08   4.53110200428715E-08
  1    2     6.25930536828087E-15   1.87779161048426E-14
  2    2     1.50104851963166E-04   6.00419407852666E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.01807048923276E-08   6.10842293539656E-08
  4    3     1.50170742218340E-09   1.05119519552838E-08
  5    3     2.11352254004548E-19   1.69081803203639E-18
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.21737661239779E-20   8.52163628678454E-20
  5    4     8.49574867155355E-07   7.64617380439820E-06
  6    4     3.23607366715932E-07   3.23607366715932E-06
  7    4     8.58325111012253E-17   9.44157622113478E-16
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     5.96539058233260E-15   5.96539058233260E-14
  6    5     1.64816353953532E-08   1.81297989348886E-07
  7    5     6.19890427269381E-21   7.43868512723258E-20
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     6.22606350063001E-07   7.47127620075601E-06
  7    6     6.43064560261377E-08   8.35983928339791E-07
  8    6     5.73575515798144E-08   8.03005722117402E-07
  9    6     7.02084983924261E-20   1.05312747588639E-18
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     2.49317471905940E-19   3.24112713477722E-18
  7    7     2.84423696381169E-10   3.98193174933637E-09
  8    7     9.79285395869939E-06   1.46892809380491E-04
  9    7     2.78818379093809E-16   4.46109406550095E-15
 10    7     4.35602869532086E-23   7.40524878204547E-22
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.35320689344338E-23   5.02981034016507E-22
  8    8     1.95398608000445E-07   3.12637772800713E-06
  9    8     2.28562270212890E-09   3.88555859361913E-08
 10    8     2.44462837101303E-07   4.40033106782345E-06
 11    8     3.07026350299779E-09   5.83350065569580E-08
 12    8     1.42831356869661E-11   2.85662713739321E-10
 13    8     2.21646777457517E-23   4.65458232660785E-22
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.02021769576057E-24   1.73437008279296E-23
  9    9     4.35838641675232E-22   7.84509555015417E-21
 10    9     7.87972547323896E-07   1.49714783991540E-05
 11    9     5.95648019466880E-11   1.19129603893376E-09
 12    9     4.76943822728524E-18   1.00158202772990E-16
 13    9     1.88592173833777E-20   4.14902782434310E-19
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     8.29261249700231E-07   1.65852249940046E-05
 11   10     1.43248291280677E-07   3.00821411689422E-06
 12   10     3.94788626003279E-06   8.68534977207215E-05
 13   10     2.45502509151492E-11   5.64655771048432E-10
 14   10     1.05581535760781E-08   2.53395685825875E-07
 15   10     8.09523246325863E-21   2.02380811581466E-19
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     3.58723234003098E-21   7.89191114806817E-20
 12   11     1.29540700451157E-09   2.97943611037661E-08
 13   11     1.16042781676014E-08   2.78502676022434E-07
 14   11     6.25269614881708E-09   1.56317403720427E-07
 15   11     3.94284407407243E-17   1.02513945925883E-15
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
