    time    temp    dens
   4.57771061316362E-02   1.06163771904019E+00   4.11879277902746E+06
     nin     zin       y       x
  1    0     8.14226409786938E-01   8.14226409786938E-01
  0    1     1.05957418149068E-14   1.05957418149068E-14
  1    1     2.73907897747426E-13   5.47815795494852E-13
  2    1     4.69040966024331E-09   1.40712289807299E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     4.44569032388110E-06   1.77827612955244E-05
  4    2     2.62778066046856E-07   1.57666839628114E-06
  3    3     1.62992304387172E-22   9.77953826323035E-22
  4    3     6.67669807980169E-16   4.67368865586118E-15
  5    3     7.69616566063502E-16   6.15693252850801E-15
  6    3     1.53842444918539E-07   1.38458200426685E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.04757559502830E-14   9.42818035525474E-14
  6    4     9.06871669043812E-13   9.06871669043812E-12
  7    4     7.69523815526675E-14   8.46476197079342E-13
  8    4     3.93901474189504E-06   4.72681769027405E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.26156661013491E-16   1.38772327114840E-15
  7    5     1.15198928182774E-14   1.38238713819328E-13
  8    5     2.09705521985812E-07   2.72617178581555E-06
  9    5     1.81853096983255E-06   2.54594335776557E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     3.62578017304070E-20   4.35093620764884E-19
  7    6     1.94925568068709E-16   2.53403238489322E-15
  8    6     9.74138690697706E-15   1.36379416697679E-13
  9    6     5.82989495468500E-14   8.74484243202750E-13
 10    6     7.58849334001886E-07   1.21415893440302E-05
 11    6     1.59963755888574E-06   2.71938385010576E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     7.06635044301977E-25   9.89289062022767E-24
  8    7     8.15759505565814E-17   1.22363925834872E-15
