    time    temp    dens
   1.26899911374125E+00   4.46346511499872E-01   1.93344129526768E+02
     nin     zin       y       x
  1    0     1.37474641716343E-10   1.37474641716343E-10
  0    1     1.64591103178418E-14   1.64591103178418E-14
  1    1     3.79807968804941E-14   7.59615937609882E-14
  2    1     6.18320220300553E-10   1.85496066090166E-09
  1    2     1.61381822693063E-16   4.84145468079189E-16
  2    2     1.25652965631286E-04   5.02611862525142E-04
  4    2     9.46519319094971E-09   5.67911591456983E-08
  3    3     8.61881716996686E-10   5.17129030198012E-09
  4    3     7.47125606509863E-10   5.22987924556904E-09
  5    3     2.17608189325635E-15   1.74086551460508E-14
  6    3     4.64761239868982E-07   4.18285115882084E-06
  3    4     4.43878678752603E-16   3.10715075126822E-15
  5    4     2.71306175577440E-07   2.44175558019696E-06
  6    4     6.33359503015125E-08   6.33359503015125E-07
  7    4     3.27134639326091E-19   3.59848103258700E-18
  8    4     1.98892152061067E-18   2.38670582473281E-17
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     3.36358023152102E-12   3.36358023152102E-11
  6    5     3.00078354440637E-09   3.30086189884701E-08
  7    5     1.12253943141683E-11   1.34704731770019E-10
  8    5     1.34348867742807E-12   1.74653528065649E-11
  9    5     2.36161084640801E-20   3.30625518497122E-19
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     4.33031268182341E-20   4.76334395000576E-19
  6    6     4.29447796817674E-07   5.15337356181208E-06
  7    6     4.71010508689660E-08   6.12313661296558E-07
  8    6     7.77999367299822E-08   1.08919911421975E-06
  9    6     1.54171170144613E-12   2.31256755216919E-11
 10    6     5.92038536491263E-06   9.47261658386020E-05
 11    6     2.32912428206314E-14   3.95951127950735E-13
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     7.85710194685877E-17   1.02142325309164E-15
  7    7     2.45562667480876E-10   3.43787734473226E-09
  8    7     5.00829395004225E-06   7.51244092506338E-05
  9    7     9.84078859942614E-08   1.57452617590818E-06
 10    7     2.79286245417802E-08   4.74786617210264E-07
 11    7     6.55734752896411E-09   1.18032255521354E-07
 12    7     4.99832750017697E-07   9.49682225033624E-06
 13    7     2.20136014878491E-10   4.40272029756981E-09
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     2.42326320594315E-21   3.63489480891472E-20
  8    8     3.77663610698750E-08   6.04261777118000E-07
  9    8     5.88387501152257E-10   1.00025875195884E-08
 10    8     6.07582500584183E-07   1.09364850105153E-05
 11    8     8.15995499338803E-07   1.55039144874372E-05
 12    8     7.52772413422883E-08   1.50554482684577E-06
 13    8     9.32968276076025E-08   1.95923337975965E-06
 14    8     2.35583750567611E-06   5.18284251248745E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
