    time    temp    dens
   4.95447526753018E+01   1.18368880685242E-02   3.24879233795150E-03
     nin     zin       y       x
  1    0     1.05137746374630E-10   1.05137746374630E-10
  0    1     2.70097836135020E-12   2.70097836135020E-12
  1    1     7.27320224201917E-16   1.45464044840383E-15
  2    1     2.66238402443636E-09   7.98715207330908E-09
  1    2     7.22849090133259E-16   2.16854727039978E-15
  2    2     1.27056936911468E-04   5.08227747645873E-04
  4    2     1.03117014555493E-25   6.18702087332957E-25
  3    3     6.88231338321639E-09   4.12938802992983E-08
  4    3     8.39411469954224E-10   5.87588028967957E-09
  5    3     2.24137874601741E-18   1.79310299681393E-17
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.23099604505268E-18   4.36169723153687E-17
  5    4     6.99809899108982E-07   6.29828909198084E-06
  6    4     6.33388691392132E-08   6.33388691392132E-07
  7    4     3.23723162441890E-15   3.56095478686079E-14
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.30147987087732E-12   1.30147987087732E-11
  6    5     3.81541277547750E-09   4.19695405302525E-08
  7    5     2.77177996445237E-20   3.32613595734284E-19
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.13935031158221E-21   5.65328534274043E-20
  6    6     4.64956479883846E-07   5.57947775860616E-06
  7    6     4.71143009233582E-08   6.12485912003656E-07
  8    6     7.86027506508132E-08   1.10043850911138E-06
  9    6     7.31168090071094E-18   1.09675213510664E-16
 10    6     4.61488200691900E-24   7.38381121107040E-23
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.03839437569063E-17   5.24991268839782E-16
  7    7     2.45496176391642E-10   3.43694646948298E-09
  8    7     1.08694339532757E-05   1.63041509299135E-04
  9    7     1.56577717797974E-09   2.50524348476759E-08
 10    7     1.02081627545925E-11   1.73538766828073E-10
 11    7     1.34886216515909E-23   2.42795189728637E-22
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     7.99135379836121E-22   1.19870306975418E-20
  8    8     2.20403509600526E-07   3.52645615360842E-06
  9    8     2.41598533558937E-09   4.10717507050192E-08
