    time    temp    dens
   1.62008123641409E-01   1.19407916026586E+00   9.29190092037424E+04
     nin     zin       y       x
  1    0     6.94055566671906E-01   6.94055566671906E-01
  0    1     4.74826423712549E-13   4.74826423712549E-13
  1    1     1.08880271580508E-11   2.17760543161017E-11
  2    1     2.65959366980445E-08   7.97878100941334E-08
  1    2     1.36316543125303E-23   4.08949629375909E-23
  2    2     4.06231011050971E-05   1.62492404420388E-04
  4    2     4.44944332889691E-08   2.66966599733814E-07
  3    3     1.37328493767606E-21   8.23970962605639E-21
  4    3     4.76659594880407E-14   3.33661716416285E-13
  5    3     5.26936165110794E-14   4.21548932088635E-13
  6    3     9.03250765978412E-07   8.12925689380570E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.35623979490524E-14   2.12061581541471E-13
  6    4     2.17112436136903E-10   2.17112436136903E-09
  7    4     1.75911739798187E-13   1.93502913778006E-12
  8    4     3.55664908963637E-07   4.26797890756364E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.40209595089078E-15   3.74230554597985E-14
  7    5     1.01203282438826E-13   1.21443938926591E-12
  8    5     8.81574978462545E-07   1.14604747200131E-05
  9    5     3.80545737974294E-08   5.32764033164011E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.73953719718490E-18   2.08744463662188E-17
  7    6     3.98342714855982E-14   5.17845529312776E-13
  8    6     1.36263047911409E-12   1.90768267075973E-11
  9    6     9.34155380356517E-13   1.40123307053478E-11
 10    6     9.97433502940809E-06   1.59589360470529E-04
 11    6     1.38985106549677E-07   2.36274681134451E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     3.74630893341718E-22   5.24483250678406E-21
  8    7     4.95488244466103E-14   7.43232366699154E-13
  9    7     1.37622515576688E-13   2.20196024922701E-12
 10    7     5.29774344744414E-13   9.00616386065503E-12
 11    7     4.77288022479767E-13   8.59118440463581E-12
 12    7     3.18127616525962E-09   6.04442471399328E-08
 13    7     1.30907251177503E-06   2.61814502355005E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.32978454965646E-19   2.12765527945034E-18
  9    8     4.69158553649768E-22   7.97569541204606E-21
 10    8     1.22689447990062E-17   2.20841006382112E-16
 11    8     2.67724844186973E-15   5.08677203955248E-14
 12    8     7.11214470352974E-14   1.42242894070595E-12
 13    8     4.98640747765026E-12   1.04714557030655E-10
 14    8     9.40712602078882E-08   2.06956772457354E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.56899235621403E-21   8.68108547680666E-20
 11    9     5.31100544338576E-21   1.06220108867715E-19
 12    9     7.19562180417403E-18   1.51108057887655E-16
 13    9     2.05309586903582E-15   4.51681091187881E-14
 14    9     1.14323492643676E-16   2.62944033080455E-15
 15    9     3.35337245434546E-16   8.04809389042910E-15
 16    9     6.93399154226495E-10   1.73349788556624E-08
 17    9     2.61714831544761E-11   6.80458562016377E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.89852685258964E-22   4.17675907569721E-21
 13   10     3.97817809602241E-20   9.14980962085155E-19
 14   10     4.37399183077860E-18   1.04975803938686E-16
 15   10     8.95419678262867E-14   2.23854919565717E-12
 16   10     1.20544185255762E-13   3.13414881664982E-12
 17   10     4.00914081823374E-14   1.08246802092311E-12
 18   10     2.32530452331583E-13   6.51085266528433E-12
 19   10     1.70590287124698E-14   4.94711832661624E-13
 20   10     1.13733578484862E-13   3.41200735454587E-12
 21   10     5.18872139959405E-14   1.60850363387415E-12
 22   10     2.61551170232104E-08   8.36963744742733E-07
 23   10     1.30924427181281E-19   4.32050609698227E-18
 24   10     6.86378584112645E-20   2.33368718598299E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     2.76861368002205E-23   6.92153420005513E-22
 15   11     9.88157034195781E-23   2.56920828890903E-21
 16   11     6.27383426601858E-21   1.69393525182502E-19
 17   11     3.45088542120426E-18   9.66247917937191E-17
 18   11     5.89569750228321E-17   1.70975227566213E-15
 19   11     9.26083874890424E-17   2.77825162467127E-15
 20   11     2.79698279647381E-13   8.67064666906880E-12
 21   11     4.12855064761725E-09   1.32113620723752E-07
 22   11     1.48098154421973E-10   4.88723909592511E-09
 23   11     1.46886907258401E-11   4.99415484678564E-10
 24   11     1.01253278505037E-08   3.54386474767630E-07
 25   11     9.05122229633702E-19   3.25844002668133E-17
 26   11     3.50683835295609E-20   1.29753019059375E-18
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     6.36385381477433E-23   1.78187906813681E-21
 17   12     1.34583800454253E-22   3.90293021317335E-21
