    time    temp    dens
   3.61056917971504E+03   1.00000000000000E-02   8.39436665390131E-09
     nin     zin       y       x
  1    0     3.54117888343245E-11   3.54117888343245E-11
  0    1     8.27536044513923E-10   8.27536044513923E-10
  1    1     1.75933401952344E-15   3.51866803904688E-15
  2    1     1.37035154136788E-09   4.11105462410365E-09
  1    2     9.00266617857125E-15   2.70079985357138E-14
  2    2     1.56892793116074E-04   6.27571172464298E-04
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     3.36834365725987E-09   2.02100619435592E-08
  4    3     5.89651935906678E-10   4.12756355134675E-09
  5    3     1.37795028590367E-24   1.10236022872294E-23
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     4.77103354061670E-18   3.33972347843169E-17
  5    4     6.76442730870861E-07   6.08798457783775E-06
  6    4     5.12346525675482E-08   5.12346525675482E-07
  7    4     1.31227598914342E-22   1.44350358805776E-21
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.52205652095211E-13   6.52205652095211E-12
  6    5     1.99654822836348E-09   2.19620305119982E-08
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     5.26874188154896E-22   5.79561606970385E-21
  6    6     4.38497144988769E-07   5.26196573986523E-06
  7    6     4.24839066779612E-08   5.52290786813496E-07
  8    6     7.61010082375488E-08   1.06541411532568E-06
  9    6     1.51166465403550E-24   2.26749698105326E-23
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.78108978282662E-19   4.91541671767461E-18
  7    7     1.79517839894367E-10   2.51324975852114E-09
  8    7     1.05468476266801E-05   1.58202714400201E-04
  9    7     9.35238855487688E-22   1.49638216878030E-20
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.14326006767070E-07   3.42921610827312E-06
  9    8     2.31665598130719E-09   3.93831516822222E-08
 10    8     8.03567811376437E-07   1.44642206047759E-05
 11    8     4.09578137226334E-22   7.78198460730035E-21
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     8.79513836364743E-19   1.58312490545654E-17
 10    9     1.09102469289564E-06   2.07294691650172E-05
 11    9     6.58461506478292E-23   1.31692301295658E-21
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
